"asset","check_id","check_name","status","max_abs_residual","max_rel_residual","tolerance","notes"
"ME","INPUTS_PRESENT","Required staged primitive inputs are present","PASS",,,0.000001,"100 guardian rows"
"ME","NO_RAW_INDEX_AGGREGATION","Quantity index is not aggregated or used as a raw capital sum","PASS",,,0.000001,"K_quantity_index is carried as asset-level input context only."
"ME","PKN_FINITE_POSITIVE","Guardian pKN is finite and positive","PASS",,,0.000001,"pKN is recovered under the GPIM stock-flow law."
"ME","ASSET_LEVEL_GPIM_CURRENT_RECURSION_COHERENT","Current-cost GPIM recursion residual is within tolerance","PASS",0.00000000023283064365387,0.000000000000000631886082750992,0.000001,"First panel year is an anchor row and is excluded from recursion residual maxima."
"ME","ASSET_LEVEL_GPIM_REAL_RECURSION_COHERENT","Real GPIM recursion residual is within tolerance","PASS",0.000000000465661287307739,0.000000000000000697608953211115,0.000001,"Depletion rate is read from the locked net-value vintage schedule implied by S29B."
"ME","ME_NRC_SEPARATE_VALIDATION_COMPLETE","Asset is validated before capacity aggregation","PASS",,,0.000001,"ME and NRC checks are computed before bottom-up aggregation."
"ME","NO_TOTAL_CAPITAL_OBJECT_CONSTRUCTED","No total-capital object is constructed","PASS",,,0.000001,"D05 constructs only ME, NRC, and capacity as ME plus NRC."
"ME","NO_FORBIDDEN_BASELINE_OBJECT_INCLUDED","No forbidden baseline object is included","PASS",,,0.000001,"Provider TOTAL, IPP, residential, government transportation, and official unmapped prices are excluded."
"NRC","INPUTS_PRESENT","Required staged primitive inputs are present","PASS",,,0.000001,"94 guardian rows"
"NRC","NO_RAW_INDEX_AGGREGATION","Quantity index is not aggregated or used as a raw capital sum","PASS",,,0.000001,"K_quantity_index is carried as asset-level input context only."
"NRC","PKN_FINITE_POSITIVE","Guardian pKN is finite and positive","PASS",,,0.000001,"pKN is recovered under the GPIM stock-flow law."
"NRC","ASSET_LEVEL_GPIM_CURRENT_RECURSION_COHERENT","Current-cost GPIM recursion residual is within tolerance","PASS",0.000000000465661287307739,0.000000000000000719643698549372,0.000001,"First panel year is an anchor row and is excluded from recursion residual maxima."
"NRC","ASSET_LEVEL_GPIM_REAL_RECURSION_COHERENT","Real GPIM recursion residual is within tolerance","PASS",0.00000000116415321826935,0.000000000000000815432135136352,0.000001,"Depletion rate is read from the locked net-value vintage schedule implied by S29B."
"NRC","ME_NRC_SEPARATE_VALIDATION_COMPLETE","Asset is validated before capacity aggregation","PASS",,,0.000001,"ME and NRC checks are computed before bottom-up aggregation."
"NRC","NO_TOTAL_CAPITAL_OBJECT_CONSTRUCTED","No total-capital object is constructed","PASS",,,0.000001,"D05 constructs only ME, NRC, and capacity as ME plus NRC."
"NRC","NO_FORBIDDEN_BASELINE_OBJECT_INCLUDED","No forbidden baseline object is included","PASS",,,0.000001,"Provider TOTAL, IPP, residential, government transportation, and official unmapped prices are excluded."
