ws_id,file_name,relative_path,file_type,folder_cluster,title_guess,author_guess,year_guess,citekey_guess,source_type,probable_dimension_primary,probable_dimension_secondary,probable_source_role,probable_evidentiary_status,probable_corridor_scope,has_bib_entry,related_note_exists,related_note_path,file_size_kb,last_modified,status_flag,notes,relevance_grade,read_status,title_verified,author_verified,year_verified,pages,checksum,dimension_final_primary,dimension_final_secondary,mechanism_1,mechanism_2,mechanism_3,observable_1,observable_2,observable_3,variable_1,variable_2,evidence_marker_1,evidence_marker_2,crosslink_dimensions,keep_flag,notes_path,bib_status
WS_001,Article_inSpanish_Ulianova2000_URSS_UP.pdf,docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/Article_inSpanish_Ulianova2000_URSS_UP.pdf,pdf,flat_current_corpus,La Unidad Popular y el golpe militar en Chile: percepciones y analisis sovieticos,Olga Ulianova,2000,ulianova2000unidadpopular,article,Cold War geopolitics,unclear,historiography,historiographic,overlap,true,true,docs/data_sources_WS_corridor/02_notes/sources/WS_001.md,1275.9,2026-04-11T22:07:11,ok,first_pass mapped; tier=2; see docs/data_sources_WS_corridor/02_notes/sources/WS_001.md,A,first_pass_complete,La Unidad Popular y el golpe militar en Chile: percepciones y analisis sovieticos,Olga Ulianova,2000,90,74d3004318935d30bd913ab51c7b2354c02f4877f3e0c69f1d3ab1f0f265d4b3,Cold War geopolitics,unclear,counter_hegemonic_alignment,security_doctrine_legitimation,unclear,efforts to build non-hegemonic international alignment,anticommunist or hemispheric-security legitimation frames,unclear / requires deeper reading,alignment_reference_count,security_doctrine_invocation_count,EM_ARCHIVAL_SOVIET,EM_SECURITY_FRAME,D01,keep,docs/data_sources_WS_corridor/02_notes/sources/WS_001.md,verified
WS_002,Article_inSpanish_Ulianova2003_Peasants_CommunistInternational.pdf,docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/Article_inSpanish_Ulianova2003_Peasants_CommunistInternational.pdf,pdf,flat_current_corpus,Levantamiento campesino de Lonquimay y la Internacional Comunista,Olga Ulianova,2003,ulianova2003lonquimay,article,unclear,unclear,historiography,historiographic,unclear,true,true,docs/data_sources_WS_corridor/02_notes/sources/WS_002.md,125.1,2026-04-12T22:58:01,needs_manual_review,first_pass mapped; tier=3; see docs/data_sources_WS_corridor/02_notes/sources/WS_002.md,C,first_pass_complete,Levantamiento campesino de Lonquimay y la Internacional Comunista,Olga Ulianova,2003,51,93c95370c01437c5406221e6366c8196568e7cf86b82f0dc47ae05870ded3385,unclear,unclear,counter_hegemonic_alignment,unclear,unclear,efforts to build non-hegemonic international alignment,unclear / requires deeper reading,unclear / requires deeper reading,alignment_reference_count,unclear,EM_ALIGNMENT_REFERENCE,,unclear,peripheral,docs/data_sources_WS_corridor/02_notes/sources/WS_002.md,verified
WS_003,Article_inSpanish_UlianovaFediakova1998_URSS_PCCh_ColdWar.pdf,docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/Article_inSpanish_UlianovaFediakova1998_URSS_PCCh_ColdWar.pdf,pdf,flat_current_corpus,Algunos aspectos de la ayuda financiera del Partido Comunista de la URSS al comunismo chileno durante la Guerra Fria,Olga Ulianova; Eugenia Fediakova,1998,ulianovafediakova1998ayuda,article,Cold War geopolitics,unclear,evidence,archival,overlap,true,true,docs/data_sources_WS_corridor/02_notes/sources/WS_003.md,85.4,2026-04-12T22:48:29,ok,first_pass mapped; tier=1; see docs/data_sources_WS_corridor/02_notes/sources/WS_003.md,A,first_pass_complete,Algunos aspectos de la ayuda financiera del Partido Comunista de la URSS al comunismo chileno durante la Guerra Fria,Olga Ulianova; Eugenia Fediakova,1998,36,6d2b817561bbebb75d8f21c5d0897e301d14420a3d4c66f6a1d1fb37d37b8eb0,Cold War geopolitics,unclear,counter_hegemonic_alignment,diplomatic_isolation,unclear,efforts to build non-hegemonic international alignment,"recognition shifts, OAS/UN positioning, or bilateral distancing",unclear / requires deeper reading,alignment_reference_count,diplomatic_isolation_episode,EM_ARCHIVAL_SOVIET,EM_PARTY_FINANCE,D01,keep,docs/data_sources_WS_corridor/02_notes/sources/WS_003.md,verified
WS_004,Article_ReviewInternationalPoliticalEconomy_Ahumada2025.pdf,docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/Article_ReviewInternationalPoliticalEconomy_Ahumada2025.pdf,pdf,flat_current_corpus,True master of our own destiny: the Third World and the decolonisation of political freedom,Jose Miguel Ahumada,2025,ahumada2025destiny,article,Third World / Non-Aligned Movement / NIEO politics,unclear,theory,conceptual,WS-only,true,true,docs/data_sources_WS_corridor/02_notes/sources/WS_004.md,1995.4,2026-04-11T22:04:50,ok,first_pass mapped; tier=1; see docs/data_sources_WS_corridor/02_notes/sources/WS_004.md,A,first_pass_complete,True master of our own destiny: the Third World and the decolonisation of political freedom,Jose Miguel Ahumada,2025,30,2cb25f6c93932b5a6e600457d6211b4cfabbec3d9598de114044525804b685a8,Third World / Non-Aligned Movement / NIEO politics,unclear,counter_hegemonic_alignment,unclear,unclear,efforts to build non-hegemonic international alignment,unclear / requires deeper reading,unclear / requires deeper reading,alignment_reference_count,unclear,EM_DECOLONIZATION_FRAME,EM_ALIGNMENT_REFERENCE,D03,keep,docs/data_sources_WS_corridor/02_notes/sources/WS_004.md,verified
WS_005,Bolshevik_Rasmussen_Knutsen_07_06_2020.pdf,docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/Bolshevik_Rasmussen_Knutsen_07_06_2020.pdf,pdf,flat_current_corpus,Reforming to Survive: The Bolshevik Origins of Social Policies,Magnus Bergli Rasmussen; Carl Henrik Knutsen,2020,rasmussenknutsen2020reforming,working paper,unclear,unclear,theory,conceptual,unclear,true,true,docs/data_sources_WS_corridor/02_notes/sources/WS_005.md,1439.2,2026-04-12T23:05:20,needs_manual_review,first_pass mapped; tier=3; see docs/data_sources_WS_corridor/02_notes/sources/WS_005.md,C,first_pass_complete,Reforming to Survive: The Bolshevik Origins of Social Policies,Magnus Bergli Rasmussen; Carl Henrik Knutsen,2020,105,8297ad52ab1cd1b3387511f39883d29e82ea4c5de2d58968afa55492dc4541ec,unclear,unclear,coercive_state_pressure,unclear,unclear,documented episodes of direct or indirect state pressure,unclear / requires deeper reading,unclear / requires deeper reading,pressure_episode_count,unclear,EM_POLICY_PRESSURE,,unclear,defer,docs/data_sources_WS_corridor/02_notes/sources/WS_005.md,verified
WS_006,"Book_[A New Press People's history] Vijay Prashad - The darker nations_ a people's history of the third world (2008, The New Press).pdf","docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/Book_[A New Press People's history] Vijay Prashad - The darker nations_ a people's history of the third world (2008, The New Press).pdf",pdf,flat_current_corpus,The darker nations: a people's history of the Third World,Vijay Prashad,2008,prashad2008darker,book,Third World / Non-Aligned Movement / NIEO politics,Cold War geopolitics,historiography,historiographic,WS-only,true,true,docs/data_sources_WS_corridor/02_notes/sources/WS_006.md,3709.1,2026-04-12T10:49:16,ok,first_pass mapped; tier=1; see docs/data_sources_WS_corridor/02_notes/sources/WS_006.md,A,first_pass_complete,The darker nations: a people's history of the Third World,Vijay Prashad,2008,386,e7392b8d962d4f558c7cb2b1f635183054d3d6cd448151ae48ba50d01db0495b,Third World / Non-Aligned Movement / NIEO politics,Cold War geopolitics,counter_hegemonic_alignment,diplomatic_isolation,commodity_sovereignty_conflict,efforts to build non-hegemonic international alignment,"recognition shifts, OAS/UN positioning, or bilateral distancing",resource nationalization or copper-sovereignty disputes,alignment_reference_count,diplomatic_isolation_episode,EM_DECOLONIZATION_FRAME,EM_RESOURCE_SOVEREIGNTY,D03;D01,keep,docs/data_sources_WS_corridor/02_notes/sources/WS_006.md,verified
WS_007,"Book_[New Cold War history] Harmer, Tanya - Allende’s Chile and the Inter-American Cold War (2011, University of North Carolina Press).pdf","docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/Book_[New Cold War history] Harmer, Tanya - Allende’s Chile and the Inter-American Cold War (2011, University of North Carolina Press).pdf",pdf,flat_current_corpus,Allende's Chile and the Inter-American Cold War,Tanya Harmer,2011,harmer2011allende,book,Inter-American order / hemispheric security doctrine,U.S. interventionism,historiography,historiographic,overlap,true,true,docs/data_sources_WS_corridor/02_notes/sources/WS_007.md,5255.4,2026-04-12T17:23:05,ok,first_pass mapped; tier=1; see docs/data_sources_WS_corridor/02_notes/sources/WS_007.md,A,first_pass_complete,Allende's Chile and the Inter-American Cold War,Tanya Harmer,2011,396,f3e122305fc18a030ae851579bcc5eff881729f69ded15cb8cb1acf452b4fc6b,Inter-American order / hemispheric security doctrine,U.S. interventionism,coercive_state_pressure,diplomatic_isolation,financial_strangulation,documented episodes of direct or indirect state pressure,"recognition shifts, OAS/UN positioning, or bilateral distancing","credit denial, sanctions, or financing pressure",pressure_episode_count,diplomatic_isolation_episode,EM_POLICY_PRESSURE,EM_CREDIT_SANCTIONS,D08;D02,keep,docs/data_sources_WS_corridor/02_notes/sources/WS_007.md,verified
WS_008,"Book_Edited_Harmer, Tanya - Alfredo Riquelme Segovia - Chile y la Guerra Fría global-RIL Editores (2014).pdf","docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/Book_Edited_Harmer, Tanya - Alfredo Riquelme Segovia - Chile y la Guerra Fría global-RIL Editores (2014).pdf",pdf,flat_current_corpus,Chile y la Guerra Fria global,Tanya Harmer; Alfredo Riquelme Segovia (eds.),2014,harmerriquelme2014chileglobal,edited volume,Cold War geopolitics,Inter-American order / hemispheric security doctrine,historiography,historiographic,overlap,true,true,docs/data_sources_WS_corridor/02_notes/sources/WS_008.md,1740.2,2026-04-11T22:02:11,ok,first_pass mapped; tier=2; see docs/data_sources_WS_corridor/02_notes/sources/WS_008.md,B,first_pass_complete,Chile y la Guerra Fria global,Tanya Harmer; Alfredo Riquelme Segovia (eds.),2014,326,d9f688cf4dd73af3e4c3943d74a2b044b8a1002c5a2225d73776d608e8a3d2cc,Cold War geopolitics,Inter-American order / hemispheric security doctrine,diplomatic_isolation,security_doctrine_legitimation,trade_channel_disruption,"recognition shifts, OAS/UN positioning, or bilateral distancing",anticommunist or hemispheric-security legitimation frames,"trade interruptions, embargoes, or channel restrictions",diplomatic_isolation_episode,security_doctrine_invocation_count,EM_ALIGNMENT_REFERENCE,EM_TRADE_CHANNEL,D01;D08,keep,docs/data_sources_WS_corridor/02_notes/sources/WS_008.md,verified
WS_009,Book_inSpanish_UlianovaLoyolaAlvarez_Editors_1912-2012_El Siglo de los Comunistas Chilenos_InstitutoIDEA_2012.pdf,docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/Book_inSpanish_UlianovaLoyolaAlvarez_Editors_1912-2012_El Siglo de los Comunistas Chilenos_InstitutoIDEA_2012.pdf,pdf,flat_current_corpus,1912-2012 El siglo de los comunistas chilenos,Olga Ulianova; Manuel Loyola; Rolando Alvarez (eds.),2012,ulianovaloyolaalvarez2012siglo,edited volume,Cold War geopolitics,unclear,historiography,historiographic,overlap,true,true,docs/data_sources_WS_corridor/02_notes/sources/WS_009.md,2040.0,2026-04-12T22:59:08,ok,first_pass mapped; tier=2; see docs/data_sources_WS_corridor/02_notes/sources/WS_009.md,B,first_pass_complete,1912-2012 El siglo de los comunistas chilenos,Olga Ulianova; Manuel Loyola; Rolando Alvarez (eds.),2012,563,ad51967abf83a0052b896d6394863def6ba206d72de35e4cd5f41d2e5c4ec142,Cold War geopolitics,unclear,counter_hegemonic_alignment,security_doctrine_legitimation,unclear,efforts to build non-hegemonic international alignment,anticommunist or hemispheric-security legitimation frames,unclear / requires deeper reading,alignment_reference_count,security_doctrine_invocation_count,EM_ALIGNMENT_REFERENCE,,D01,keep,docs/data_sources_WS_corridor/02_notes/sources/WS_009.md,verified
WS_010,"Book_Jovan Cavoški - Non-Aligned Movement Summits_ A History (2022, Bloomsbury Academic).pdf","docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/Book_Jovan Cavoški - Non-Aligned Movement Summits_ A History (2022, Bloomsbury Academic).pdf",pdf,flat_current_corpus,Non-Aligned Movement Summits: A History,Jovan Cavoski,2022,cavoski2022summits,book,Third World / Non-Aligned Movement / NIEO politics,"Diplomatic isolation, blockade, recognition, and alliance structure",historiography,historiographic,WS-only,true,true,docs/data_sources_WS_corridor/02_notes/sources/WS_010.md,3533.8,2026-04-12T10:52:05,ok,first_pass mapped; tier=1; see docs/data_sources_WS_corridor/02_notes/sources/WS_010.md,A,first_pass_complete,Non-Aligned Movement Summits: A History,Jovan Cavoski,2022,313,9a92aeb0ed48d9ba1aaa14cc5db3dabe58259b557b2a3b2866a5e32fb900d931,Third World / Non-Aligned Movement / NIEO politics,"Diplomatic isolation, blockade, recognition, and alliance structure",counter_hegemonic_alignment,diplomatic_isolation,security_doctrine_legitimation,efforts to build non-hegemonic international alignment,"recognition shifts, OAS/UN positioning, or bilateral distancing",anticommunist or hemispheric-security legitimation frames,alignment_reference_count,diplomatic_isolation_episode,EM_ALIGNMENT_REFERENCE,EM_SECURITY_FRAME,D03;D09,keep,docs/data_sources_WS_corridor/02_notes/sources/WS_010.md,verified
