ws_id,file_name,relative_path,file_type,folder_cluster,title_guess,author_guess,year_guess,citekey_guess,source_type,probable_dimension_primary,probable_dimension_secondary,probable_source_role,probable_evidentiary_status,probable_corridor_scope,has_bib_entry,related_note_exists,related_note_path,file_size_kb,last_modified,status_flag,notes
WS_001,Article_inSpanish_Ulianova2000_URSS_UP.pdf,docs/data_sources_WS_corridor/Article_inSpanish_Ulianova2000_URSS_UP.pdf,pdf,root,ESTUDIO LA UNIDAD POPULAR Y EL GOLPE MILITAR EN CHILE:,Ulianova,2000,ulianova2000estudio,article,Cold War geopolitics,unknown,historiography,historiographic,overlap,false,false,,1275.9,2026-04-11T22:07:11,note_missing,title inferred from first-page text; author inferred from filename; no local note companion; no local bib companion; flat folder placement
WS_002,Article_inSpanish_Ulianova2003_Peasants_CommunistInternational.pdf,docs/data_sources_WS_corridor/Article_inSpanish_Ulianova2003_Peasants_CommunistInternational.pdf,pdf,root,Peasants Communist International,Ulianova,2003,ulianova2003peasants,article,Cold War geopolitics,unknown,historiography,historiographic,unclear,false,false,,125.1,2026-04-12T22:58:01,unclear_relevance,title inferred from filename; author inferred from filename; PDF title metadata appears noisy; no local note companion; no local bib companion; flat folder placement
WS_003,Article_inSpanish_UlianovaFediakova1998_URSS_PCCh_ColdWar.pdf,docs/data_sources_WS_corridor/Article_inSpanish_UlianovaFediakova1998_URSS_PCCh_ColdWar.pdf,pdf,root,Ulianova URSS PCCh Cold War,Ulianova Fediakova,1998,ulianova1998ulianova,article,Cold War geopolitics,unknown,historiography,historiographic,overlap,false,false,,85.4,2026-04-12T22:48:29,note_missing,title inferred from filename; author inferred from filename; no local note companion; no local bib companion; flat folder placement
WS_004,Article_ReviewInternationalPoliticalEconomy_Ahumada2025.pdf,docs/data_sources_WS_corridor/Article_ReviewInternationalPoliticalEconomy_Ahumada2025.pdf,pdf,root,True master of our own destiny: the Third World and the decolonisation of political freedom,Ahumada,2025,ahumada2025true,article,Third World / Non-Aligned Movement / NIEO politics,unknown,theory,conceptual,WS-only,false,false,,1995.4,2026-04-11T22:04:50,note_missing,title observed in PDF metadata; author inferred from filename; no local note companion; no local bib companion; flat folder placement
WS_005,Bolshevik_Rasmussen_Knutsen_07_06_2020.pdf,docs/data_sources_WS_corridor/Bolshevik_Rasmussen_Knutsen_07_06_2020.pdf,pdf,root,Reforming to Survive: The Bolshevik Origins of Social Policies,Rasmussen; Knutsen,2020,rasmussen2020reforming,pdf source,unknown,unknown,unknown,unknown,unclear,false,false,,1439.2,2026-04-12T23:05:20,unclear_relevance,title inferred from first-page text; author inferred from filename; no local note companion; no local bib companion; flat folder placement
WS_006,"Book_[A New Press People's history] Vijay Prashad - The darker nations_ a people's history of the third world (2008, The New Press).pdf","docs/data_sources_WS_corridor/Book_[A New Press People's history] Vijay Prashad - The darker nations_ a people's history of the third world (2008, The New Press).pdf",pdf,root,The darker nations a people's history of the third world,Vijay Prashad,2008,vijay2008darker,book,Third World / Non-Aligned Movement / NIEO politics,unknown,theory,conceptual,WS-only,false,false,,3709.1,2026-04-12T10:49:16,note_missing,title inferred from filename; author inferred from filename; no local note companion; no local bib companion; flat folder placement
WS_007,"Book_[New Cold War history] Harmer, Tanya - Allende’s Chile and the Inter-American Cold War (2011, University of North Carolina Press).pdf","docs/data_sources_WS_corridor/Book_[New Cold War history] Harmer, Tanya - Allende’s Chile and the Inter-American Cold War (2011, University of North Carolina Press).pdf",pdf,root,Allende’s Chile and the Inter-American Cold War,"Harmer, Tanya",2011,harmer2011allendes,book,Inter-American order / hemispheric security doctrine,Cold War geopolitics,historiography,historiographic,overlap,false,false,,5255.4,2026-04-12T17:23:05,note_missing,title inferred from filename; author inferred from filename; no local note companion; no local bib companion; flat folder placement
WS_008,"Book_Edited_Harmer, Tanya - Alfredo Riquelme Segovia - Chile y la Guerra Fría global-RIL Editores (2014).pdf","docs/data_sources_WS_corridor/Book_Edited_Harmer, Tanya - Alfredo Riquelme Segovia - Chile y la Guerra Fría global-RIL Editores (2014).pdf",pdf,root,Chile y la Guerra Fría global,"Harmer, Tanya; Alfredo Riquelme Segovia",2014,harmer2014chile,edited volume,Cold War geopolitics,unknown,historiography,historiographic,overlap,false,false,,1740.2,2026-04-11T22:02:11,note_missing,title inferred from filename; author inferred from filename; no local note companion; no local bib companion; flat folder placement
WS_009,Book_inSpanish_UlianovaLoyolaAlvarez_Editors_1912-2012_El Siglo de los Comunistas Chilenos_InstitutoIDEA_2012.pdf,docs/data_sources_WS_corridor/Book_inSpanish_UlianovaLoyolaAlvarez_Editors_1912-2012_El Siglo de los Comunistas Chilenos_InstitutoIDEA_2012.pdf,pdf,root,El Siglo de los Comunistas Chilenos,Ulianova Loyola Alvarez,2012,ulianova2012siglo,edited volume,unknown,unknown,unknown,unknown,unclear,false,false,,2040.0,2026-04-12T22:59:08,unclear_relevance,title inferred from filename; author inferred from filename; no local note companion; no local bib companion; flat folder placement
WS_010,"Book_Jovan Cavoški - Non-Aligned Movement Summits_ A History (2022, Bloomsbury Academic).pdf","docs/data_sources_WS_corridor/Book_Jovan Cavoški - Non-Aligned Movement Summits_ A History (2022, Bloomsbury Academic).pdf",pdf,root,Non-Aligned Movement Summits A History,Jovan Cavoški,2022,jovan2022non,book,Third World / Non-Aligned Movement / NIEO politics,unknown,historiography,historiographic,WS-only,false,false,,3533.8,2026-04-12T10:52:05,note_missing,title inferred from filename; author inferred from filename; no local note companion; no local bib companion; flat folder placement
