"variable_id","sector_boundary","surplus_ladder","surplus_concept","role","status","audit_status","notes"
"NFC_GVA","NFC","NFC_productive_origin_baseline","NONE_NOT_APPLICABLE","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","PASS","Authorized surplus/distribution object is consumed in D07."
"NFC_NVA","NFC","NFC_productive_origin_baseline","NONE_NOT_APPLICABLE","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","PASS","Authorized surplus/distribution object is consumed in D07."
"NFC_COMP","NFC","NFC_productive_origin_baseline","NONE_NOT_APPLICABLE","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","PASS","Authorized surplus/distribution object is consumed in D07."
"NFC_CFC","NFC","NFC_productive_origin_baseline","NONE_NOT_APPLICABLE","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","PASS","Authorized surplus/distribution object is consumed in D07."
"NFC_NOS","NFC","NFC_productive_origin_baseline","NOS","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","PASS","Authorized surplus/distribution object is consumed in D07."
"NFC_PBT","NFC","NFC_productive_origin_baseline","PBT","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","PASS","Authorized surplus/distribution object is consumed in D07."
"NFC_PAT","NFC","NFC_productive_origin_baseline","PAT","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","PASS","Authorized surplus/distribution object is consumed in D07."
"NFC_TAX","NFC","NFC_productive_origin_baseline","NONE_NOT_APPLICABLE","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","PASS","Authorized surplus/distribution object is consumed in D07."
"NFC_UNDISTRIBUTED","NFC","NFC_productive_origin_baseline","UNDISTRIBUTED_PROFITS","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","PASS","Authorized surplus/distribution object is consumed in D07."
"NFC_RETAINED","NFC","NFC_productive_origin_baseline","RETAINED_PROFITS","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","PASS","Authorized surplus/distribution object is consumed in D07."
"NFC_NET_INT","NFC","NFC_productive_origin_baseline","NONE_NOT_APPLICABLE","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","PASS","Authorized surplus/distribution object is consumed in D07."
"NFC_TRANSFERS_NET","NFC","NFC_productive_origin_baseline","NONE_NOT_APPLICABLE","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","PASS","Authorized surplus/distribution object is consumed in D07."
"NFC_DIVIDENDS_NET","NFC","NFC_productive_origin_baseline","NONE_NOT_APPLICABLE","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","PASS","Authorized surplus/distribution object is consumed in D07."
"CORP_GVA","CORP","corporate_reconciliation_variant","NONE_NOT_APPLICABLE","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","PASS","Authorized surplus/distribution object is consumed in D07."
"CORP_NVA","CORP","corporate_reconciliation_variant","NONE_NOT_APPLICABLE","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","PASS","Authorized surplus/distribution object is consumed in D07."
"CORP_COMP","CORP","corporate_reconciliation_variant","NONE_NOT_APPLICABLE","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","PASS","Authorized surplus/distribution object is consumed in D07."
"CORP_CFC","CORP","corporate_reconciliation_variant","NONE_NOT_APPLICABLE","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","PASS","Authorized surplus/distribution object is consumed in D07."
"CORP_NOS","CORP","corporate_reconciliation_variant","NOS","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","PASS","Authorized surplus/distribution object is consumed in D07."
"CORP_PBT","CORP","corporate_reconciliation_variant","PBT","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","PASS","Authorized surplus/distribution object is consumed in D07."
"CORP_PAT","CORP","corporate_reconciliation_variant","PAT","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","PASS","Authorized surplus/distribution object is consumed in D07."
"CORP_TAX","CORP","corporate_reconciliation_variant","NONE_NOT_APPLICABLE","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","PASS","Authorized surplus/distribution object is consumed in D07."
"CORP_UNDISTRIBUTED","CORP","corporate_reconciliation_variant","UNDISTRIBUTED_PROFITS","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","PASS","Authorized surplus/distribution object is consumed in D07."
"CORP_NET_INT","CORP","corporate_reconciliation_variant","NONE_NOT_APPLICABLE","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","PASS","Authorized surplus/distribution object is consumed in D07."
"CORP_TRANSFERS_NET","CORP","corporate_reconciliation_variant","NONE_NOT_APPLICABLE","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","PASS","Authorized surplus/distribution object is consumed in D07."
"CORP_DIVIDENDS_NET","CORP","corporate_reconciliation_variant","NONE_NOT_APPLICABLE","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","PASS","Authorized surplus/distribution object is consumed in D07."
"FIN_GVA","FIN","financial_transfer_adjusted_candidate","UNKNOWN_REVIEW_REQUIRED","candidate_only","CANDIDATE_ONLY_REQUIRES_CROSSWALK","PASS","Candidate/diagnostic/review object is absent from D07 panel."
"FIN_NVA","FIN","financial_transfer_adjusted_candidate","UNKNOWN_REVIEW_REQUIRED","candidate_only","CANDIDATE_ONLY_REQUIRES_CROSSWALK","PASS","Candidate/diagnostic/review object is absent from D07 panel."
"FIN_COMP","FIN","financial_transfer_adjusted_candidate","UNKNOWN_REVIEW_REQUIRED","candidate_only","CANDIDATE_ONLY_REQUIRES_CROSSWALK","PASS","Candidate/diagnostic/review object is absent from D07 panel."
