"variable_id","candidate_family","D07_0_status","D07_panel_presence","semantic_crosswalk_status","audit_status","notes"
"NFC_NET_INT","NET_INTEREST_AND_MISC_PAYMENTS","DIAGNOSTIC_ONLY","TRUE","bounded_proxy_validated_not_exact_crosswalk","PASS","Variable is present only because D07-0 authorized it under a non-financial-correction accounting role."
"CORP_NET_INT","NET_INTEREST_AND_MISC_PAYMENTS","CANDIDATE_ONLY_REQUIRES_CROSSWALK","TRUE","SECTOR_BOUNDARY_MISMATCH","PASS","Variable is present only because D07-0 authorized it under a non-financial-correction accounting role."
"T711_L4","MONETARY_INTEREST_PAID","CANDIDATE_ONLY_REQUIRES_CROSSWALK","FALSE","SECTOR_BOUNDARY_MISMATCH","PASS","Financial correction candidates must remain outside the D07 panel unless explicitly authorized."
"T711_L28","MONETARY_INTEREST_RECEIVED","CANDIDATE_ONLY_REQUIRES_CROSSWALK","FALSE","INTEREST_RECEIVED_ONLY","PASS","Financial correction candidates must remain outside the D07 panel unless explicitly authorized."
"T711_L44","IMPUTED_INTEREST_PAID","CANDIDATE_ONLY_REQUIRES_CROSSWALK","FALSE","IMPUTED_INTEREST_ONLY","PASS","Financial correction candidates must remain outside the D07 panel unless explicitly authorized."
"T711_L52","IMPUTED_INTEREST_PAID","CANDIDATE_ONLY_REQUIRES_CROSSWALK","FALSE","SECTOR_BOUNDARY_MISMATCH","PASS","Financial correction candidates must remain outside the D07 panel unless explicitly authorized."
"T711_L53","IMPUTED_INTEREST_PAID","CANDIDATE_ONLY_REQUIRES_CROSSWALK","FALSE","SECTOR_BOUNDARY_MISMATCH","PASS","Financial correction candidates must remain outside the D07 panel unless explicitly authorized."
"T711_L73","IMPUTED_INTEREST_RECEIVED","CANDIDATE_ONLY_REQUIRES_CROSSWALK","FALSE","INTEREST_RECEIVED_ONLY","PASS","Financial correction candidates must remain outside the D07 panel unless explicitly authorized."
"T711_L74","IMPUTED_INTEREST_RECEIVED","CANDIDATE_ONLY_REQUIRES_CROSSWALK","FALSE","SECTOR_BOUNDARY_MISMATCH","PASS","Financial correction candidates must remain outside the D07 panel unless explicitly authorized."
"T711_L91","IMPUTED_INTEREST_PAID","CANDIDATE_ONLY_REQUIRES_CROSSWALK","FALSE","SECTOR_BOUNDARY_MISMATCH","PASS","Financial correction candidates must remain outside the D07 panel unless explicitly authorized."
"CORP_IMPUTED_INTEREST_ADJ","METADATA_ONLY_ADJUSTMENT","CANDIDATE_ONLY_REQUIRES_CROSSWALK","FALSE","NOT_ADMISSIBLE","PASS","Financial correction candidates must remain outside the D07 panel unless explicitly authorized."
"NFC_NOS","corporate_financial_boundary_candidate","DIAGNOSTIC_ONLY","TRUE","role_locked_not_baseline_crosswalk","PASS","Variable is present only because D07-0 authorized it under a non-financial-correction accounting role."
"FIN_NOS_IMPLIED","corporate_financial_boundary_candidate","DIAGNOSTIC_ONLY","FALSE","role_locked_not_baseline_crosswalk","PASS","Financial correction candidates must remain outside the D07 panel unless explicitly authorized."
"FIN_COMP_IMPLIED","corporate_financial_boundary_candidate","DIAGNOSTIC_ONLY","FALSE","role_locked_not_baseline_crosswalk","PASS","Financial correction candidates must remain outside the D07 panel unless explicitly authorized."
"FIN_NVA_IMPLIED","corporate_financial_boundary_candidate","DIAGNOSTIC_ONLY","FALSE","role_locked_not_baseline_crosswalk","PASS","Financial correction candidates must remain outside the D07 panel unless explicitly authorized."
"FIN_GVA_IMPLIED","corporate_financial_boundary_candidate","DIAGNOSTIC_ONLY","FALSE","role_locked_not_baseline_crosswalk","PASS","Financial correction candidates must remain outside the D07 panel unless explicitly authorized."
"NFC_SURPLUS_AFTER_NET_INTEREST_PROXY","corporate_financial_boundary_candidate","DIAGNOSTIC_ONLY","FALSE","role_locked_not_baseline_crosswalk","PASS","Financial correction candidates must remain outside the D07 panel unless explicitly authorized."
"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_PROXY","corporate_financial_boundary_candidate","DIAGNOSTIC_ONLY","FALSE","role_locked_not_baseline_crosswalk","PASS","Financial correction candidates must remain outside the D07 panel unless explicitly authorized."
"FINANCIAL_RESIDUAL_FAMILY","corporate_financial_boundary_candidate","DIAGNOSTIC_ONLY","FALSE","role_locked_not_baseline_crosswalk","PASS","Financial correction candidates must remain outside the D07 panel unless explicitly authorized."
