"variable_id","D07_0_status","D07_panel_presence","expected_absent_from_panel","audit_status","notes"
"FIN_GVA","CANDIDATE_ONLY_REQUIRES_CROSSWALK","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"FIN_NVA","CANDIDATE_ONLY_REQUIRES_CROSSWALK","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"gva_real_or_qindex_corp","BLOCKED_BOUNDARY_CONFLICT","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"gva_real_or_qindex_fc","BLOCKED_BOUNDARY_CONFLICT","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"P_Y_NFC_GVA_T115_VALIDATION","DIAGNOSTIC_ONLY","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"P_Y_PROXY_GDP_IMPLICIT","PARKED_FRONTIER_CONTEXT","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"P_Y_PROXY_NONFARM_BUSINESS_OUTPUT","PARKED_FRONTIER_CONTEXT","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"P_Y_PROXY_BUSINESS_OUTPUT","PARKED_FRONTIER_CONTEXT","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"P_Y_PROXY_NONFARM_BUSINESS_OUTPUT_BLS","PARKED_FRONTIER_CONTEXT","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"P_Y_PROXY_GDPBYIND_VA_FINANCE_INSURANCE","PARKED_FRONTIER_CONTEXT","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"P_Y_PROXY_GDPBYIND_VA_MANUFACTURING","PARKED_FRONTIER_CONTEXT","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"FIN_GVA","CANDIDATE_ONLY_REQUIRES_CROSSWALK","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"FIN_NVA","CANDIDATE_ONLY_REQUIRES_CROSSWALK","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"FIN_COMP","CANDIDATE_ONLY_REQUIRES_CROSSWALK","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"FIN_CFC","CANDIDATE_ONLY_REQUIRES_CROSSWALK","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"FIN_NOS","CANDIDATE_ONLY_REQUIRES_CROSSWALK","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"FIN_PBT","CANDIDATE_ONLY_REQUIRES_CROSSWALK","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"FIN_NET_INT","CANDIDATE_ONLY_REQUIRES_CROSSWALK","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"FIN_TRANSFERS","CANDIDATE_ONLY_REQUIRES_CROSSWALK","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"FIN_DIVIDENDS","CANDIDATE_ONLY_REQUIRES_CROSSWALK","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"NFC_NET_OPERATING_SURPLUS_SHARE_GVA","DIAGNOSTIC_ONLY","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"NFC_NET_OPERATING_SURPLUS_SHARE_NVA","DIAGNOSTIC_ONLY","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"CORP_NET_OPERATING_SURPLUS_SHARE_GVA","DIAGNOSTIC_ONLY","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"CORP_NET_OPERATING_SURPLUS_SHARE_NVA","DIAGNOSTIC_ONLY","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
