"object_pattern","found_in_panel","found_in_dictionary","found_in_provenance","found_in_not_consumed","audit_status","notes"
"K_total","FALSE","FALSE","TRUE","TRUE","PASS","No forbidden panel leakage; ledger/provenance mentions are allowed where relevant."
"K_real_total","FALSE","FALSE","TRUE","TRUE","PASS","No forbidden panel leakage; ledger/provenance mentions are allowed where relevant."
"K_current_total","FALSE","FALSE","TRUE","TRUE","PASS","No forbidden panel leakage; ledger/provenance mentions are allowed where relevant."
"pKN_total","FALSE","FALSE","TRUE","TRUE","PASS","No forbidden panel leakage; ledger/provenance mentions are allowed where relevant."
"BEA_TOTAL_fixed_assets","FALSE","FALSE","FALSE","FALSE","PASS","No forbidden panel leakage; ledger/provenance mentions are allowed where relevant."
"provider_TOTAL","FALSE","FALSE","FALSE","FALSE","PASS","No forbidden panel leakage; ledger/provenance mentions are allowed where relevant."
"IPP_baseline","FALSE","FALSE","TRUE","TRUE","PASS","No forbidden panel leakage; ledger/provenance mentions are allowed where relevant."
"residential_baseline","FALSE","FALSE","TRUE","TRUE","PASS","No forbidden panel leakage; ledger/provenance mentions are allowed where relevant."
"government_transportation_baseline","FALSE","FALSE","TRUE","TRUE","PASS","No forbidden panel leakage; ledger/provenance mentions are allowed where relevant."
"all_capital_forms","FALSE","FALSE","FALSE","FALSE","PASS","No forbidden panel leakage; ledger/provenance mentions are allowed where relevant."
"S12D","FALSE","FALSE","TRUE","TRUE","PASS","No forbidden panel leakage; ledger/provenance mentions are allowed where relevant."
"S29C","FALSE","FALSE","TRUE","TRUE","PASS","No forbidden panel leakage; ledger/provenance mentions are allowed where relevant."
"S29D","FALSE","FALSE","TRUE","TRUE","PASS","No forbidden panel leakage; ledger/provenance mentions are allowed where relevant."
"S29E","FALSE","FALSE","TRUE","TRUE","PASS","No forbidden panel leakage; ledger/provenance mentions are allowed where relevant."
"S29F","FALSE","FALSE","TRUE","TRUE","PASS","No forbidden panel leakage; ledger/provenance mentions are allowed where relevant."
"^ln_","FALSE","FALSE","FALSE","FALSE","PASS","No forbidden panel leakage; ledger/provenance mentions are allowed where relevant."
"^log_","FALSE","FALSE","FALSE","FALSE","PASS","No forbidden panel leakage; ledger/provenance mentions are allowed where relevant."
"^y_","FALSE","FALSE","FALSE","FALSE","PASS","No forbidden panel leakage; ledger/provenance mentions are allowed where relevant."
"growth","FALSE","FALSE","TRUE","TRUE","PASS","No forbidden panel leakage; ledger/provenance mentions are allowed where relevant."
"first_difference","FALSE","FALSE","FALSE","FALSE","PASS","No forbidden panel leakage; ledger/provenance mentions are allowed where relevant."
"q_omega","FALSE","FALSE","TRUE","TRUE","PASS","No forbidden panel leakage; ledger/provenance mentions are allowed where relevant."
"interaction","FALSE","FALSE","FALSE","FALSE","PASS","No forbidden panel leakage; ledger/provenance mentions are allowed where relevant."
"periodized","FALSE","FALSE","TRUE","TRUE","PASS","No forbidden panel leakage; ledger/provenance mentions are allowed where relevant."
"stationarity","FALSE","FALSE","TRUE","TRUE","PASS","No forbidden panel leakage; ledger/provenance mentions are allowed where relevant."
"cointegration","FALSE","FALSE","FALSE","FALSE","PASS","No forbidden panel leakage; ledger/provenance mentions are allowed where relevant."
"imputed_interest","FALSE","FALSE","FALSE","FALSE","PASS","No forbidden panel leakage; ledger/provenance mentions are allowed where relevant."
"T711","FALSE","FALSE","TRUE","TRUE","PASS","No forbidden panel leakage; ledger/provenance mentions are allowed where relevant."
"CORP_IMPUTED_INTEREST_ADJ","FALSE","FALSE","TRUE","TRUE","PASS","No forbidden panel leakage; ledger/provenance mentions are allowed where relevant."
