"variable_id","source_stage","source_file","source_column","transformation_type","provenance_complete","audit_status","notes"
"K_real_ME_refrozen","D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN","output/US/D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN/csv/D06_capacity_refrozen_panel.csv","K_real_ME_refrozen","D06_authorized_refrozen_object","TRUE","PASS","D07 provenance row checked for required fields and allowed transformation type."
"K_real_NRC_refrozen","D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN","output/US/D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN/csv/D06_capacity_refrozen_panel.csv","K_real_NRC_refrozen","D06_authorized_refrozen_object","TRUE","PASS","D07 provenance row checked for required fields and allowed transformation type."
"K_real_capacity_refrozen","D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN","output/US/D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN/csv/D06_capacity_refrozen_panel.csv","K_real_capacity_refrozen","D06_authorized_refrozen_object","TRUE","PASS","D07 provenance row checked for required fields and allowed transformation type."
"K_current_ME_refrozen","D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN","output/US/D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN/csv/D06_capacity_refrozen_panel.csv","K_current_ME_refrozen","D06_authorized_refrozen_object","TRUE","PASS","D07 provenance row checked for required fields and allowed transformation type."
"K_current_NRC_refrozen","D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN","output/US/D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN/csv/D06_capacity_refrozen_panel.csv","K_current_NRC_refrozen","D06_authorized_refrozen_object","TRUE","PASS","D07 provenance row checked for required fields and allowed transformation type."
"K_current_capacity_refrozen","D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN","output/US/D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN/csv/D06_capacity_refrozen_panel.csv","K_current_capacity_refrozen","D06_authorized_refrozen_object","TRUE","PASS","D07 provenance row checked for required fields and allowed transformation type."
"pKN_ME","D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN","output/US/D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN/csv/D06_capacity_refrozen_panel.csv","pKN_ME","D06_authorized_refrozen_object","TRUE","PASS","D07 provenance row checked for required fields and allowed transformation type."
"pKN_NRC","D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN","output/US/D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN/csv/D06_capacity_refrozen_panel.csv","pKN_NRC","D06_authorized_refrozen_object","TRUE","PASS","D07 provenance row checked for required fields and allowed transformation type."
"pKN_capacity","D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN","output/US/D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN/csv/D06_capacity_refrozen_panel.csv","pKN_capacity","D06_authorized_refrozen_object","TRUE","PASS","D07 provenance row checked for required fields and allowed transformation type."
"I_current_ME","D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN","output/US/D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN/csv/D06_asset_refrozen_gpim_panel.csv","I_current","D06_authorized_refrozen_object","TRUE","PASS","D07 provenance row checked for required fields and allowed transformation type."
"I_current_NRC","D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN","output/US/D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN/csv/D06_asset_refrozen_gpim_panel.csv","I_current","D06_authorized_refrozen_object","TRUE","PASS","D07 provenance row checked for required fields and allowed transformation type."
"I_real_ME_guardian","D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN","output/US/D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN/csv/D06_real_investment_guardian_panel.csv","I_real_guardian","D06_authorized_refrozen_object","TRUE","PASS","D07 provenance row checked for required fields and allowed transformation type."
"I_real_NRC_guardian","D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN","output/US/D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN/csv/D06_real_investment_guardian_panel.csv","I_real_guardian","D06_authorized_refrozen_object","TRUE","PASS","D07 provenance row checked for required fields and allowed transformation type."
"Y_REAL_NFC_GVA_BASELINE","S12B_OUTPUT_PRICE_REAL_OUTPUT","output/US/S12B_OUTPUT_PRICE_REAL_OUTPUT/csv/S12B_real_output_objects_long.csv","real_output_value","already_constructed_prior_stage","TRUE","PASS","D07 provenance row checked for required fields and allowed transformation type."
