"variable_id","display_name","D07_panel_status","D07_0_contract_status","authorized_for_D07_level_panel","audit_status","notes"
"CORP_CFC","Corporate consumption of fixed capital","CONSUMED","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","PASS","Panel consumption checked against D07-0 authorization."
"CORP_COMP","Corporate compensation of employees","CONSUMED","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","PASS","Panel consumption checked against D07-0 authorization."
"CORP_COMPENSATION_SHARE_GVA","Corporate compensation share of GVA","CONSUMED","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","PASS","Panel consumption checked against D07-0 authorization."
"CORP_COMPENSATION_SHARE_NVA","Corporate compensation share of NVA","CONSUMED","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","PASS","Panel consumption checked against D07-0 authorization."
"CORP_DIVIDENDS_NET","Corporate net dividends","CONSUMED","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","PASS","Panel consumption checked against D07-0 authorization."
"CORP_GVA","Corporate gross value added","CONSUMED","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","PASS","Panel consumption checked against D07-0 authorization."
"CORP_NET_INT","Corporate net interest and miscellaneous payments","CONSUMED","AUTHORIZED_FOR_D07_LEVEL_PANEL; CANDIDATE_ONLY_REQUIRES_CROSSWALK","TRUE","PASS","Panel consumption checked against D07-0 authorization."
"CORP_NOS","Corporate net operating surplus","CONSUMED","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","PASS","Panel consumption checked against D07-0 authorization."
"CORP_NVA","Corporate net value added","CONSUMED","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","PASS","Panel consumption checked against D07-0 authorization."
"CORP_PAT","Corporate profits after tax","CONSUMED","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","PASS","Panel consumption checked against D07-0 authorization."
"CORP_PBT","Corporate profits before tax","CONSUMED","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","PASS","Panel consumption checked against D07-0 authorization."
"CORP_TAX","Corporate income taxes","CONSUMED","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","PASS","Panel consumption checked against D07-0 authorization."
"CORP_TRANSFERS_NET","Corporate business current transfers net","CONSUMED","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","PASS","Panel consumption checked against D07-0 authorization."
"CORP_UNDISTRIBUTED","Corporate undistributed profits with IVA and CCAdj","CONSUMED","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","PASS","Panel consumption checked against D07-0 authorization."
"I_current_ME","Current-dollar ME gross investment source ingredient","CONSUMED","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","PASS","Panel consumption checked against D07-0 authorization."
"I_current_NRC","Current-dollar NRC gross investment source ingredient","CONSUMED","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","PASS","Panel consumption checked against D07-0 authorization."
"I_real_ME_guardian","GPIM-guarded real ME investment ingredient","CONSUMED","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","PASS","Panel consumption checked against D07-0 authorization."
