year,Y_real,X_real,M_real,NX_real,I_ME_real,I_NRC_real,INV_real,I_real,G_real,C_real,P_Y,P_C,P_G,P_K_fbkf,P_X,P_M,P_K,Kn_ME,Kn_NRC,Kn_cc_ME,Kn_cc_NRC,Kn_cc,P_K_rel,Y_nom,period,in_investment_window,source,C_nom,G_nom,I_nom,X_nom,M_nom,NX_nom,I_ME_nom,I_NRC_nom,omega,pi,e_distr,Kg_ME,Kg_NRC,k_ME,k_NRC,k
1881,1169526.5428144478,169766.21297009708,110448.92597659607,59317.286993501,3394.709934363883,93473.590971461,-1648.5630041747806,95219.73790165008,90439.50807456906,924550.0098447276,,,,,,,,,,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,,,,,,,,
1882,1278085.5079531504,211935.9774415152,147802.38992778986,64133.58751372533,4982.767587616614,102042.45446106396,4625.469481908306,111650.6915305889,97721.9070137101,1004579.321895126,,,,,,,,,,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,,,,,,,,
1883,1349590.127306913,237464.2841406428,166917.1065415548,70547.17759908794,4404.769557965722,117403.7614976966,2112.7779677617223,123921.30902342404,128300.8337484497,1026820.8069359512,,,,,,,,,,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,,,,,,,,
1884,1381579.6982055276,216475.23178542007,164616.7519091817,51858.479876238445,7501.80587707045,115924.4802650665,9438.55448839357,132864.84063053053,97649.1895550897,1099207.188143669,,,,,,,,,,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,,,,,,,,
1885,1356731.1589218492,197364.63052131416,126150.23721100304,71214.39331031112,4774.719952197108,122848.13858205565,-10691.096969141874,116931.76156511086,107390.92348456629,1061194.080561861,,,,,,,,,,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,,,,,,,,
1886,1408140.6622885866,213418.6959643125,138755.65870612682,74663.03725818568,2836.32306934269,139803.65121762583,158.86504631074686,142798.83933327926,117200.82842116832,1073477.9572759534,,,,,,,,,,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,,,,,,,,
1887,1485951.9163368992,258383.4407354266,153212.78525727382,105170.6554781528,5735.067364096436,145153.08540281397,-5675.397622186483,145212.75514472392,115412.97046263349,1120155.535251389,,,,,,,,,,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,,,,,,,,
1888,1524662.5129346866,260005.06874427767,191784.0654701392,68221.0032741385,12899.861037014023,140616.86844492942,3928.548113290423,157445.27759523387,116787.27647080214,1182208.9555945122,,,,,,,,,,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,,,,,,,,
1889,1601555.6664536635,267188.7631766322,220222.35089744063,46966.41227919154,5609.479056729157,160406.1356519752,7377.895033298283,173393.50974200264,130317.70305094516,1250878.0413815242,,,,,,,,,,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,,,,,,,,
1890,1748733.5497860208,292172.113763525,234007.66343998848,58164.4503235365,16490.891885016652,201163.68842138333,-5177.951360951865,212476.6289454481,173922.80618306898,1304169.664333967,,,,,,,,,,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,,,,,,,,
1891,1651101.424741921,293611.3769939739,221615.7657142952,71995.61127967873,12694.118605782192,193214.1089677061,-8348.520207619022,197559.70736586925,163573.68964483985,1217972.416451533,,,,,,,,,,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,,,,,,,,
1892,1693398.6119113408,281307.587591564,270443.4668044055,10864.120787158492,5978.00082401914,207128.4116147192,19064.896268735032,232171.3087074733,156959.66556432462,1293403.5168523844,,,,,,,,,,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,,,,,,,,
1893,1740270.8990571147,323038.8777130612,248768.4629982612,74270.41471480005,12485.1792385711,212486.6041100278,-1085.9943332025664,223885.78901539635,143543.86104399155,1298570.8342829267,,,,,,,,,,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,,,,,,,,
1894,1768348.6486034663,335862.55482631776,213457.7278900346,122404.82693628316,10321.52421513385,229407.281776228,-18799.57616397645,220929.2298273854,133883.71585230864,1291130.8759874892,,,,,,,,,,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,,,,,,,,
1895,1881718.0203570973,367801.96588147874,271037.3200519125,96764.64582956625,8627.068600060189,244554.68560083187,10958.927441090766,264140.6816419828,186853.50623449308,1333959.1866510557,,,,,,,,,,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,,,,,,,,
1896,1984164.692762372,413195.732568593,285974.9930269583,127220.73954163468,9764.165330037084,268819.1764045716,3455.4777898363063,282038.819524445,226952.29672313965,1347952.8369731524,,,,,,,,,,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,,,,,,,,
1897,1908292.963257006,325697.33087030664,263296.0560085914,62401.27486171527,6764.358778784435,245849.34924506405,7270.118448127832,259883.8264719763,227750.49541585363,1358257.3665074608,,,,,,,,,,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,,,,,,,,
1898,1963520.866777998,413192.33689488727,237090.0239458395,176102.31294904777,7838.004263783141,249847.0540622429,-12167.762381088489,245517.2959449376,205930.263025726,1335970.9948582866,,,,,,,,,,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,,,,,,,,
1899,1982523.7279349049,388938.8737117445,247001.3147047909,141937.55900695355,12023.899762839555,243065.0120588655,-15853.168398365047,239235.74342334,214786.84462118088,1386563.5808834303,,,,,,,,,,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,,,,,,,,
1900,2038666.995236581,376624.5930668296,308950.1134756252,67674.47959120444,12431.79159071022,259440.9041230236,1061.702131925084,272934.3978456589,201046.12606637555,1497011.991733342,,,,,,,,215216.7278144904,319688.24058410776,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,,,,372018.1861217398,520374.8445518396,12.826698019484365,13.162304685773888,13.70166193186589
1901,2044650.0174701088,333193.20585314627,367730.224046286,-34537.018193139695,18175.81502593396,264100.2977972391,24383.14469612302,306659.2575192961,220013.8834832111,1552513.894660741,,,,,,,,438434.4959677383,590216.4956591867,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,,,,757866.767975902,960729.167326929,13.538262881333713,13.775447824431316,14.357018198737336
1902,2110985.289422116,377087.28274623415,358274.70477658795,18812.5779696462,29392.389531338937,257435.43399483248,-8114.130580035757,278713.69294613565,234270.0858823676,1579188.932623966,,,,,,,,664075.6821648811,865113.3939438452,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,,,,1147904.4088965212,1408194.5806661684,13.953448584882976,14.157819002647727,14.753992822040551
1903,2235648.054357602,382367.682421398,376344.58405069634,6023.098370701657,26194.231806096792,262460.0675643087,-7973.768824960341,280680.5305454452,244175.0388581369,1704769.386583318,,,,,,,,888764.8024978759,1141757.2977726096,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,,,,1536296.3328719682,1858503.6949084636,14.244885099128965,14.435282256830712,15.03775541526089
1904,2366883.4234039,410827.8511781521,419250.4540710212,-8422.602892869094,24199.31913247146,263317.08356164244,-20007.92908125948,267508.47361285443,239298.92029828404,1868498.6323856304,,,,,,,,1108724.4828267489,1417316.4746115836,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,,,,1916513.0666121023,2307047.136951925,14.466017981735206,14.6514789690893,15.256188980473105
1905,2474682.906958334,455999.26297303167,545396.9173533896,-89397.65438035788,21384.465631893992,291217.0737232709,14374.617907027572,326976.1572621925,250500.88816994525,1986603.5159065544,,,,,,,,1466878.3844782864,1642011.467859415,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,,,,2535608.832066158,2672796.0364712826,14.745944336611416,14.798635687111014,15.465784199583497
1906,2654811.142687558,394625.42039523256,659008.6718360531,-264383.2514408206,79545.39861751652,315746.2696456264,-16951.013485637963,378340.65477750497,257653.8586297804,2283199.880721093,,,,,,,,1916059.067886404,1926127.0549927745,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,,,,3312051.1875435114,3135267.237223439,15.013078249544039,14.958224971549642,15.679174854226606
1907,2872281.966699408,416688.57506582094,854196.3211289748,-437507.7460631538,92590.95541239103,378395.122348522,51668.96829201521,522655.0460529282,286698.79337093467,2500435.873338699,,,,,,,,2445681.006986727,2264626.2102139383,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,,,,4227542.26072911,3686261.684054833,15.257131356329179,15.120123408738294,15.884119127406587
1908,3013242.2739663576,535030.0509849582,802266.3527501153,-267236.30176515714,108621.19480784434,418542.713019667,14831.579701523096,541995.4875290344,283983.98524026765,2454499.1029622126,,,,,,,,3029776.047695366,2643478.8816812485,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,,,,5237194.158022298,4302941.858660703,15.471296446857815,15.274809499914602,16.071018300836773
1909,3018599.087637104,525070.2871061137,683788.0678288724,-158717.78072275862,57606.60800786343,435205.7670272296,-32094.707356265488,460717.6676788275,280430.3598652696,2436168.840815765,,,,,,,,3557667.541248564,2997554.8281367617,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,,,,6149694.026852355,4879291.54002428,15.631912886813717,15.400510591065709,16.216037416635388
1910,3208578.5925527643,569897.5320106255,732957.3230139344,-163059.79100330896,60068.42886290035,481212.4934589696,-12585.524858465791,528695.3974634041,320629.69178826985,2522313.2943044,,,,,,,,4124221.4884812655,3386391.772402583,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,,,,7129024.83412723,5512223.686851571,15.77968501362957,15.522478672646765,16.35247571719891
1911,3320627.28501278,523665.1025797658,830889.785529978,-307224.6829502122,74274.01070002069,501121.6805251719,12661.647020515287,588057.3382457079,364776.1072289036,2675018.522488381,,,,,,,,4709031.79945924,3799611.342763338,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,,,,8139913.129496377,6184844.829560394,15.912290065869733,15.637612475306526,16.47749992402141
1912,3514863.100536471,570145.2863044419,868672.2809206757,-298526.99461623386,88479.59253714101,566212.2154536484,5704.723081529363,660396.5310723188,375130.9596792879,2777862.6044010986,,,,,,,,5362452.129546999,4269606.414403973,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,,,,9269398.9666003,6949882.704892506,16.04222909904312,15.754235340404673,16.60171131907979
1913,3639054.956855598,606400.4908792004,859729.74612943,-253329.2552502296,83605.70311687728,557202.6216263324,14015.645945934122,654823.9706891438,355377.0302307701,2882183.211185913,,,,,,,,5970541.05937747,4729339.84541107,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,,,,10320526.093071789,7698217.120504708,16.14964529472919,15.856499317222145,16.706923063737573
1914,3069430.8951081703,460441.3550860019,683447.1439296916,-223005.7888436897,54906.61873635521,499171.1120519915,36461.18611100158,590538.9168993483,305673.3379406701,2396224.4291118416,,,,,,,,6443630.631773463,5126317.656211078,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,,,,11138296.748648206,8344400.621681177,16.22589988567935,15.937101287655066,16.785037315295497
1915,2705620.797766997,506196.1613319854,413115.3041314013,93080.85720058414,25428.46426882135,367167.79362071614,-72867.24636441284,319729.01152512466,251909.4065108624,2040901.5225304265,,,,,,,,6690321.0139462855,5406708.334078116,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,,,,11564719.496738296,8800808.574448703,16.263469598856194,15.990354158687488,16.829354229059277
1916,3000727.3504828736,653221.5176774292,576832.8808241093,76388.63685331994,47068.64506721267,334440.48681567307,632.5663473361433,382141.69823022187,238596.38939681964,2303600.626002512,,,,,,,,6736598.7780676745,5769846.937562317,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,,,,11644714.067983003,9391910.061302256,16.27036290694013,16.055359244907727,16.861775482831256
1917,3096270.297909822,698668.2854799278,736931.9652865544,-38263.67980662664,101832.2624137236,335844.7322952887,29345.54479891481,467022.5395079272,220738.0482325352,2446773.389975986,,,,,,,,6791050.940276939,6185916.171190832,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,,,,11738838.696775606,10069169.763994632,16.278413448968536,16.124988814820636,16.89778782088473
1918,3183364.503128032,883631.3401993029,765767.9754435751,117863.36475572782,110133.18398633217,348287.7294410884,33022.70967724683,491443.62310466735,216146.2394226659,2357911.2758449703,,,,,,,,6826977.690753123,6620736.930218646,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,,,,11800940.767934864,10776952.397705495,16.283689812354112,16.192920374542723,16.932481807002212
1919,2862136.772787628,325425.9929070419,566860.4764253743,-241434.4835183324,125315.08294915188,336914.4184435392,-13331.134570103231,448898.3668225878,226364.93775554595,2428307.951727826,,,,,,,,6833232.655876078,7057803.663804612,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,,,,11811752.942262232,11488390.93273894,16.284605605801122,16.25684759935157,16.963970093409618
1920,3014723.29825359,655511.228615644,514085.9664892925,141425.26212635153,107445.37954035672,366665.1181547726,-25586.406514010727,448524.0911811186,236310.70266699253,2188463.2422791272,,,,,,,,7024657.174780058,7380207.109412974,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,0.516925820551757,0.483074179448243,0.9345135418707052,12142644.518512148,12013185.471896503,16.312234155005797,16.301515393849833,17.0000363163991
1921,2784015.250498198,417112.0160264071,515966.1139719593,-98854.09794555226,86371.15064178758,357058.25469868537,14301.139509413444,457730.5448498864,276766.894376024,2148371.90921784,,,,,,,,7354423.806226255,7556814.269382029,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,0.6558033235305708,0.3441966764694292,0.5248474109835526,12712670.767493296,12300659.053182209,16.358109752286552,16.325163400466735,17.034919433562706
1922,2795460.292540422,470848.8751872738,497893.3603897853,-27044.48520251148,90883.43180649236,335096.6329830216,-32152.695642220016,393827.3691472939,290201.5000566686,2138475.908538971,,,,,,,,7639438.027090732,7718951.037005535,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,0.6898369608309547,0.3101630391690453,0.4496178905743658,13205339.132734394,12564578.348724836,16.39613178552932,16.34639217079428,17.064718380506978
1923,3193418.3832870666,673243.161826417,703014.4277064471,-29771.265880030114,120764.3769554862,380961.7387650759,29509.11349665972,531235.2292172217,312969.2537168848,2378985.16623299,,,,,,,,7778486.269170758,8062906.780232462,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,0.6010173223079679,0.3989826776920321,0.66384555466704,13445694.40310453,13124454.79612683,16.414169494034898,16.38998782623646,17.095298933046966
1924,3508299.325508568,775951.4727236339,781280.6848892624,-5329.21216562856,146305.4193035313,368178.8946799255,-39449.85491388507,475034.45906957175,344701.7734415638,2693892.305163061,,,,,,,,7983914.775520829,8370556.673691721,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,0.5216991909156851,0.4783008090843149,0.916813400160354,13800792.917453868,13625234.134124191,16.44023660626331,16.42743408252184,17.12700301288937
1925,3655890.473888711,724036.852736575,964051.1944416926,-240014.3417051176,153961.4282881939,474375.3789049454,-43722.092693262326,584614.7144998771,373527.2144547389,2937762.8866392127,,,,,,,,8031188.622218793,8924321.17092755,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,0.4717264513305704,0.5282735486694295,1.11987264479098,13882509.291818287,14526628.297515728,16.44614028141648,16.491493957518355,17.162221397485567
1926,3628822.054280333,693761.1767754243,1298301.151336656,-604539.9745612317,204320.1285425833,420952.0563927112,192592.8337651412,817865.0187004358,416132.8076713005,2999364.2024698285,,,,,,,,8066423.788936983,9466235.247656891,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,0.5617975851274443,0.4382024148725557,0.7800005312823641,13943415.908805313,15408732.85326429,16.45051797695162,16.550444975055118,17.194876313213378
1927,3708732.217763216,768244.4710199683,903249.351807356,-135004.88078738772,149941.9975488045,481058.5300965144,-101259.0431983696,529741.4844469493,443649.97322622495,2870345.6408774294,,,,,,,,8083692.835770486,10020282.178137025,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,0.5875910751460215,0.4124089248539785,0.7018638340473284,13973266.745886102,16310586.74941087,16.45265654397456,16.607324948776046,17.226125240500362
1928,4166144.103727921,910865.3315663992,967197.9105889422,-56332.57902254304,88100.61808369208,503563.0596384043,-70170.12339187946,521493.5543302168,456099.4838971236,3244883.644523124,,,,,,,,8055584.977211746,10534398.204638988,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,0.436008684898591,0.563991315101409,1.2935322956527455,13924680.213310428,17147442.827957127,16.4491733785811,16.657359614217214,17.251821609941363
1929,4359248.177905941,949893.9073836952,1243141.7237774336,-293247.8163937385,276265.6756580944,513591.8823693295,70351.70813746602,860209.2661648899,446195.30594256,3346091.42219223,,,,,,,,8190210.471255503,11340558.952573411,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,0.5614619056398236,0.4385380943601764,0.7810647346776498,14157390.433415024,18459676.8129285,16.465747337820602,16.7310992794604,17.300346244504127
1930,4174087.290435733,622671.9633415396,1126463.166532588,-503791.2031910484,253801.37246469385,546251.2020164606,87949.07591929726,888001.6504004517,470168.1247622915,3319708.7184640383,,,,,,,,8324162.579440497,12258829.35387652,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,0.6686490552422352,0.3313509447577648,0.4955528496749681,14388936.655775208,19954398.09658154,16.481970181468522,16.8089601329723,17.351918518571885
1931,3593283.4709406565,538885.3457342414,583620.6589026458,-44735.31316840439,125193.6888542667,559301.6471787543,293.81047919563736,684789.1465122167,402387.2868011304,2550842.3507957137,,,,,,,,8344695.185735948,13061718.824206166,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,0.5811436847010782,0.4188563152989217,0.7207448455959184,14424428.799104186,21261307.235784546,16.484433771592037,16.872399417030312,17.39026161606471
1932,2938088.7446062607,258938.41533096787,211408.5915162956,47529.8238146723,16702.40296972916,466864.4445462296,-56843.80701319928,426723.0405027595,312180.4956175691,2151655.38467126,,,,,,,,7995133.194485517,13533409.126994576,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,0.4609216486983835,0.5390783513016165,1.169566135207455,13820184.792410702,22029104.53587182,16.441640747589997,16.907875070465867,17.394834301334544
1933,3093509.657358266,398571.8907262632,210080.9791408176,188490.9115854456,12678.942576231204,506335.2234627458,-18778.442462123032,500235.7235768539,306839.12760398496,2097943.894591981,,,,,,,,7615477.559655915,14041160.694097634,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,0.5189968270302697,0.4810031729697303,0.9267940532932708,13163921.675437983,22855600.81962453,16.39299043912171,16.94470675772555,17.399571640962986
1934,3535501.6524094115,637862.3922045012,312007.46211782325,325854.93008667795,22774.67970344016,501853.852534247,1415.8596744308454,526044.391912118,381070.3203036701,2302532.0101069454,,,,,,,,7314163.83015172,14260753.538979612,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,0.5367886606293845,0.4632113393706155,0.862930559724381,12643078.392287854,23213044.66025929,16.352620460724694,16.960224948460844,17.39502490687068
1935,3847985.8221308007,649490.1512879689,420842.5492173743,228647.60207059456,40629.42573238251,531449.9080142967,8277.01072616327,580356.3444728424,457169.8188675874,2581812.056719776,,,,,,,,7122979.91064687,14621180.55681521,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,0.5718574788836842,0.4281425211163158,0.74868745609848,12312602.710066974,23799732.34397201,16.32613390636206,16.98518489252687,17.402145056187567
1936,4049570.14860498,674482.6257904076,472973.6657107101,201508.9600796976,54273.58366777421,535332.980579072,7865.346560141076,597471.9108069873,481134.1739073124,2769455.103810983,,,,,,,,6974285.56245463,15085777.054301132,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,0.5285386217121376,0.4714613782878624,0.8920093232933852,12055573.424923709,24555982.65119893,16.305037635859208,17.0164660750298,17.41587448832105
1937,4441881.758491351,886997.3194972686,530652.4534465295,356344.8660507392,57812.61056152852,546387.781888737,-10959.27802787768,593241.1144223878,508169.9358705164,2984125.842147708,,,,,,,,6825401.389629302,15535114.534031948,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,0.5328311331485793,0.4671688668514206,0.876767211575738,11798216.0137263,25287394.981971607,16.283458892728817,17.045816607487442,17.428739608565085
1938,4547159.205740728,817919.2757189097,603490.8097896136,214428.4659292961,101870.36565901758,576421.3749048365,37799.55902623884,716091.299590093,575150.5231148417,3041488.9171064966,,,,,,,,6725026.402131322,16153519.087127509,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,0.5531664074120999,0.4468335925879001,0.807774272986567,11624710.351967622,26294007.463554543,16.26864359316751,17.084851618088745,17.45095542189763
1939,4652165.373641137,746263.0498163522,518149.1108878412,228113.938928511,79565.56453480279,601327.0403772804,-33064.18051271514,647828.4243993681,593749.3442474755,3182473.6660657823,,,,,,,,6611922.702430557,16551467.907250138,,,,,,pre_fordist,False,PerezEyzaguirre,,,,,,,,,0.5785353553129456,0.4214646446870543,0.7285028318780493,11429202.160603402,26941771.53217508,16.25168223111278,17.109188485217132,17.46281183830925
