"candidate_id","derived_variable_family","source_input_id","source_input_status","dependency_role","dependency_authorization_status","implementation_authorized"
"DV_PLAN_REAL_OUTPUT_PRICE_SOURCE_REVIEW","real_output_and_price_inputs","","no_observation_source_mapped_in_s27","requires_future_review","requires_review_before_implementation","no"
"DV_PLAN_NFC_DISTRIBUTION_ACCOUNTING","income_distribution_variables","NFC_AFTER_TAX","authorized_observation_bearing","observation_bearing_source_input","ready_for_first_future_planning_family","no"
"DV_PLAN_NFC_DISTRIBUTION_ACCOUNTING","income_distribution_variables","NFC_CFC","authorized_observation_bearing","observation_bearing_source_input","ready_for_first_future_planning_family","no"
"DV_PLAN_NFC_DISTRIBUTION_ACCOUNTING","income_distribution_variables","NFC_COMP","authorized_observation_bearing","observation_bearing_source_input","ready_for_first_future_planning_family","no"
"DV_PLAN_NFC_DISTRIBUTION_ACCOUNTING","income_distribution_variables","NFC_DIVIDENDS_NET","authorized_observation_bearing","observation_bearing_source_input","ready_for_first_future_planning_family","no"
"DV_PLAN_NFC_DISTRIBUTION_ACCOUNTING","income_distribution_variables","NFC_GVA","authorized_observation_bearing","observation_bearing_source_input","ready_for_first_future_planning_family","no"
"DV_PLAN_NFC_DISTRIBUTION_ACCOUNTING","income_distribution_variables","NFC_NET_INT","authorized_observation_bearing","observation_bearing_source_input","ready_for_first_future_planning_family","no"
"DV_PLAN_NFC_DISTRIBUTION_ACCOUNTING","income_distribution_variables","NFC_NOS","authorized_observation_bearing","observation_bearing_source_input","ready_for_first_future_planning_family","no"
"DV_PLAN_NFC_DISTRIBUTION_ACCOUNTING","income_distribution_variables","NFC_NVA","authorized_observation_bearing","observation_bearing_source_input","ready_for_first_future_planning_family","no"
"DV_PLAN_NFC_DISTRIBUTION_ACCOUNTING","income_distribution_variables","NFC_PAT","authorized_observation_bearing","observation_bearing_source_input","ready_for_first_future_planning_family","no"
"DV_PLAN_NFC_DISTRIBUTION_ACCOUNTING","income_distribution_variables","NFC_PBT","authorized_observation_bearing","observation_bearing_source_input","ready_for_first_future_planning_family","no"
