"variable_id","display_name","construction_family","metadata_classification","future_planning_disposition","s27_reference_usage","s27_observation_bearing_promotion","implementation_authorized_in_s27"
"DOWNSTREAM__K_N_NFC_ME_GPIM","K_N_NFC_ME_GPIM","provider_source_inputs_other","authorized_metadata_only_not_observation_bearing","metadata_reference_only_requires_explicit_future_interpretation","context_or_provenance_reference_only","prohibited","no"
"DOWNSTREAM__K_N_NFC_NRC_GPIM","K_N_NFC_NRC_GPIM","provider_source_inputs_other","authorized_metadata_only_not_observation_bearing","metadata_reference_only_requires_explicit_future_interpretation","context_or_provenance_reference_only","prohibited","no"
"DOWNSTREAM__P_K_NFC_ME_GPIM","P_K_NFC_ME_GPIM","provider_source_inputs_other","authorized_metadata_only_not_observation_bearing","metadata_reference_only_requires_explicit_future_interpretation","context_or_provenance_reference_only","prohibited","no"
"DOWNSTREAM__P_K_NFC_NRC_GPIM","P_K_NFC_NRC_GPIM","provider_source_inputs_other","authorized_metadata_only_not_observation_bearing","metadata_reference_only_requires_explicit_future_interpretation","context_or_provenance_reference_only","prohibited","no"
"DOWNSTREAM__IPP_NFC_GPIM","IPP_NFC_GPIM","provider_source_inputs_other","authorized_metadata_only_not_observation_bearing","metadata_reference_only_requires_explicit_future_interpretation","context_or_provenance_reference_only","prohibited","no"
"DOWNSTREAM__e_adj_CORP","e_adj_CORP","provider_source_inputs_other","authorized_metadata_only_not_observation_bearing","metadata_reference_only_requires_explicit_future_interpretation","context_or_provenance_reference_only","prohibited","no"
"DOWNSTREAM__e_adj_NFC","e_adj_NFC","provider_source_inputs_other","authorized_metadata_only_not_observation_bearing","metadata_reference_only_requires_explicit_future_interpretation","context_or_provenance_reference_only","prohibited","no"
"DOWNSTREAM__GOV_TRANS_GPIM","GOV_TRANS_GPIM","provider_source_inputs_other","authorized_metadata_only_not_observation_bearing","metadata_reference_only_requires_explicit_future_interpretation","context_or_provenance_reference_only","prohibited","no"
"DOWNSTREAM__K_N_NFC_KCAP_GPIM","K_N_NFC_KCAP_GPIM","provider_source_inputs_other","authorized_metadata_only_not_observation_bearing","metadata_reference_only_requires_explicit_future_interpretation","context_or_provenance_reference_only","prohibited","no"
"DOWNSTREAM__K_G_NFC_KCAP_GPIM","K_G_NFC_KCAP_GPIM","provider_source_inputs_other","authorized_metadata_only_not_observation_bearing","metadata_reference_only_requires_explicit_future_interpretation","context_or_provenance_reference_only","prohibited","no"
"DOWNSTREAM__K_G_NFC_ME_GPIM","K_G_NFC_ME_GPIM","provider_source_inputs_other","authorized_metadata_only_not_observation_bearing","metadata_reference_only_requires_explicit_future_interpretation","context_or_provenance_reference_only","prohibited","no"
"DOWNSTREAM__K_G_NFC_NRC_GPIM","K_G_NFC_NRC_GPIM","provider_source_inputs_other","authorized_metadata_only_not_observation_bearing","metadata_reference_only_requires_explicit_future_interpretation","context_or_provenance_reference_only","prohibited","no"
"DOWNSTREAM__pi_adj_NFC","pi_adj_NFC","provider_source_inputs_other","authorized_metadata_only_not_observation_bearing","metadata_reference_only_requires_explicit_future_interpretation","context_or_provenance_reference_only","prohibited","no"
"DOWNSTREAM__omega_adj_CORP","omega_adj_CORP","provider_source_inputs_other","authorized_metadata_only_not_observation_bearing","metadata_reference_only_requires_explicit_future_interpretation","context_or_provenance_reference_only","prohibited","no"
"DOWNSTREAM__omega_adj_NFC","omega_adj_NFC","provider_source_inputs_other","authorized_metadata_only_not_observation_bearing","metadata_reference_only_requires_explicit_future_interpretation","context_or_provenance_reference_only","prohibited","no"
"DOWNSTREAM__pi_adj_CORP","pi_adj_CORP","provider_source_inputs_other","authorized_metadata_only_not_observation_bearing","metadata_reference_only_requires_explicit_future_interpretation","context_or_provenance_reference_only","prohibited","no"
"DOWNSTREAM__e_x_Kcap","e_x_Kcap","provider_source_inputs_other","authorized_metadata_only_not_observation_bearing","metadata_reference_only_requires_explicit_future_interpretation","context_or_provenance_reference_only","prohibited","no"
"DOWNSTREAM__e_x_ME","e_x_ME","provider_source_inputs_other","authorized_metadata_only_not_observation_bearing","metadata_reference_only_requires_explicit_future_interpretation","context_or_provenance_reference_only","prohibited","no"
"DOWNSTREAM__e_x_ME_NRC_gap","e_x_ME_NRC_gap","provider_source_inputs_other","authorized_metadata_only_not_observation_bearing","metadata_reference_only_requires_explicit_future_interpretation","context_or_provenance_reference_only","prohibited","no"
"DOWNSTREAM__e_x_NRC","e_x_NRC","provider_source_inputs_other","authorized_metadata_only_not_observation_bearing","metadata_reference_only_requires_explicit_future_interpretation","context_or_provenance_reference_only","prohibited","no"
"DOWNSTREAM__ln_e_adj_CORP","ln_e_adj_CORP","provider_source_inputs_other","authorized_metadata_only_not_observation_bearing","metadata_reference_only_requires_explicit_future_interpretation","context_or_provenance_reference_only","prohibited","no"
"DOWNSTREAM__ln_e_adj_NFC","ln_e_adj_NFC","provider_source_inputs_other","authorized_metadata_only_not_observation_bearing","metadata_reference_only_requires_explicit_future_interpretation","context_or_provenance_reference_only","prohibited","no"
