"candidate_id","derived_variable_family","candidate_label","planning_sequence_group","required_source_input_count","required_source_inputs","planning_authorization_status","s27_planning_only","implementation_authorized","modeling_authorized","econometrics_authorized","notes","provider_v1_commit","s21_intake_commit","s22_model_input_preparation_commit","s23_construction_plan_commit","s24a_income_distribution_construction_commit","s24b_fixed_assets_construction_commit","s24c_provider_other_construction_commit","s25_consolidation_commit","s26_completeness_review_commit"
"DV_PLAN_REAL_OUTPUT_PRICE_SOURCE_REVIEW","real_output_and_price_inputs","Real output and economy-wide price source review",1,0,"","requires_review_before_implementation","yes","no","no","no","No direct real-output source-input object is authorized in the S25 substrate; future planning must resolve source requirements before implementation.","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","0c3399f67365aafff8b012d66fac37d3bceda3f3","1d6276ac35754e29acfeb755b6a351873cf59f6b","8d5ec75f0a86fef94f736ff38bb80f0294c1cc1b"
"DV_PLAN_NFC_DISTRIBUTION_ACCOUNTING","income_distribution_variables","NFC income-distribution accounting variables",2,15,"NFC_AFTER_TAX; NFC_CFC; NFC_COMP; NFC_DIVIDENDS_NET; NFC_GVA; NFC_NET_INT; NFC_NOS; NFC_NVA; NFC_PAT; NFC_PBT; NFC_PROFITS_IVA_CC; NFC_RETAINED; NFC_TAX; NFC_TRANSFERS_NET; NFC_UNDISTRIBUTED","ready_for_first_future_planning_family","yes","no","no","no","Use only observation-bearing NFC income-account source inputs; do not construct adjusted Shaikh alternatives in S27.","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","0c3399f67365aafff8b012d66fac37d3bceda3f3","1d6276ac35754e29acfeb755b6a351873cf59f6b","8d5ec75f0a86fef94f736ff38bb80f0294c1cc1b"
"DV_PLAN_CORP_DISTRIBUTION_ACCOUNTING","income_distribution_variables","Corporate income-distribution accounting variables",3,14,"CORP_AFTER_TAX; CORP_CFC; CORP_COMP; CORP_DIVIDENDS_NET; CORP_GVA; CORP_NET_INT; CORP_NOS; CORP_NVA; CORP_PAT; CORP_PBT; CORP_PROFITS_IVA_CC; CORP_TAX; CORP_TRANSFERS_NET; CORP_UNDISTRIBUTED","ready_for_first_future_planning_family","yes","no","no","no","Use only observation-bearing corporate income-account source inputs.","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","0c3399f67365aafff8b012d66fac37d3bceda3f3","1d6276ac35754e29acfeb755b6a351873cf59f6b","8d5ec75f0a86fef94f736ff38bb80f0294c1cc1b"
"DV_PLAN_NFC_FIXED_ASSET_CAPITAL_STOCK","fixed_assets_and_capital_stock_variables","NFC fixed-asset and capital-stock planning family",4,16,"NFC__ME__cfc_current_cost; NFC__ME__gross_investment_current_cost; NFC__ME__net_stock_current_cost; NFC__ME__net_stock_quantity_index; NFC__NRC__cfc_current_cost; NFC__NRC__gross_investment_current_cost; NFC__NRC__net_stock_current_cost; NFC__NRC__net_stock_quantity_index; NFC__IPP__cfc_current_cost; NFC__IPP__gross_investment_current_cost; NFC__IPP__net_stock_current_cost; NFC__IPP__net_stock_quantity_index; NFC__TOTAL__cfc_current_cost; NFC__TOTAL__gross_investment_current_cost; NFC__TOTAL__net_stock_current_cost; NFC__TOTAL__net_stock_quantity_index","ready_after_distribution_planning","yes","no","no","no","Plan capital-stock construction only in a later implementation setup; S27 constructs no K.","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","0c3399f67365aafff8b012d66fac37d3bceda3f3","1d6276ac35754e29acfeb755b6a351873cf59f6b","8d5ec75f0a86fef94f736ff38bb80f0294c1cc1b"
"DV_PLAN_CORP_FIXED_ASSET_CAPITAL_STOCK","fixed_assets_and_capital_stock_variables","Corporate fixed-asset and capital-stock planning family",5,16,"CORP__ME__cfc_current_cost; CORP__ME__gross_investment_current_cost; CORP__ME__net_stock_current_cost; CORP__ME__net_stock_quantity_index; CORP__NRC__cfc_current_cost; CORP__NRC__gross_investment_current_cost; CORP__NRC__net_stock_current_cost; CORP__NRC__net_stock_quantity_index; CORP__IPP__cfc_current_cost; CORP__IPP__gross_investment_current_cost; CORP__IPP__net_stock_current_cost; CORP__IPP__net_stock_quantity_index; CORP__TOTAL__cfc_current_cost; CORP__TOTAL__gross_investment_current_cost; CORP__TOTAL__net_stock_current_cost; CORP__TOTAL__net_stock_quantity_index","ready_after_distribution_planning","yes","no","no","no","Plan corporate fixed-asset source use only; S27 constructs no K.","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","0c3399f67365aafff8b012d66fac37d3bceda3f3","1d6276ac35754e29acfeb755b6a351873cf59f6b","8d5ec75f0a86fef94f736ff38bb80f0294c1cc1b"
"DV_PLAN_FIN_AND_GOV_TRANS_ASSET_BOUNDARIES","fixed_assets_and_capital_stock_variables","Financial and government-transport asset-boundary review",6,24,"FIN__ME__cfc_current_cost; FIN__ME__gross_investment_current_cost; FIN__ME__net_stock_current_cost; FIN__ME__net_stock_quantity_index; FIN__NRC__cfc_current_cost; FIN__NRC__gross_investment_current_cost; FIN__NRC__net_stock_current_cost; FIN__NRC__net_stock_quantity_index; FIN__IPP__cfc_current_cost; FIN__IPP__gross_investment_current_cost; FIN__IPP__net_stock_current_cost; FIN__IPP__net_stock_quantity_index; FIN__TOTAL__cfc_current_cost; FIN__TOTAL__gross_investment_current_cost; FIN__TOTAL__net_stock_current_cost; FIN__TOTAL__net_stock_quantity_index; GOV_TRANS__HIGHWAYS_STREETS__cfc_current_cost; GOV_TRANS__HIGHWAYS_STREETS__gross_investment_current_cost; GOV_TRANS__HIGHWAYS_STREETS__net_stock_current_cost; GOV_TRANS__HIGHWAYS_STREETS__net_stock_quantity_index; GOV_TRANS__TRANSPORTATION_STRUCTURES__cfc_current_cost; GOV_TRANS__TRANSPORTATION_STRUCTURES__gross_investment_current_cost; GOV_TRANS__TRANSPORTATION_STRUCTURES__net_stock_current_cost; GOV_TRANS__TRANSPORTATION_STRUCTURES__net_stock_quantity_index","requires_review_before_implementation","yes","no","no","no","Boundary-sensitive source inputs require explicit future review before inclusion in analytical capital aggregates.","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","0c3399f67365aafff8b012d66fac37d3bceda3f3","1d6276ac35754e29acfeb755b6a351873cf59f6b","8d5ec75f0a86fef94f736ff38bb80f0294c1cc1b"
"DV_PLAN_INVESTMENT_ACCUMULATION_INPUTS","investment_and_accumulation_variables","Investment and accumulation source-input planning",7,14,"GOV_TRANS__HIGHWAYS_STREETS__gross_investment_current_cost; GOV_TRANS__TRANSPORTATION_STRUCTURES__gross_investment_current_cost; CORP__ME__gross_investment_current_cost; CORP__NRC__gross_investment_current_cost; FIN__ME__gross_investment_current_cost; FIN__NRC__gross_investment_current_cost; NFC__ME__gross_investment_current_cost; NFC__NRC__gross_investment_current_cost; CORP__IPP__gross_investment_current_cost; FIN__IPP__gross_investment_current_cost; NFC__IPP__gross_investment_current_cost; CORP__TOTAL__gross_investment_current_cost; FIN__TOTAL__gross_investment_current_cost; NFC__TOTAL__gross_investment_current_cost","ready_after_capital_stock_planning","yes","no","no","no","S27 maps gross-investment source inputs only; it constructs no investment, accumulation, recapitalization, or q variables.","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","0c3399f67365aafff8b012d66fac37d3bceda3f3","1d6276ac35754e29acfeb755b6a351873cf59f6b","8d5ec75f0a86fef94f736ff38bb80f0294c1cc1b"
"DV_PLAN_RELATIVE_PRICE_DEFLATOR_INPUTS","relative_price_and_deflator_variables","Relative-price and deflator source-input planning",8,56,"GOV_TRANS__HIGHWAYS_STREETS__cfc_current_cost; GOV_TRANS__HIGHWAYS_STREETS__gross_investment_current_cost; GOV_TRANS__HIGHWAYS_STREETS__net_stock_current_cost; GOV_TRANS__HIGHWAYS_STREETS__net_stock_quantity_index; GOV_TRANS__TRANSPORTATION_STRUCTURES__cfc_current_cost; GOV_TRANS__TRANSPORTATION_STRUCTURES__gross_investment_current_cost; GOV_TRANS__TRANSPORTATION_STRUCTURES__net_stock_current_cost; GOV_TRANS__TRANSPORTATION_STRUCTURES__net_stock_quantity_index; CORP__ME__cfc_current_cost; CORP__ME__gross_investment_current_cost; CORP__ME__net_stock_current_cost; CORP__ME__net_stock_quantity_index; CORP__NRC__cfc_current_cost; CORP__NRC__gross_investment_current_cost; CORP__NRC__net_stock_current_cost; CORP__NRC__net_stock_quantity_index; FIN__ME__cfc_current_cost; FIN__ME__gross_investment_current_cost; FIN__ME__net_stock_current_cost; FIN__ME__net_stock_quantity_index; FIN__NRC__cfc_current_cost; FIN__NRC__gross_investment_current_cost; FIN__NRC__net_stock_current_cost; FIN__NRC__net_stock_quantity_index; NFC__ME__cfc_current_cost; NFC__ME__gross_investment_current_cost; NFC__ME__net_stock_current_cost; NFC__ME__net_stock_quantity_index; NFC__NRC__cfc_current_cost; NFC__NRC__gross_investment_current_cost; NFC__NRC__net_stock_current_cost; NFC__NRC__net_stock_quantity_index; CORP__IPP__cfc_current_cost; CORP__IPP__gross_investment_current_cost; CORP__IPP__net_stock_current_cost; CORP__IPP__net_stock_quantity_index; FIN__IPP__cfc_current_cost; FIN__IPP__gross_investment_current_cost; FIN__IPP__net_stock_current_cost; FIN__IPP__net_stock_quantity_index; NFC__IPP__cfc_current_cost; NFC__IPP__gross_investment_current_cost; NFC__IPP__net_stock_current_cost; NFC__IPP__net_stock_quantity_index; CORP__TOTAL__cfc_current_cost; CORP__TOTAL__gross_investment_current_cost; CORP__TOTAL__net_stock_current_cost; CORP__TOTAL__net_stock_quantity_index; FIN__TOTAL__cfc_current_cost; FIN__TOTAL__gross_investment_current_cost; FIN__TOTAL__net_stock_current_cost; FIN__TOTAL__net_stock_quantity_index; NFC__TOTAL__cfc_current_cost; NFC__TOTAL__gross_investment_current_cost; NFC__TOTAL__net_stock_current_cost; NFC__TOTAL__net_stock_quantity_index","ready_after_capital_stock_planning","yes","no","no","no","S27 maps price/quantity source inputs only; it constructs no relative price, q, or accumulated q.","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","0c3399f67365aafff8b012d66fac37d3bceda3f3","1d6276ac35754e29acfeb755b6a351873cf59f6b","8d5ec75f0a86fef94f736ff38bb80f0294c1cc1b"
"DV_PLAN_PROVIDER_OTHER_OBSERVATION_INPUTS","relative_price_and_deflator_variables","Provider-other observation-bearing source references",9,9,"WAGE_SHARE_UNADJUSTED_NFC_GVA_BASELINE; T711_L28; T711_L4; T711_L44; T711_L52; T711_L53; T711_L73; T711_L74; T711_L91","requires_review_before_implementation","yes","no","no","no","Provider-other observation-bearing records may inform later planning only where theory authorizes their use.","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","0c3399f67365aafff8b012d66fac37d3bceda3f3","1d6276ac35754e29acfeb755b6a351873cf59f6b","8d5ec75f0a86fef94f736ff38bb80f0294c1cc1b"
"DV_PLAN_METADATA_REFERENCE_ONLY","metadata_reference_only_inputs","Metadata-only reference records",10,22,"DOWNSTREAM__GOV_TRANS_GPIM; DOWNSTREAM__IPP_NFC_GPIM; DOWNSTREAM__K_G_NFC_KCAP_GPIM; DOWNSTREAM__K_G_NFC_ME_GPIM; DOWNSTREAM__K_G_NFC_NRC_GPIM; DOWNSTREAM__K_N_NFC_KCAP_GPIM; DOWNSTREAM__K_N_NFC_ME_GPIM; DOWNSTREAM__K_N_NFC_NRC_GPIM; DOWNSTREAM__P_K_NFC_ME_GPIM; DOWNSTREAM__P_K_NFC_NRC_GPIM; DOWNSTREAM__e_adj_CORP; DOWNSTREAM__e_adj_NFC; DOWNSTREAM__e_x_Kcap; DOWNSTREAM__e_x_ME; DOWNSTREAM__e_x_ME_NRC_gap; DOWNSTREAM__e_x_NRC; DOWNSTREAM__ln_e_adj_CORP; DOWNSTREAM__ln_e_adj_NFC; DOWNSTREAM__omega_adj_CORP; DOWNSTREAM__omega_adj_NFC; DOWNSTREAM__pi_adj_CORP; DOWNSTREAM__pi_adj_NFC","reference_only_not_implementation_ready","yes","no","no","no","Metadata-only records remain references and cannot become observation-bearing variables in S27.","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","0c3399f67365aafff8b012d66fac37d3bceda3f3","1d6276ac35754e29acfeb755b6a351873cf59f6b","8d5ec75f0a86fef94f736ff38bb80f0294c1cc1b"
