"variable_id","display_name","D07_0_status","reason_not_consumed","preserved_for","prohibited_use","notes"
"FIN_GVA","Financial corporate gross value added","CANDIDATE_ONLY_REQUIRES_CROSSWALK","D07-0 status not authorized for panel consumption: CANDIDATE_ONLY_REQUIRES_CROSSWALK","metadata/ledger only","Financial-sector value added is retained as transfer/reconciliation evidence.","Preserved outside the D07 level/accounting panel."
"FIN_NVA","Financial corporate net value added","CANDIDATE_ONLY_REQUIRES_CROSSWALK","D07-0 status not authorized for panel consumption: CANDIDATE_ONLY_REQUIRES_CROSSWALK","metadata/ledger only","Financial net value added is retained as transfer/reconciliation evidence.","Preserved outside the D07 level/accounting panel."
"gva_real_or_qindex_corp","Corporate real GVA or quantity index","BLOCKED_BOUNDARY_CONFLICT","D07-0 status not authorized for panel consumption: BLOCKED_BOUNDARY_CONFLICT","metadata/ledger only","S30A blocks same-boundary CORP real GVA because no validated source exists.","Preserved outside the D07 level/accounting panel."
"gva_real_or_qindex_fc","Financial corporate real GVA or quantity index","BLOCKED_BOUNDARY_CONFLICT","D07-0 status not authorized for panel consumption: BLOCKED_BOUNDARY_CONFLICT","metadata/ledger only","S30A blocks same-boundary financial real GVA because no validated source exists.","Preserved outside the D07 level/accounting panel."
"P_Y_NFC_GVA_T115_VALIDATION","P_Y_NFC_GVA_T115_VALIDATION","DIAGNOSTIC_ONLY","D07-0 status not authorized for panel consumption: DIAGNOSTIC_ONLY","metadata/ledger only","Validation only | Source-native annual observation retained.","Preserved outside the D07 level/accounting panel."
"P_Y_PROXY_GDP_IMPLICIT","P_Y_PROXY_GDP_IMPLICIT","PARKED_FRONTIER_CONTEXT","D07-0 status not authorized for panel consumption: PARKED_FRONTIER_CONTEXT","metadata/ledger only","Transparent macro proxy | Source-native annual observation retained.","Preserved outside the D07 level/accounting panel."
"P_Y_PROXY_NONFARM_BUSINESS_OUTPUT","P_Y_PROXY_NONFARM_BUSINESS_OUTPUT","PARKED_FRONTIER_CONTEXT","D07-0 status not authorized for panel consumption: PARKED_FRONTIER_CONTEXT","metadata/ledger only","Includes noncorporate nonfarm business | Source-native annual observation retained.","Preserved outside the D07 level/accounting panel."
"P_Y_PROXY_BUSINESS_OUTPUT","P_Y_PROXY_BUSINESS_OUTPUT","PARKED_FRONTIER_CONTEXT","D07-0 status not authorized for panel consumption: PARKED_FRONTIER_CONTEXT","metadata/ledger only","BLS productivity-program boundary | Source-native quarterly index annualized by calendar-year arithmetic mean; incomplete calendar years are excluded.","Preserved outside the D07 level/accounting panel."
"P_Y_PROXY_NONFARM_BUSINESS_OUTPUT_BLS","P_Y_PROXY_NONFARM_BUSINESS_OUTPUT_BLS","PARKED_FRONTIER_CONTEXT","D07-0 status not authorized for panel consumption: PARKED_FRONTIER_CONTEXT","metadata/ledger only","Excludes farms but includes noncorporate business | Source-native quarterly index annualized by calendar-year arithmetic mean; incomplete calendar years are excluded.","Preserved outside the D07 level/accounting panel."
"P_Y_PROXY_GDPBYIND_VA_FINANCE_INSURANCE","P_Y_PROXY_GDPBYIND_VA_FINANCE_INSURANCE","PARKED_FRONTIER_CONTEXT","D07-0 status not authorized for panel consumption: PARKED_FRONTIER_CONTEXT","metadata/ledger only","Does not identify financial corporate business | Source-native annual observation retained.","Preserved outside the D07 level/accounting panel."
