"year","variable_id","value","display_name","accounting_block","sector_boundary","accounting_concept","nominal_or_real","role","status","source_stage","source_file","source_column","unit","allowed_use","prohibited_use","notes"
1925,"I_current_ME",226,"Current-dollar ME gross investment source ingredient","fixed_assets_capacity","NFC_CAPACITY_BOUNDARY","ME","nominal_current_cost","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN","output/US/D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN/csv/D06_asset_refrozen_gpim_panel.csv","I_current","Millions of current dollars","source nominal investment ingredient","model transformation; total-capital aggregation","Mapped from D05/D06 asset panel. | D06 ME I_current read without pKN, survival, or warmup revision."
1925,"I_real_ME_guardian",2.45009950816448,"GPIM-guarded real ME investment ingredient","fixed_assets_capacity","NFC_CAPACITY_BOUNDARY","ME","real","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN","output/US/D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN/csv/D06_real_investment_guardian_panel.csv","I_real_guardian","D06 real guarded investment units","GPIM-guarded real investment ingredient","new pKN revision or rebasing","Constructed as I_current / (D05 pKN_guardian/100). | D06 ME I_real_guardian read without pKN, survival, or warmup revision."
1926,"I_current_ME",134,"Current-dollar ME gross investment source ingredient","fixed_assets_capacity","NFC_CAPACITY_BOUNDARY","ME","nominal_current_cost","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN","output/US/D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN/csv/D06_asset_refrozen_gpim_panel.csv","I_current","Millions of current dollars","source nominal investment ingredient","model transformation; total-capital aggregation","Mapped from D05/D06 asset panel. | D06 ME I_current read without pKN, survival, or warmup revision."
1926,"I_real_ME_guardian",1.60370483443434,"GPIM-guarded real ME investment ingredient","fixed_assets_capacity","NFC_CAPACITY_BOUNDARY","ME","real","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN","output/US/D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN/csv/D06_real_investment_guardian_panel.csv","I_real_guardian","D06 real guarded investment units","GPIM-guarded real investment ingredient","new pKN revision or rebasing","Constructed as I_current / (D05 pKN_guardian/100). | D06 ME I_real_guardian read without pKN, survival, or warmup revision."
1927,"I_current_ME",133,"Current-dollar ME gross investment source ingredient","fixed_assets_capacity","NFC_CAPACITY_BOUNDARY","ME","nominal_current_cost","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN","output/US/D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN/csv/D06_asset_refrozen_gpim_panel.csv","I_current","Millions of current dollars","source nominal investment ingredient","model transformation; total-capital aggregation","Mapped from D05/D06 asset panel. | D06 ME I_current read without pKN, survival, or warmup revision."
1927,"I_real_ME_guardian",1.77465776107911,"GPIM-guarded real ME investment ingredient","fixed_assets_capacity","NFC_CAPACITY_BOUNDARY","ME","real","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN","output/US/D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN/csv/D06_real_investment_guardian_panel.csv","I_real_guardian","D06 real guarded investment units","GPIM-guarded real investment ingredient","new pKN revision or rebasing","Constructed as I_current / (D05 pKN_guardian/100). | D06 ME I_real_guardian read without pKN, survival, or warmup revision."
1928,"I_current_ME",138,"Current-dollar ME gross investment source ingredient","fixed_assets_capacity","NFC_CAPACITY_BOUNDARY","ME","nominal_current_cost","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN","output/US/D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN/csv/D06_asset_refrozen_gpim_panel.csv","I_current","Millions of current dollars","source nominal investment ingredient","model transformation; total-capital aggregation","Mapped from D05/D06 asset panel. | D06 ME I_current read without pKN, survival, or warmup revision."
1928,"I_real_ME_guardian",2.07167713156206,"GPIM-guarded real ME investment ingredient","fixed_assets_capacity","NFC_CAPACITY_BOUNDARY","ME","real","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN","output/US/D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN/csv/D06_real_investment_guardian_panel.csv","I_real_guardian","D06 real guarded investment units","GPIM-guarded real investment ingredient","new pKN revision or rebasing","Constructed as I_current / (D05 pKN_guardian/100). | D06 ME I_real_guardian read without pKN, survival, or warmup revision."
1929,"CORP_CFC",5228,"Corporate consumption of fixed capital","surplus_distribution","CORP","NONE_NOT_APPLICABLE","nominal_or_ratio","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","LOCAL_PROVIDER_IMPORT","data/external/us_bea_provider/us_bea_variable_menu_long.csv","value","Millions of current dollars","corporate reconciliation, robustness, and accounting comparison","clean productive-origin surplus baseline without NFC gate","Corporate objects are useful for reconciliation but do not displace NFC productive-origin baseline. | Local committed provider import consumed read-only; provider repo not modified."
1929,"CORP_COMP",34242,"Corporate compensation of employees","surplus_distribution","CORP","NONE_NOT_APPLICABLE","nominal_or_ratio","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","LOCAL_PROVIDER_IMPORT","data/external/us_bea_provider/us_bea_variable_menu_long.csv","value","Millions of current dollars","corporate reconciliation, robustness, and accounting comparison","clean productive-origin surplus baseline without NFC gate","Corporate objects are useful for reconciliation but do not displace NFC productive-origin baseline. | Local committed provider import consumed read-only; provider repo not modified."
