"variable_id","display_name","description","accounting_block","sector_boundary","accounting_concept","nominal_or_real","unit","role","status","preferred_or_alternative","baseline_authorized","source_file","notes"
"CORP_CFC","Corporate consumption of fixed capital","Corporate consumption of fixed capital materialized by D07 from authorized source-level/accounting artifact.","surplus_distribution","CORP","NONE_NOT_APPLICABLE","nominal_or_ratio","Millions of current dollars","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","scaffold","TRUE","data/external/us_bea_provider/us_bea_variable_menu_long.csv","Corporate objects are useful for reconciliation but do not displace NFC productive-origin baseline."
"CORP_COMP","Corporate compensation of employees","Corporate compensation of employees materialized by D07 from authorized source-level/accounting artifact.","surplus_distribution","CORP","NONE_NOT_APPLICABLE","nominal_or_ratio","Millions of current dollars","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","scaffold","TRUE","data/external/us_bea_provider/us_bea_variable_menu_long.csv","Corporate objects are useful for reconciliation but do not displace NFC productive-origin baseline."
"CORP_COMPENSATION_SHARE_GVA","Corporate compensation share of GVA","Corporate compensation share of GVA materialized by D07 from authorized source-level/accounting artifact.","surplus_distribution","CORP","NONE_NOT_APPLICABLE","nominal_or_ratio","ratio","preferred_wage_share","AUTHORIZED_FOR_D07_LEVEL_PANEL","preferred_baseline","TRUE","output/US/S30B_INCOME_DISTRIBUTION_FAMILY_CLOSURE/csv/S30B_distribution_interface_long.csv","Corporate wage share is robustness/reconciliation below the NFC baseline."
"CORP_COMPENSATION_SHARE_NVA","Corporate compensation share of NVA","Corporate compensation share of NVA materialized by D07 from authorized source-level/accounting artifact.","surplus_distribution","CORP","NONE_NOT_APPLICABLE","nominal_or_ratio","ratio","preferred_wage_share","AUTHORIZED_FOR_D07_LEVEL_PANEL","preferred_baseline","TRUE","output/US/S30B_INCOME_DISTRIBUTION_FAMILY_CLOSURE/csv/S30B_distribution_interface_long.csv","Corporate net-value-added wage share is robustness/reconciliation below the NFC baseline."
"CORP_DIVIDENDS_NET","Corporate net dividends","Corporate net dividends materialized by D07 from authorized source-level/accounting artifact.","surplus_distribution","CORP","NONE_NOT_APPLICABLE","nominal_or_ratio","Millions of current dollars","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","scaffold","TRUE","data/external/us_bea_provider/us_bea_variable_menu_long.csv","Corporate objects are useful for reconciliation but do not displace NFC productive-origin baseline."
"CORP_GVA","Corporate gross value added","Corporate gross value added materialized by D07 from authorized source-level/accounting artifact.","output_value_added; surplus_distribution","CORP","GVA; NONE_NOT_APPLICABLE","nominal; nominal_or_ratio","Millions of current dollars","output_value_added_level; surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","scaffold","TRUE","data/external/us_bea_provider/us_bea_variable_menu_long.csv","Corporate legal boundary is reconciliation, not clean productive-origin baseline.; Corporate objects are useful for reconciliation but do not displace NFC productive-origin baseline."
"CORP_NET_INT","Corporate net interest and miscellaneous payments","Corporate net interest and miscellaneous payments materialized by D07 from authorized source-level/accounting artifact.","surplus_distribution; financial_correction_candidate","CORP","NONE_NOT_APPLICABLE; NET_INTEREST_AND_MISC_PAYMENTS","nominal_or_ratio; nominal","Millions of current dollars","surplus_accounting_ingredient; candidate_only","AUTHORIZED_FOR_D07_LEVEL_PANEL; CANDIDATE_ONLY_REQUIRES_CROSSWALK","scaffold","TRUE","data/external/us_bea_provider/us_bea_variable_menu_long.csv","Corporate objects are useful for reconciliation but do not displace NFC productive-origin baseline.; Not admissible as the principal NFC financial-claims proxy under the S30G hierarchy."
"CORP_NOS","Corporate net operating surplus","Corporate net operating surplus materialized by D07 from authorized source-level/accounting artifact.","surplus_distribution","CORP","NOS","nominal_or_ratio","Millions of current dollars","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","scaffold","TRUE","data/external/us_bea_provider/us_bea_variable_menu_long.csv","Corporate objects are useful for reconciliation but do not displace NFC productive-origin baseline."
"CORP_NVA","Corporate net value added","Corporate net value added materialized by D07 from authorized source-level/accounting artifact.","output_value_added; surplus_distribution","CORP","NVA; NONE_NOT_APPLICABLE","nominal; nominal_or_ratio","Millions of current dollars","output_value_added_level; surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","alternative","TRUE","data/external/us_bea_provider/us_bea_variable_menu_long.csv","Corporate net value-added reconciliation line.; Corporate objects are useful for reconciliation but do not displace NFC productive-origin baseline."
"CORP_PAT","Corporate profits after tax","Corporate profits after tax materialized by D07 from authorized source-level/accounting artifact.","surplus_distribution","CORP","PAT","nominal_or_ratio","Millions of current dollars","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","scaffold","TRUE","data/external/us_bea_provider/us_bea_variable_menu_long.csv","Corporate objects are useful for reconciliation but do not displace NFC productive-origin baseline."
