"window_id","window_role","year_start","year_end","available_start","available_end","spec_id","promotion_eligible","classification","promotion_status","fm_ols_ok","im_ols_ok","dols_ok","im_ols_overturns_fm_sign_pattern","dols_catastrophic_contradiction","neighborhood_reversal_count","condition_number_scaled","max_abs_pairwise_corr","severe_collinearity_flag","stability_test_type","exact_hansen_type_test","rolling_proxy_reversal_count","rolling_window_length","statuses_observed","notes"
"prefordist_core_1929_1944","predecessor",1929,1944,1929,1944,"SPEC_B0_CAPITAL_ONLY",FALSE,"SUPPORTING","supporting_benchmark_contrast",TRUE,TRUE,FALSE,FALSE,FALSE,0,1,NA,FALSE,"proxy_stability_diagnostic","not_implemented_in_this_S30",NA,30,"estimated; rejected_sample_size","Historical windows are benchmark contrasts, not search devices. Rolling diagnostics are not regime identifiers."
"prefordist_core_1929_1944","predecessor",1929,1944,1929,1944,"SPEC_B1_WAGE_BASELINE",TRUE,"FRAGILE","not_promoted_fragility_flag",TRUE,TRUE,FALSE,FALSE,FALSE,1,1.12096118755128,0.113692819146305,FALSE,"proxy_stability_diagnostic","not_implemented_in_this_S30",1,30,"estimated; rejected_sample_size","Historical windows are benchmark contrasts, not search devices. Rolling diagnostics are not regime identifiers."
"prefordist_core_1929_1944","predecessor",1929,1944,1929,1944,"SPEC_C1_COMPOSITION_STOCK",TRUE,"FRAGILE","not_promoted_fragility_flag",TRUE,TRUE,FALSE,FALSE,FALSE,3,3.85014882610747,0.869844347395205,FALSE,"proxy_stability_diagnostic","not_implemented_in_this_S30",2,30,"estimated; rejected_sample_size","Historical windows are benchmark contrasts, not search devices. Rolling diagnostics are not regime identifiers."
"prefordist_core_1929_1944","predecessor",1929,1944,1929,1944,"SPEC_C2_FULL_COMPOSITION",TRUE,"FRAGILE","not_promoted_fragility_flag",TRUE,TRUE,FALSE,TRUE,FALSE,6,90.8093129969692,0.999563309205133,TRUE,"proxy_stability_diagnostic","not_implemented_in_this_S30",3,30,"estimated; rejected_sample_size","Historical windows are benchmark contrasts, not search devices. Rolling diagnostics are not regime identifiers."
"prefordist_core_1929_1944","predecessor",1929,1944,1929,1944,"SPEC_D1_CURRENT_COST_DIAGNOSTIC",FALSE,"DIAGNOSTIC_ONLY","not_promoted_diagnostic_only",TRUE,TRUE,FALSE,TRUE,FALSE,2,3.56571618667195,0.694512042702349,FALSE,"proxy_stability_diagnostic","not_implemented_in_this_S30",NA,30,"estimated; rejected_sample_size","Historical windows are benchmark contrasts, not search devices. Rolling diagnostics are not regime identifiers."
"prefordist_core_1929_1944","predecessor",1929,1944,1929,1944,"SPEC_D2_PRICE_WEDGE_DIAGNOSTIC",FALSE,"DIAGNOSTIC_ONLY","not_promoted_diagnostic_only",TRUE,TRUE,FALSE,FALSE,FALSE,7,9.44470127655522,0.869844347395205,FALSE,"proxy_stability_diagnostic","not_implemented_in_this_S30",NA,30,"estimated; rejected_sample_size","Historical windows are benchmark contrasts, not search devices. Rolling diagnostics are not regime identifiers."
"pre_1974","pre_reference",1929,1973,1929,1973,"SPEC_B0_CAPITAL_ONLY",FALSE,"SUPPORTING","supporting_benchmark_contrast",TRUE,TRUE,TRUE,FALSE,FALSE,0,1,NA,FALSE,"proxy_stability_diagnostic","not_implemented_in_this_S30",NA,30,"estimated","Historical windows are benchmark contrasts, not search devices. Rolling diagnostics are not regime identifiers."
"pre_1974","pre_reference",1929,1973,1929,1973,"SPEC_B1_WAGE_BASELINE",TRUE,"FRAGILE","not_promoted_fragility_flag",TRUE,TRUE,TRUE,FALSE,FALSE,4,3.73288814181481,0.866081477356738,FALSE,"proxy_stability_diagnostic","not_implemented_in_this_S30",1,30,"estimated","Historical windows are benchmark contrasts, not search devices. Rolling diagnostics are not regime identifiers."
"pre_1974","pre_reference",1929,1973,1929,1973,"SPEC_C1_COMPOSITION_STOCK",TRUE,"FRAGILE","not_promoted_fragility_flag",TRUE,TRUE,TRUE,FALSE,FALSE,6,5.08684504526801,0.866081477356738,FALSE,"proxy_stability_diagnostic","not_implemented_in_this_S30",2,30,"estimated","Historical windows are benchmark contrasts, not search devices. Rolling diagnostics are not regime identifiers."
"pre_1974","pre_reference",1929,1973,1929,1973,"SPEC_C2_FULL_COMPOSITION",TRUE,"FRAGILE","not_promoted_fragility_flag",TRUE,TRUE,TRUE,FALSE,FALSE,14,110.401955910155,0.999588683409445,TRUE,"proxy_stability_diagnostic","not_implemented_in_this_S30",3,30,"estimated","Historical windows are benchmark contrasts, not search devices. Rolling diagnostics are not regime identifiers."
"pre_1974","pre_reference",1929,1973,1929,1973,"SPEC_D1_CURRENT_COST_DIAGNOSTIC",FALSE,"DIAGNOSTIC_ONLY","not_promoted_diagnostic_only",TRUE,TRUE,TRUE,FALSE,FALSE,5,4.36362282403547,0.866081477356738,FALSE,"proxy_stability_diagnostic","not_implemented_in_this_S30",NA,30,"estimated","Historical windows are benchmark contrasts, not search devices. Rolling diagnostics are not regime identifiers."
"pre_1974","pre_reference",1929,1973,1929,1973,"SPEC_D2_PRICE_WEDGE_DIAGNOSTIC",FALSE,"DIAGNOSTIC_ONLY","not_promoted_diagnostic_only",TRUE,TRUE,TRUE,FALSE,FALSE,9,5.95955887219932,0.871682420578499,FALSE,"proxy_stability_diagnostic","not_implemented_in_this_S30",NA,30,"estimated","Historical windows are benchmark contrasts, not search devices. Rolling diagnostics are not regime identifiers."
"full_long_sample","full_reference",1929,2024,1929,2024,"SPEC_B0_CAPITAL_ONLY",FALSE,"SUPPORTING","supporting_benchmark_contrast",TRUE,TRUE,TRUE,FALSE,FALSE,0,1,NA,FALSE,"proxy_stability_diagnostic","not_implemented_in_this_S30",NA,30,"estimated","Historical windows are benchmark contrasts, not search devices. Rolling diagnostics are not regime identifiers."
"full_long_sample","full_reference",1929,2024,1929,2024,"SPEC_B1_WAGE_BASELINE",TRUE,"FRAGILE","not_promoted_fragility_flag",TRUE,TRUE,TRUE,FALSE,FALSE,6,3.02305042329869,0.802738655425244,FALSE,"proxy_stability_diagnostic","not_implemented_in_this_S30",1,30,"estimated","Historical windows are benchmark contrasts, not search devices. Rolling diagnostics are not regime identifiers."
"full_long_sample","full_reference",1929,2024,1929,2024,"SPEC_C1_COMPOSITION_STOCK",TRUE,"FRAGILE","not_promoted_fragility_flag",TRUE,TRUE,TRUE,TRUE,TRUE,6,3.50086825820318,0.802738655425244,FALSE,"proxy_stability_diagnostic","not_implemented_in_this_S30",2,30,"estimated","Historical windows are benchmark contrasts, not search devices. Rolling diagnostics are not regime identifiers."
"full_long_sample","full_reference",1929,2024,1929,2024,"SPEC_C2_FULL_COMPOSITION",TRUE,"FRAGILE","not_promoted_fragility_flag",TRUE,TRUE,TRUE,FALSE,FALSE,10,101.892315566434,0.999329856632007,TRUE,"proxy_stability_diagnostic","not_implemented_in_this_S30",3,30,"estimated","Historical windows are benchmark contrasts, not search devices. Rolling diagnostics are not regime identifiers."
"full_long_sample","full_reference",1929,2024,1929,2024,"SPEC_D1_CURRENT_COST_DIAGNOSTIC",FALSE,"DIAGNOSTIC_ONLY","not_promoted_diagnostic_only",TRUE,TRUE,TRUE,FALSE,FALSE,5,4.97268096716237,0.802738655425244,FALSE,"proxy_stability_diagnostic","not_implemented_in_this_S30",NA,30,"estimated","Historical windows are benchmark contrasts, not search devices. Rolling diagnostics are not regime identifiers."
"full_long_sample","full_reference",1929,2024,1929,2024,"SPEC_D2_PRICE_WEDGE_DIAGNOSTIC",FALSE,"DIAGNOSTIC_ONLY","not_promoted_diagnostic_only",TRUE,TRUE,TRUE,FALSE,FALSE,7,8.51022792684821,0.847252622378417,FALSE,"proxy_stability_diagnostic","not_implemented_in_this_S30",NA,30,"estimated","Historical windows are benchmark contrasts, not search devices. Rolling diagnostics are not regime identifiers."
"pre_1974_alt_1940_1973","support",1940,1973,1940,1973,"SPEC_B0_CAPITAL_ONLY",FALSE,"SUPPORTING","supporting_benchmark_contrast",TRUE,TRUE,TRUE,FALSE,FALSE,0,1,NA,FALSE,"proxy_stability_diagnostic","not_implemented_in_this_S30",NA,30,"estimated","Historical windows are benchmark contrasts, not search devices. Rolling diagnostics are not regime identifiers."
