"variable_id","concept_group_id","reporting_tier","representation_type","plot_eligible","plot_priority","recommended_plot_type","recommended_scale","zero_line_required","percentage_axis","event_profile_eligible","main_text_figure_eligible","appendix_figure_eligible","plotting_note"
"G_TOT_GPIM_2017","TOTAL_GROSS_PRODUCTIVE_CAPITAL","TIER_A_CORE","LEVEL","yes","main","time_series_line","native","no","conditional","yes","yes","yes","Registry only. S31B generates no figures."
"I_TOT_REAL_2017","TOTAL_CAPITAL_ACCUMULATION","TIER_A_CORE","EXISTING_DIFFERENCE_OR_RATE","yes","main","time_series_line","native","yes","conditional","yes","yes","yes","Registry only. S31B generates no figures."
"LOG_G_TOT_GPIM_2017","TOTAL_GROSS_PRODUCTIVE_CAPITAL","TIER_A_CORE","LOG_LEVEL","no","main","time_series_line","native","no","conditional","no","no","yes","Registry only. S31B generates no figures."
"LOG_I_TOT_REAL_2017","TOTAL_CAPITAL_ACCUMULATION","TIER_A_CORE","EXISTING_GROWTH_OR_LOG_DIFFERENCE","yes","main","time_series_line","native","yes","conditional","yes","no","yes","Registry only. S31B generates no figures."
"LOG_N_TOT_GPIM_2017","TOTAL_NET_PRODUCTIVE_CAPITAL","TIER_B_ROBUSTNESS","LOG_LEVEL","no","appendix","time_series_line","native","no","conditional","no","no","yes","Registry only. S31B generates no figures."
"N_TOT_GPIM_2017","TOTAL_NET_PRODUCTIVE_CAPITAL","TIER_B_ROBUSTNESS","LEVEL","yes","appendix","time_series_line","native","no","conditional","yes","no","yes","Registry only. S31B generates no figures."
"DELTA_G_TOT","GROSS_CAPITAL_ANNUAL_CHANGE","TIER_A_CORE","EXISTING_DIFFERENCE_OR_RATE","yes","main","time_series_line","native","yes","conditional","yes","yes","yes","Registry only. S31B generates no figures."
"DLOG_G_TOT","GROSS_CAPITAL_GROWTH","TIER_A_CORE","EXISTING_GROWTH_OR_LOG_DIFFERENCE","yes","main","time_series_line","native","yes","conditional","yes","yes","yes","Registry only. S31B generates no figures."
"DLOG_N_TOT","NET_CAPITAL_GROWTH","TIER_A_CORE","EXISTING_GROWTH_OR_LOG_DIFFERENCE","yes","main","time_series_line","native","yes","conditional","yes","yes","yes","Registry only. S31B generates no figures."
"GROWTH_ARITH_G_TOT","GROSS_CAPITAL_GROWTH","TIER_A_CORE","EXISTING_DIFFERENCE_OR_RATE","yes","main","time_series_line","native","yes","conditional","yes","yes","yes","Registry only. S31B generates no figures."
"GROWTH_ARITH_N_TOT","NET_CAPITAL_GROWTH","TIER_A_CORE","EXISTING_DIFFERENCE_OR_RATE","yes","main","time_series_line","native","yes","conditional","yes","yes","yes","Registry only. S31B generates no figures."
"L1_LOG_G_TOT","TOTAL_GROSS_PRODUCTIVE_CAPITAL_LAG","TIER_A_CORE","TECHNICAL_LAGGED_LOG_LEVEL","no","main","time_series_line","native","no","conditional","no","no","yes","Registry only. S31B generates no figures."
"L1_LOG_N_TOT","TOTAL_NET_PRODUCTIVE_CAPITAL_LAG","TIER_A_CORE","TECHNICAL_LAGGED_LOG_LEVEL","no","main","time_series_line","native","no","conditional","no","no","yes","Registry only. S31B generates no figures."
"L1_DLOG_G_TOT","GROSS_CAPITAL_GROWTH_LAG","TIER_A_CORE","TECHNICAL_LAGGED_GROWTH","no","main","time_series_line","native","no","conditional","yes","no","yes","Registry only. S31B generates no figures."
"L1_DLOG_N_TOT","NET_CAPITAL_GROWTH_LAG","TIER_A_CORE","TECHNICAL_LAGGED_GROWTH","no","main","time_series_line","native","no","conditional","yes","no","yes","Registry only. S31B generates no figures."
"CORP_COMPENSATION_SHARE_GVA","CORP_COMPENSATION_SHARE_GVA","TIER_B_ROBUSTNESS","SHARE_OR_RATIO","yes","appendix","time_series_line","percentage_or_ratio","no","yes","yes","no","yes","Registry only. S31B generates no figures."
"CORP_COMPENSATION_SHARE_NVA","CORP_COMPENSATION_SHARE_NVA","TIER_B_ROBUSTNESS","SHARE_OR_RATIO","yes","appendix","time_series_line","percentage_or_ratio","no","yes","yes","no","yes","Registry only. S31B generates no figures."
"CORP_NET_OPERATING_SURPLUS_SHARE_GVA","CORP_NET_OPERATING_SURPLUS_SHARE_GVA","TIER_C_REFERENCE_ONLY","SHARE_OR_RATIO","yes","reference","time_series_line","percentage_or_ratio","no","yes","yes","no","yes","Registry only. S31B generates no figures."
"CORP_NET_OPERATING_SURPLUS_SHARE_NVA","CORP_NET_OPERATING_SURPLUS_SHARE_NVA","TIER_C_REFERENCE_ONLY","SHARE_OR_RATIO","yes","reference","time_series_line","percentage_or_ratio","no","yes","yes","no","yes","Registry only. S31B generates no figures."
"NFC_COMPENSATION_SHARE_GVA","NFC_COMPENSATION_SHARE_GVA","TIER_A_CORE","SHARE_OR_RATIO","yes","main","time_series_line","percentage_or_ratio","no","yes","yes","yes","yes","Registry only. S31B generates no figures."
