"category","item_id","topic","note_path","line_evidence","current_assessment","required_action","priority"
"LOCKED","L01","Provider discovery","chapter2_vault/04_data_measurement/V01_DataProvenance_Managment.md","55-74; 499-514","The provider layer is closed and validated. S14 consumes S13 outputs, so provider discovery is not an S20 task.","Carry the closed-provider boundary into the S20 planning note.","mandatory_before_S20"
"LOCKED","L02","GPIM reconstruction","repo state after S14","commit 133f5aa; S14 13/13 PASS","GPIM reconstruction is complete and closed. S20 must consume the registered S14 baseline without rebuilding it.","Name the S14 panel as the sole GPIM source for S20.","mandatory_before_S20"
"LOCKED","L03","Capital-price baseline","repo state after S14","P_K_SFC_ME_2017_100; P_K_SFC_NRC_2017_100","The SFC implicit ME and NRC price indexes are the active capital-price objects.","Do not reopen price discovery or substitute FAAt402.","mandatory_before_S20"
"LOCKED","L04","S13 downstream consumption","repo state after S14","S13 decision AUTHORIZE_DOWNSTREAM_GPIM_CONSUMPTION","S13 consumption is locked and supplies the only authorized downstream GPIM source panel.","Reference S13 as upstream provenance, not as a stage to rerun.","mandatory_before_S20"
"LOCKED","L05","S14 consolidation","repo state after S14","S14 decision AUTHORIZE_S20_MODEL_INPUT_LAYER","S14 registers the GPIM baseline into the Chapter 2 source-of-truth architecture.","Start the S20 planning note from this authorization.","mandatory_before_S20"
"LOCKED","L06","Authorized GPIM registry","repo state after S14","884 observations; exactly 8 variables","Only I_NOMINAL_DIRECT_ME, I_NOMINAL_DIRECT_NRC, P_K_SFC_ME_2017_100, P_K_SFC_NRC_2017_100, I_REAL_GPIM_ME, I_REAL_GPIM_NRC, K_GROSS_GPIM_ME, and K_GROSS_GPIM_NRC are registered.","Preserve the exact eight-variable allowlist.","mandatory_before_S20"
"LOCKED","L07","FAAt402 role","chapter2_vault/04_data_measurement/V01_DataProvenance_Managment.md","505-514","FAAt402 is comparison/validation-only and cannot become a production input.","Retain only as historical validation context.","mandatory_before_S20"
"LOCKED","L08","Excluded robustness objects","repo state after S14","S14 boundary validation","NFC output-price translation is robustness-only historical context; diagnostic net-value GPIM stock is excluded.","Do not register either object in S20 baseline inputs.","mandatory_before_S20"
"LOCKED","L09","Productive-efficiency objects","repo state after S14","S14 data-architecture-only boundary","No productive-efficiency profile or object has been constructed.","Keep frontier variables as conditioners or diagnostics unless a later explicit decision changes their role.","mandatory_before_S20"
"LOCKED","L10","Capacity and profitability registers","chapter2_vault/04_data_measurement/D01_GPIM_heterogeneous_capital_SFC.md","44-60; 439-490","Gross real GPIM stock is capacity-relevant; net current-cost capital belongs to profitability and valuation work.","Keep the diagnostic net-value GPIM stock out of the S20 capacity baseline.","mandatory_before_S20"
"LOCKED","L11","Shaikh adjustment gate","chapter2_vault/04_data_measurement/V00_VariableMenu_US_BEA_Repo.md","294-320; 586-618","The current-release Shaikh adjustment is blocked. Unadjusted wage share is the first-pass distributive state; adjusted objects cannot overwrite it.","Do not construct or promote adjusted distribution objects in S20.","mandatory_before_S20"
"LOCKED","L12","Frontier-conditioner boundary","chapter2_vault/00_constitutive_core/R_distribution_conditioned_theta_identification.md","117-125","IPP, government transport, and related assets do not enter automatically as baseline productive capital.","Keep them outside the baseline capital sum unless separately authorized.","mandatory_before_S20"
"LOCKED","L13","Centering policy","chapter2_vault/00_constitutive_core/R_distribution_conditioned_theta_identification.md","101-115","The baseline uses a constant reference. Rolling-window centering is diagnostic only.","Record the constant reference in S20 metadata; do not use rolling means as the baseline.","mandatory_before_S20"
"LOCKED","L14","Econometric stage gate","chapter2_vault/03_econometrics/R10_Binding_Specification_Layering_Rule.md","90-108","Estimation, promotion, and reconstruction remain downstream of variable construction, cointegration admissibility, stability, and human review.","S20 planning may prepare inputs but cannot reopen S31I, S30, or S32.","mandatory_before_S20"
"PENDING_DECISION","P01","Aggregate versus asset-split capital","chapter2_vault/00_constitutive_core/R_distribution_conditioned_theta_identification.md","123-191","The vault leaves direct scale-conditioning versus composition-mediated conditioning open.","Decide whether S20 exports aggregate K, separate ME/NRC objects, or both with explicit roles.","mandatory_before_S20"
"PENDING_DECISION","P02","ME and NRC analytical role","chapter2_vault/02_analyitical_foundation/A05_NRCEnvelope_MechanizationBias.md","27-43; 67-112","ME and NRC are measured components, but their fixed intensive/extensive interpretation is not locked.","Define baseline aggregation and composition-robustness metadata without assigning fixed structural meanings.","mandatory_before_S20"
"PENDING_DECISION","P03","Distribution attachment","chapter2_vault/02_analyitical_foundation/A05_NRCEnvelope_MechanizationBias.md","45-105","The open fork is whether distribution conditions productive-capital scale directly or composition indirectly.","Specify which distribution series joins which GPIM capital object and at what sector boundary.","mandatory_before_S20"
"PENDING_DECISION","P04","Operational wage-share baseline","chapter2_vault/04_data_measurement/V00_VariableMenu_US_BEA_Repo.md","574-622","The vault prefers unadjusted wage share, but S14 registers no distribution variable.","Confirm the exact wage-share source, boundary, unit, coverage, and join rule before S20 builds model inputs.","mandatory_before_S20"
"PENDING_DECISION","P05","Profit-share role","chapter2_vault/04_data_measurement/V00_VariableMenu_US_BEA_Repo.md","485-520","Profit-share objects are retained for reconciliation and alternatives, not established as the preferred distributive primitive.","Decide whether profit share is excluded, diagnostic, or a named alternative in S20.","mandatory_before_S20"
"PENDING_DECISION","P06","Shaikh crosswalk reopening condition","chapter2_vault/04_data_measurement/V01_DataProvenance_Managment.md","457-471","Adjusted objects remain blocked until a semantic and accounting crosswalk passes.","State the evidence required for any future reopening; keep the gate closed in S20.","can_park"
"PENDING_DECISION","P07","IPP and government transport controls","chapter2_vault/02_analyitical_foundation/A05_NRCEnvelope_MechanizationBias.md","35-44","The vault permits these assets only as conditioners, diagnostics, or robustness objects.","Decide whether S20 merely registers their future role or constructs separate control inputs from an authorized non-GPIM lane.","mandatory_before_S20"
"PENDING_DECISION","P08","Productive-efficiency promotion","chapter2_vault/00_constitutive_core/R_distribution_conditioned_theta_identification.md","117-125","No conditioner is automatically a productive-capacity builder and S14 constructs no productive-efficiency object.","Require a separate explicit protocol before any frontier conditioner becomes a productive-efficiency object.","can_park"
"PENDING_DECISION","P09","S21 accumulated q design","chapter2_vault/03_econometrics/M10_Empirical_Identification_Framework.md","143-149","Accumulated q is parked, not the current first-layer baseline.","Decide whether S21 remains parked or is reopened as a bounded historical-memory layer using the S14 GPIM baseline.","mandatory_before_S21"
"PENDING_DECISION","P10","Accumulated q reset logic","chapter2_vault/04_data_measurement/D04_ME_NRC_LogRatio_Construction_Protocol.md","58-69; 252-280","The vault defines cumulative operators but does not settle sample-start or window-reset behavior for a new S21 layer.","If S21 reopens, define full-history carry-in, estimation-window reset, and missing-year rules before construction.","mandatory_before_S21"
"PENDING_DECISION","P11","Stage reopening order","chapter2_vault/03_econometrics/R10_Binding_Specification_Layering_Rule.md","76-108","Required variables and metadata precede estimation, and accumulated q remains parked.","Define explicit S20 and optional S21 completion gates before S31I, S30, or S32 can reopen.","mandatory_before_S20"
"STALE","S01","Provider handoff closure lacks S13/S14","chapter2_vault/04_data_measurement/V01_DataProvenance_Managment.md","499-524","The closure stops at S11B/S11C and says source-of-truth construction may proceed, but S13 and S14 have already completed and authorized S20 inputs.","Add a post-S14 amendment naming the eight-variable registry and closed GPIM/provider boundary.","mandatory_before_S20"
"STALE","S02","Obsolete downstream construction list","chapter2_vault/04_data_measurement/V01_DataProvenance_Managment.md","295-321; 423-453","The note still requires gross and net GPIM construction and promotes accumulated q as preferred, contrary to the S14 allowlist and the binding parked-q rule.","Replace the construction list with the S14 registry; mark net-value and accumulated-q entries excluded or parked.","mandatory_before_S20"
"STALE","S03","Obsolete additive capital and q lock","chapter2_vault/04_data_measurement/V01_DataProvenance_Managment.md","324-354","The note locks K_cap = K_ME + K_NRC and an accumulated-q transformation object, while the binding vault rule leaves aggregate versus composition open and parks q.","Downgrade this section to historical design context and link to the current specification fork.","mandatory_before_S20"
"STALE","S04","Variable menu predates S14","chapter2_vault/04_data_measurement/V00_VariableMenu_US_BEA_Repo.md","198-215; 489-518","The active-looking menu lists net GPIM, implied depreciation, frontier stocks, aggregate K, and q outputs beyond the eight S14-authorized GPIM variables.","Add an S14 status block separating completed baseline variables from excluded, parked, and future non-GPIM objects.","mandatory_before_S20"
"STALE","S05","Obsolete S31I-driven next data pass","chapter2_vault/04_data_measurement/V00_VariableMenu_US_BEA_Repo.md","524-570","The note says the next step is another data-source pass driven by S31I bottlenecks, but provider discovery and GPIM reconstruction are closed after S14.","Replace with the S20 planning gate and prohibit direct return to S31I.","mandatory_before_S20"
"STALE","S06","Current lock still promotes accumulated q","chapter2_vault/04_data_measurement/V00_VariableMenu_US_BEA_Repo.md","574-618","The section calls accumulated q the active A00 object although binding notes park it.","Rewrite the current lock around the primitive centered interaction and the open composition fork.","mandatory_before_S20"
"STALE","S07","D01 written as future GPIM construction","chapter2_vault/04_data_measurement/D01_GPIM_heterogeneous_capital_SFC.md","171-205; 678-692","The protocol still speaks as if GPIM must be reconstructed, although S13/S14 have locked the baseline.","Add a status amendment mapping D01 concepts to the S14 variables and state that reconstruction is closed.","mandatory_before_S20"
"STALE","S08","D01 accumulated-q exports","chapter2_vault/04_data_measurement/D01_GPIM_heterogeneous_capital_SFC.md","93-117; 565-580","The note retains accumulated-q data requirements in active sections despite its own header saying that language is parked.","Move those requirements to a parked historical-memory subsection and keep S20 exports limited to current first-layer needs.","mandatory_before_S20"
"STALE","S09","D02 identifies accumulated q as A00 baseline","chapter2_vault/04_data_measurement/D02_PriceDeflator_Protocol_K_Composition.md","23-30; 368-396","D02 calls accumulated q the A00 baseline even though the binding rule makes the primitive centered interaction current.","Update the baseline sentence and retain D02 only as the ME/NRC price and composition protocol.","mandatory_before_S20"
"STALE","S10","Locked S10 protocol conflicts with blocked Shaikh state","chapter2_vault/05_codes_implementation/S10_US_Source-of-Truth_GPIM_ConstructionProtocol.md","106-190; 304-430","The locked note requires promoted Shaikh-corrected corporate layers even though the current-release adjustment remains blocked.","Add a supersession notice and replace required corrected layers with a blocked future lane.","mandatory_before_S20"
"STALE","S11","Locked S10 protocol lacks actual S14 outputs","chapter2_vault/05_codes_implementation/S10_US_Source-of-Truth_GPIM_ConstructionProtocol.md","41-77; 362-430","Its paths, stage gate, and output identifiers describe a planned S10 architecture rather than the completed S13/S14 source-of-truth layer.","Replace active paths and gate language with the S14 panel, ledger, validation, and authorization.","mandatory_before_S20"
"STALE","S12","Duplicate historical S10 protocol","chapter2_vault/05_codes_implementation/S10_US_Source-of-Truth_GPIM_ConstructionProtocol 1.md","149-181; 887-927; 1111-1135","The duplicate is labelled historical but still contains authoritative-sounding Weibull, accumulated-q, sector-pair, and stage instructions.","Keep the warning, mark the body archival, and remove it from active planning links.","can_park"
"STALE","S13","C01 source-of-truth gap is closed","chapter2_vault/05_codes_implementation/C01-US_00_MEMO_RECYCLING.md","164-233","C01 says the U.S. side lacks a source-of-truth builder and proposes a new S10 script, but S14 now authorizes the S20 input layer.","Replace the S10 gap section with the S14 handoff and bounded S20 planning questions.","mandatory_before_S20"
"STALE","S14","D04 stage sequence bypasses new S20/S21 gate","chapter2_vault/04_data_measurement/D04_ME_NRC_LogRatio_Construction_Protocol.md","69-93; 510-520","D04 routes directly from construction to S31 and S30/S32 without the post-S14 S20 planning gate and without resolving whether S21 remains parked.","Insert S14 -> S20 -> optional S21 -> later diagnostics/estimation sequencing.","mandatory_before_S20"
"STALE","S15","Paper-facing capital backend lacks post-S14 status","chapter2_vault/06_paper_facing/Chapter2_Polanco.pdf.md","217-239","The paper-facing note describes a generic GPIM backend and gross/net roles but does not identify the locked SFC prices, gross stocks, exclusions, or eight-variable registry.","Update only after the S20 planning note fixes aggregate/split and distribution attachment; this is not a blocker for planning.","can_park"
