"model_id","model_family","model_role","sample_id","start_year","end_year","dependent_variable","dependent_variable_role","capital_boundary","output_boundary","distribution_boundary","regressors","n_obs","status","notes"
"S32C_CORP_boundary_baseline","S32C_baseline","preferred_baseline","full_long_sample",1930,2024,"y_CORP","effective_output_proxy","nonfinancial corporate productive-capacity capital","corporate sector as a whole","corporate sector as a whole","k_Kcap + q_omegaCORP_h1_Kcap",95,"estimated_preliminary_not_promoted","Baseline corporate-boundary model; coefficients remain preliminary."
"S32C_periodized__full_long_sample","S32C_periodized","periodized_baseline_candidate","full_long_sample",1930,2024,"y_CORP","effective_output_proxy","nonfinancial corporate productive-capacity capital","corporate sector as a whole","corporate sector as a whole","k_Kcap + q_omegaCORP_h1_Kcap__full_long_sample",95,"estimated_preliminary_not_promoted","Period-reset baseline for window full_long_sample"
"S32C_periodized__pre_1974_full","S32C_periodized","periodized_baseline_candidate","pre_1974_full",1930,1973,"y_CORP","effective_output_proxy","nonfinancial corporate productive-capacity capital","corporate sector as a whole","corporate sector as a whole","k_Kcap + q_omegaCORP_h1_Kcap__pre_1974_full",44,"estimated_preliminary_not_promoted","Period-reset baseline for window pre_1974_full"
"S32C_periodized__post_1973_full","S32C_periodized","periodized_baseline_candidate","post_1973_full",1974,2024,"y_CORP","effective_output_proxy","nonfinancial corporate productive-capacity capital","corporate sector as a whole","corporate sector as a whole","k_Kcap + q_omegaCORP_h1_Kcap__post_1973_full",51,"estimated_preliminary_not_promoted","Period-reset baseline for window post_1973_full"
"S32C_periodized__fordist_core","S32C_periodized","periodized_baseline_candidate","fordist_core",1945,1973,"y_CORP","effective_output_proxy","nonfinancial corporate productive-capacity capital","corporate sector as a whole","corporate sector as a whole","k_Kcap + q_omegaCORP_h1_Kcap__fordist_core",29,"estimated_preliminary_not_promoted","Period-reset baseline for window fordist_core"
"S32C_periodized__bridge_1940_1978","S32C_periodized","periodized_baseline_candidate","bridge_1940_1978",1940,1978,"y_CORP","effective_output_proxy","nonfinancial corporate productive-capacity capital","corporate sector as a whole","corporate sector as a whole","k_Kcap + q_omegaCORP_h1_Kcap__bridge_1940_1978",39,"estimated_preliminary_not_promoted","Period-reset baseline for window bridge_1940_1978"
"S32C_periodized__pre_1974_alt_1940_1973","S32C_periodized","periodized_baseline_candidate","pre_1974_alt_1940_1973",1940,1973,"y_CORP","effective_output_proxy","nonfinancial corporate productive-capacity capital","corporate sector as a whole","corporate sector as a whole","k_Kcap + q_omegaCORP_h1_Kcap__pre_1974_alt_1940_1973",34,"estimated_preliminary_not_promoted","Period-reset baseline for window pre_1974_alt_1940_1973"
"S32C_periodized__pre_1974_alt_1947_1973","S32C_periodized","periodized_baseline_candidate","pre_1974_alt_1947_1973",1947,1973,"y_CORP","effective_output_proxy","nonfinancial corporate productive-capacity capital","corporate sector as a whole","corporate sector as a whole","k_Kcap + q_omegaCORP_h1_Kcap__pre_1974_alt_1947_1973",27,"estimated_preliminary_not_promoted","Period-reset baseline for window pre_1974_alt_1947_1973"
"S32C_ME_growth_extension","S32C_mechanization_extension","mechanization_candidate_extension","full_long_sample",1930,2024,"y_CORP","effective_output_proxy","nonfinancial corporate productive-capacity capital","corporate sector as a whole","corporate sector as a whole","k_Kcap + q_omegaCORP_h1_Kcap + q_omegaCORP_h1_ME",95,"estimated_preliminary_not_promoted","Tests whether ME growth has an additional distribution-conditioned effect."
"S32C_NRC_growth_extension","S32C_mechanization_extension","mechanization_candidate_extension","full_long_sample",1930,2024,"y_CORP","effective_output_proxy","nonfinancial corporate productive-capacity capital","corporate sector as a whole","corporate sector as a whole","k_Kcap + q_omegaCORP_h1_Kcap + q_omegaCORP_h1_NRC",95,"estimated_preliminary_not_promoted","Tests whether NRC growth has an additional distribution-conditioned effect."
"S32C_ME_minus_NRC_growth_extension","S32C_mechanization_extension","mechanization_candidate_extension","full_long_sample",1930,2024,"y_CORP","effective_output_proxy","nonfinancial corporate productive-capacity capital","corporate sector as a whole","corporate sector as a whole","k_Kcap + q_omegaCORP_h1_Kcap + q_omegaCORP_h1_ME_minus_NRC",95,"estimated_preliminary_not_promoted","Tests whether ME-vs-NRC growth bias has an additional distribution-conditioned effect."
"S32C_ME_share_extension","S32C_mechanization_extension","mechanization_candidate_extension","full_long_sample",1930,2024,"y_CORP","effective_output_proxy","nonfinancial corporate productive-capacity capital","corporate sector as a whole","corporate sector as a whole","k_Kcap + q_omegaCORP_h1_Kcap + q_omegaCORP_h1_ME_share",95,"estimated_preliminary_not_promoted","Tests whether ME share shift has an additional distribution-conditioned effect."
"S32C_NRC_share_extension","S32C_mechanization_extension","mechanization_candidate_extension","full_long_sample",1930,2024,"y_CORP","effective_output_proxy","nonfinancial corporate productive-capacity capital","corporate sector as a whole","corporate sector as a whole","k_Kcap + q_omegaCORP_h1_Kcap + q_omegaCORP_h1_NRC_share",95,"estimated_preliminary_not_promoted","Tests whether NRC share shift has an additional distribution-conditioned effect."
"S32C_ME_NRC_gap_extension","S32C_mechanization_extension","mechanization_candidate_extension","full_long_sample",1930,2024,"y_CORP","effective_output_proxy","nonfinancial corporate productive-capacity capital","corporate sector as a whole","corporate sector as a whole","k_Kcap + q_omegaCORP_h1_Kcap + q_omegaCORP_h1_ME_NRC_gap",95,"estimated_preliminary_not_promoted","Tests whether ME/NRC composition gap shift has an additional distribution-conditioned effect."
"S32C_modified_ME_NRC_split","S32C_mechanization_extension","mechanization_candidate_extension","full_long_sample",1930,2024,"y_CORP","effective_output_proxy","nonfinancial corporate productive-capacity capital","corporate sector as a whole","corporate sector as a whole","k_Kcap + q_omegaCORP_h1_ME + q_omegaCORP_h1_NRC",95,"estimated_preliminary_not_promoted","Replaces the aggregate q-index with separate ME and NRC q-index components."
"S32C_modified_relative_mechanization","S32C_mechanization_extension","mechanization_candidate_extension","full_long_sample",1930,2024,"y_CORP","effective_output_proxy","nonfinancial corporate productive-capacity capital","corporate sector as a whole","corporate sector as a whole","k_Kcap + q_omegaCORP_h1_Kcap + q_omegaCORP_h1_ME_minus_NRC",95,"estimated_preliminary_not_promoted","Tests distribution-conditioned ME-vs-NRC growth bias alongside baseline."
