"claim_id","audience_facing_claim","producer_script","located_source_line","expression","input_artifact","output_artifact","recomputed_value","published_value","absolute_difference","tolerance","status","notes"
"SRC_S34_001","The interaction shown to S35 is the full-panel residual-centered interaction.","codes/S34R_B_cpr_realigned_design_gate/run_s34r_b_cpr_realigned_design_gate.py",370,"panel[""inter_tau_omega_orth""] = residual_center(panel, ""inter_tau_omega"", [""k_NRC_centered"", ""tau_centered"", ""omega_NFC_centered""])","output/S34R_B_cpr_realigned_design_gate/csv/S34R_B_repaired_augmented_panel.csv","output/S34R_B_cpr_realigned_design_gate/csv/S34R_B_repaired_augmented_panel.csv",6.76542155630955e-16,0,6.76542155630955e-16,1e-12,"PASS","Independent OLS residuals compared with inter_tau_omega_orth."
"SRC_S35_RAW_INTERCEPT","S35 Golden-Age FM-OLS reproduces SPEC_B_NRC_raw intercept.","codes/US_S35_estimator_refreeze_cpr.R",127,"cointReg::cointRegFM(x = x, y = y, deter = deter, bandwidth = ""nw"")","output/S34R_B_cpr_realigned_design_gate/csv/S34R_B_repaired_augmented_panel.csv","output/US/S35_estimator_refreeze_cpr/csv/us_s35_cpr_estimation_results.csv",14.8215335440648,14.82153,3.54406483538128e-06,5e-05,"PASS","Tolerance reflects the five-decimal published coefficient ledger."
"SRC_S35_RAW_BETA_SCALE","S35 Golden-Age FM-OLS reproduces SPEC_B_NRC_raw beta_scale.","codes/US_S35_estimator_refreeze_cpr.R",127,"cointReg::cointRegFM(x = x, y = y, deter = deter, bandwidth = ""nw"")","output/S34R_B_cpr_realigned_design_gate/csv/S34R_B_repaired_augmented_panel.csv","output/US/S35_estimator_refreeze_cpr/csv/us_s35_cpr_estimation_results.csv",0.34142127213677,0.34142,1.27213677042493e-06,5e-05,"PASS","Tolerance reflects the five-decimal published coefficient ledger."
"SRC_S35_RAW_BETA_COMP","S35 Golden-Age FM-OLS reproduces SPEC_B_NRC_raw beta_comp.","codes/US_S35_estimator_refreeze_cpr.R",127,"cointReg::cointRegFM(x = x, y = y, deter = deter, bandwidth = ""nw"")","output/S34R_B_cpr_realigned_design_gate/csv/S34R_B_repaired_augmented_panel.csv","output/US/S35_estimator_refreeze_cpr/csv/us_s35_cpr_estimation_results.csv",0.27695864812334,0.27696,1.35187665961656e-06,5e-05,"PASS","Tolerance reflects the five-decimal published coefficient ledger."
"SRC_S35_RAW_BETA_DIST","S35 Golden-Age FM-OLS reproduces SPEC_B_NRC_raw beta_dist.","codes/US_S35_estimator_refreeze_cpr.R",127,"cointReg::cointRegFM(x = x, y = y, deter = deter, bandwidth = ""nw"")","output/S34R_B_cpr_realigned_design_gate/csv/S34R_B_repaired_augmented_panel.csv","output/US/S35_estimator_refreeze_cpr/csv/us_s35_cpr_estimation_results.csv",-4.47060783435518,-4.47061,2.16564482169446e-06,5e-05,"PASS","Tolerance reflects the five-decimal published coefficient ledger."
"SRC_S35_RAW_BETA_INTER","S35 Golden-Age FM-OLS reproduces SPEC_B_NRC_raw beta_inter.","codes/US_S35_estimator_refreeze_cpr.R",127,"cointReg::cointRegFM(x = x, y = y, deter = deter, bandwidth = ""nw"")","output/S34R_B_cpr_realigned_design_gate/csv/S34R_B_repaired_augmented_panel.csv","output/US/S35_estimator_refreeze_cpr/csv/us_s35_cpr_estimation_results.csv",-1.02912611293505,-1.02913,3.88706495413338e-06,5e-05,"PASS","Tolerance reflects the five-decimal published coefficient ledger."
"SRC_S35_ORTH_INTERCEPT","S35 Golden-Age FM-OLS reproduces SPEC_B_NRC_orth intercept.","codes/US_S35_estimator_refreeze_cpr.R",127,"cointReg::cointRegFM(x = x, y = y, deter = deter, bandwidth = ""nw"")","output/S34R_B_cpr_realigned_design_gate/csv/S34R_B_repaired_augmented_panel.csv","output/US/S35_estimator_refreeze_cpr/csv/us_s35_cpr_estimation_results.csv",14.8617322818345,14.86173,2.28183452044561e-06,5e-05,"PASS","Tolerance reflects the five-decimal published coefficient ledger."
"SRC_S35_ORTH_BETA_SCALE","S35 Golden-Age FM-OLS reproduces SPEC_B_NRC_orth beta_scale.","codes/US_S35_estimator_refreeze_cpr.R",127,"cointReg::cointRegFM(x = x, y = y, deter = deter, bandwidth = ""nw"")","output/S34R_B_cpr_realigned_design_gate/csv/S34R_B_repaired_augmented_panel.csv","output/US/S35_estimator_refreeze_cpr/csv/us_s35_cpr_estimation_results.csv",0.237843515947759,0.23784,3.51594775899189e-06,5e-05,"PASS","Tolerance reflects the five-decimal published coefficient ledger."
"SRC_S35_ORTH_BETA_COMP","S35 Golden-Age FM-OLS reproduces SPEC_B_NRC_orth beta_comp.","codes/US_S35_estimator_refreeze_cpr.R",127,"cointReg::cointRegFM(x = x, y = y, deter = deter, bandwidth = ""nw"")","output/S34R_B_cpr_realigned_design_gate/csv/S34R_B_repaired_augmented_panel.csv","output/US/S35_estimator_refreeze_cpr/csv/us_s35_cpr_estimation_results.csv",0.312068306511947,0.31207,1.69348805351133e-06,5e-05,"PASS","Tolerance reflects the five-decimal published coefficient ledger."
"SRC_S35_ORTH_BETA_DIST","S35 Golden-Age FM-OLS reproduces SPEC_B_NRC_orth beta_dist.","codes/US_S35_estimator_refreeze_cpr.R",127,"cointReg::cointRegFM(x = x, y = y, deter = deter, bandwidth = ""nw"")","output/S34R_B_cpr_realigned_design_gate/csv/S34R_B_repaired_augmented_panel.csv","output/US/S35_estimator_refreeze_cpr/csv/us_s35_cpr_estimation_results.csv",-5.16052713406316,-5.16053,2.86593684073466e-06,5e-05,"PASS","Tolerance reflects the five-decimal published coefficient ledger."
