"claim_id","slide_id","audience_facing_claim","source_id","source_file","located_source_line","source_expression","displayed_equation","status"
"MAIN_01","1","Long-run theta is the directional elasticity evaluated along unbalanced accumulation.","S33","docs/ch2/S33_theta_recovery_specification_ledger.md",12,"This note locks a specification-facing ledger for the recovery of the time-varying or state-conditioned capacity-building elasticity, \(\theta_t\), in the Chapter 2 empirical architecture.","theta_Gamma = d log(Yp) / d log(Kcap) along Gamma","PASS"
"MAIN_02","2","Observed output separates latent productive capacity from realized utilization.","RULE","chapter2_vault/00_constitutive_core/R_distribution_conditioned_theta_identification.md",19,"y_t = y_t^p + \log \mu_t.","y = yp + log(mu)","PASS"
"MAIN_03","3","Persistent distribution selects technique before the associated capital is installed.","S33","docs/ch2/S33_theta_recovery_specification_ledger.md",63,"q_t^* = \arg\max_q \left[a(q)-q(1-\omega_t)\right]","a'(q*) = pi_LR = 1 - omega_LR","PASS"
"MAIN_04","4","A fixed marginal technique does not imply proportional growth of inherited ME and NR stocks.","S33","docs/ch2/S33_theta_recovery_specification_ledger.md",111,"\omega_t \rightarrow q_t^* \rightarrow \Delta K^{ME}_t,\Delta K^{NRC}_t \rightarrow K^{cap}_t \rightarrow Y^p_t \rightarrow \mu_t","d tau = dK_ME/K_ME - dK_NR/K_NR need not equal zero","PASS"
"MAIN_05","5","The composition specification separately identifies the plant-envelope and machinery payoffs.","A05","chapter2_vault/02_analyitical_foundation/A05_NRCEnvelope_MechanizationBias.md",100,"\frac{\partial\hat y_t^p}{\partial\tilde\tau_t}","dyp = theta_scale dk_NR + theta_tau d tau","PASS"
"MAIN_06","6","Capital-stock growth and potential-output growth are different magnitudes on the same path.","CAPITAL","codes/US_D10_clean_build_source_of_truth_dataset.R",260,"notes = ""K_capacity = K_ME + K_NRC."")","dk_cap = dk_NR + s_ME d tau","PASS"
"MAIN_07","7","The accumulation direction maps the two-capital gradient into aggregate theta.","A03","chapter2_vault/02_analyitical_foundation/A03_TransformationElasticity_Two-CapitalCapacityComposition.md",103,"The **aggregate transformation elasticity** is defined as the ratio of capacity growth to total capital growth:","theta_Gamma = gp/gK = theta_scale + (theta_tau-s_ME theta_scale) d tau/dk_cap","PASS"
"MAIN_08","8","Embodiment requires lagged timing without suppressing unbalanced composition change.","S33","docs/ch2/S33_theta_recovery_specification_ledger.md",135,"| `S3_COMPONENT_K` | \(y_t=\alpha+\theta_{ME}k^{ME}_t+\theta_{NRC}k^{NRC}_t+u_t\) | Heterogeneous capital-capacity mapping | \(\theta_t=\theta_{ME}\rho^{ME}_t+\theta_{NRC}\rho^{NRC}_t\), where \(\rho^i_t=\Delta k^i_t/\Delta k_t\) | First serious bridge from aggregate capacity to disproportional accumulation. ME and NRC are not marginal-product inputs. | `AUTHORIZE_COMPONENT_DECOMP` if residual is I(0) and design matrix is not degenerate. |","gp = theta_scale g_NR + theta_tau_lag (g_ME-g_NR)","PASS"
"MAIN_09","9","The affine profit-share form is a restricted case of the path-dependent composition model.","RULE","chapter2_vault/00_constitutive_core/R_distribution_conditioned_theta_identification.md",69,"\theta_0+\theta_1\tilde d_t.","theta_Gamma_LR = theta_scale + [psi_pi+lambda_pi pi_LR-s_ME theta_scale] r_LR","PASS"
"MAIN_10","10","Unity classifies the combined path elasticity through capacity-productivity growth.","PLAYBOOK","chapter2_vault/00_constitutive_core/03B_Process_Tracing_Playbook.md",49,"The governing classification is determined by the elasticity of productive capacities with respect to productive capital accumulation.","Delta log(b) = (Theta_Gamma-1) Delta log(Kcap)","PASS"
"MAIN_11","11","A sustained regime requires a window interval that clears unity; mu classifies realized use.","RULE","chapter2_vault/00_constitutive_core/R_distribution_conditioned_theta_identification.md",36,"After productive capacity has been reconstructed and explicitly anchored:","Theta_Gamma_w = sum(gp)/sum(gK); Delta log(mu)=Delta y-gp","PASS"
"APP_01","A1","Identification requires scale-composition rank, timing, aggregation, anchoring, and positive accumulation.","RULE","chapter2_vault/00_constitutive_core/R_distribution_conditioned_theta_identification.md",155,"### Specification B: composition-mediated conditioning","rank[k_NR,tau]=2; Kcap=KME+KNR; cumulative gK positive","PASS"
"APP_02","A2","Regime inference must re-estimate and rebuild the full unbalanced path in every bootstrap draw.","S33","docs/ch2/S33_theta_recovery_specification_ledger.md",18,"Some specifications recover \(\theta_t\) directly. Some recover only upstream determinants of \(\theta_t\). Some are diagnostic only. Some must be blocked from the standard FM-OLS / DOLS / IM-OLS estimator grid because they create raw polynomial or interaction terms that may behave as I(2).","resample; re-estimate; reconstruct gp and gK; build Theta; compare interval with one","PASS"
