"anchor_id","source_id","source_file","located_source_line","source_expression"
"theta_object","S33","docs/ch2/S33_theta_recovery_specification_ledger.md",12,"This note locks a specification-facing ledger for the recovery of the time-varying or state-conditioned capacity-building elasticity, \(\theta_t\), in the Chapter 2 empirical architecture."
"observed_output","RULE","chapter2_vault/00_constitutive_core/R_distribution_conditioned_theta_identification.md",19,"y_t = y_t^p + \log \mu_t."
"sequence","RULE","chapter2_vault/00_constitutive_core/R_distribution_conditioned_theta_identification.md",27,"\text{long-run coefficient vector}"
"technique_choice","S33","docs/ch2/S33_theta_recovery_specification_ledger.md",63,"q_t^* = \arg\max_q \left[a(q)-q(1-\omega_t)\right]"
"causal_order","S33","docs/ch2/S33_theta_recovery_specification_ledger.md",111,"\omega_t \rightarrow q_t^* \rightarrow \Delta K^{ME}_t,\Delta K^{NRC}_t \rightarrow K^{cap}_t \rightarrow Y^p_t \rightarrow \mu_t"
"accumulated_path","S33","docs/ch2/S33_theta_recovery_specification_ledger.md",75,"Q^{tech}_t = \sum_{s\leq t} q^*_{s-1}\Delta k_s"
"preferred_recovery","S33","docs/ch2/S33_theta_recovery_specification_ledger.md",224,"\boxed{\theta_t=\beta+\gamma q^*_{t-1}}"
"profit_form","OUTLINE","chapter2/outline/Ch2_Outline_DEFINITIVE.md",567,"$$\hat{\theta}_t^{(1)} = \theta_1 + \theta_2\,\hat{\pi}_t^{LR}$$"
"benchmark","OUTLINE","chapter2/outline/Ch2_Outline_DEFINITIVE.md",411,"HP-filter and peak-output methods impose $\theta(\Lambda) = 1$ by construction — balanced"
"composition","S33","docs/ch2/S33_theta_recovery_specification_ledger.md",135,"| `S3_COMPONENT_K` | \(y_t=\alpha+\theta_{ME}k^{ME}_t+\theta_{NRC}k^{NRC}_t+u_t\) | Heterogeneous capital-capacity mapping | \(\theta_t=\theta_{ME}\rho^{ME}_t+\theta_{NRC}\rho^{NRC}_t\), where \(\rho^i_t=\Delta k^i_t/\Delta k_t\) | First serious bridge from aggregate capacity to disproportional accumulation. ME and NRC are not marginal-product inputs. | `AUTHORIZE_COMPONENT_DECOMP` if residual is I(0) and design matrix is not degenerate. |"
"generated_inference","S33","docs/ch2/S33_theta_recovery_specification_ledger.md",18,"Some specifications recover \(\theta_t\) directly. Some recover only upstream determinants of \(\theta_t\). Some are diagnostic only. Some must be blocked from the standard FM-OLS / DOLS / IM-OLS estimator grid because they create raw polynomial or interaction terms that may behave as I(2)."
"anchoring","RULE","chapter2_vault/00_constitutive_core/R_distribution_conditioned_theta_identification.md",36,"After productive capacity has been reconstructed and explicitly anchored:"
