"claim_id","slide_id","audience_facing_claim","source_id","source_file","located_source_line","source_expression","displayed_equation","status"
"MAIN_01","1","Theta is a long-run marginal capital-to-capacity elasticity, not an annual realized-growth ratio.","S33","docs/ch2/S33_theta_recovery_specification_ledger.md",12,"This note locks a specification-facing ledger for the recovery of the time-varying or state-conditioned capacity-building elasticity, \(\theta_t\), in the Chapter 2 empirical architecture.","theta_t^LR = d log(Y_t^p) / d log(K_t^cap) on the long-run manifold","PASS"
"MAIN_02","2","Observed output must be decomposed into latent capacity and utilization before utilization is recovered.","RULE","chapter2_vault/00_constitutive_core/R_distribution_conditioned_theta_identification.md",19,"y_t = y_t^p + \log \mu_t.","y_t = y_t^p + log(mu_t)","PASS"
"MAIN_03","3","Long-run distribution selects technique before productive capital is installed.","S33","docs/ch2/S33_theta_recovery_specification_ledger.md",63,"q_t^* = \arg\max_q \left[a(q)-q(1-\omega_t)\right]","a'(q_t^*) = pi_t^LR = 1 - omega_t^LR","PASS"
"MAIN_04","4","Lagged technique is embodied in new accumulation rather than applied retroactively to the existing stock.","S33","docs/ch2/S33_theta_recovery_specification_ledger.md",111,"\omega_t \rightarrow q_t^* \rightarrow \Delta K^{ME}_t,\Delta K^{NRC}_t \rightarrow K^{cap}_t \rightarrow Y^p_t \rightarrow \mu_t","Delta Q_t^tech = qtilde_{t-1}^* Delta k_t","PASS"
"MAIN_05","5","The accumulated technique path converts heterogeneous installation choices into an admissible long-run state.","S33","docs/ch2/S33_theta_recovery_specification_ledger.md",75,"Q^{tech}_t = \sum_{s\leq t} q^*_{s-1}\Delta k_s","Q_t^tech = sum_{s<=t} qtilde_{s-1}^* Delta k_s","PASS"
"MAIN_06","6","The cointegrating vector and the lagged technique state jointly recover the complete theta path.","S33","docs/ch2/S33_theta_recovery_specification_ledger.md",224,"\boxed{\theta_t=\beta+\gamma q^*_{t-1}}","theta_t^LR = beta_K + beta_Q qtilde_{t-1}^*","PASS"
"MAIN_07","7","An affine technique-choice equation nests the governing profit-share formulation of theta.","OUTLINE","chapter2/outline/Ch2_Outline_DEFINITIVE.md",567,"$$\hat{\theta}_t^{(1)} = \theta_1 + \theta_2\,\hat{\pi}_t^{LR}$$","theta_t^LR = theta_1 + theta_2 pi_{t-1}^LR","PASS"
"MAIN_08","8","Unity is the Harrodian benchmark because it leaves capacity productivity unchanged under positive accumulation.","OUTLINE","chapter2/outline/Ch2_Outline_DEFINITIVE.md",411,"HP-filter and peak-output methods impose $\theta(\Lambda) = 1$ by construction — balanced","Delta log(b_t) = (theta_t^LR - 1) Delta k_t","PASS"
"MAIN_09","9","Theta classifies capacity-building while anchored mu classifies whether capacity is actually used.","RULE","chapter2_vault/00_constitutive_core/R_distribution_conditioned_theta_identification.md",27,"\text{long-run coefficient vector}","Delta log(mu_t) = Delta y_t - theta_t^LR Delta k_t","PASS"
"MAIN_10","10","A regime is identified only when uncertainty excludes unity and all admissibility gates pass.","S33","docs/ch2/S33_theta_recovery_specification_ledger.md",18,"Some specifications recover \(\theta_t\) directly. Some recover only upstream determinants of \(\theta_t\). Some are diagnostic only. Some must be blocked from the standard FM-OLS / DOLS / IM-OLS estimator grid because they create raw polynomial or interaction terms that may behave as I(2).","upper_t < 1; lower_t > 1; otherwise indeterminate","PASS"
"APP_01","A1","Identification requires admissible long-run states, rank, stationary residuals, lag timing, and explicit anchoring.","RULE","chapter2_vault/00_constitutive_core/R_distribution_conditioned_theta_identification.md",36,"After productive capacity has been reconstructed and explicitly anchored:","rank[k,Q]=2; residual I(0); lagged installation; anchored capacity","PASS"
"APP_02","A2","Composition payoffs and annual realized-direction ratios are not the balanced-accumulation theta coefficient.","S33","docs/ch2/S33_theta_recovery_specification_ledger.md",135,"| `S3_COMPONENT_K` | \(y_t=\alpha+\theta_{ME}k^{ME}_t+\theta_{NRC}k^{NRC}_t+u_t\) | Heterogeneous capital-capacity mapping | \(\theta_t=\theta_{ME}\rho^{ME}_t+\theta_{NRC}\rho^{NRC}_t\), where \(\rho^i_t=\Delta k^i_t/\Delta k_t\) | First serious bridge from aggregate capacity to disproportional accumulation. ME and NRC are not marginal-product inputs. | `AUTHORIZE_COMPONENT_DECOMP` if residual is I(0) and design matrix is not degenerate. |","theta_scale, theta_composition, and g_t^p/g_t^cap are distinct objects","PASS"
"APP_03","A3","Generated-regressor uncertainty must re-estimate every upstream state before theta bands and window regimes are classified.","S33","docs/ch2/S33_theta_recovery_specification_ledger.md",18,"Some specifications recover \(\theta_t\) directly. Some recover only upstream determinants of \(\theta_t\). Some are diagnostic only. Some must be blocked from the standard FM-OLS / DOLS / IM-OLS estimator grid because they create raw polynomial or interaction terms that may behave as I(2).","Theta_w^LR = sum(theta_t^LR Delta k_t) / sum(Delta k_t)","PASS"
