"anchor_id","source_id","source_file","located_source_line","source_expression"
"theta_object","S33","docs/ch2/S33_theta_recovery_specification_ledger.md",12,"This note locks a specification-facing ledger for the recovery of the time-varying or state-conditioned capacity-building elasticity, \(\theta_t\), in the Chapter 2 empirical architecture."
"observed_output","RULE","chapter2_vault/00_constitutive_core/R_distribution_conditioned_theta_identification.md",19,"y_t = y_t^p + \log \mu_t."
"technique_choice","S33","docs/ch2/S33_theta_recovery_specification_ledger.md",63,"q_t^* = \arg\max_q \left[a(q)-q(1-\omega_t)\right]"
"causal_order","S33","docs/ch2/S33_theta_recovery_specification_ledger.md",111,"\omega_t \rightarrow q_t^* \rightarrow \Delta K^{ME}_t,\Delta K^{NRC}_t \rightarrow K^{cap}_t \rightarrow Y^p_t \rightarrow \mu_t"
"composition_spec","RULE","chapter2_vault/00_constitutive_core/R_distribution_conditioned_theta_identification.md",155,"### Specification B: composition-mediated conditioning"
"composition_response","A05","chapter2_vault/02_analyitical_foundation/A05_NRCEnvelope_MechanizationBias.md",100,"\frac{\partial\hat y_t^p}{\partial\tilde\tau_t}"
"aggregate_ratio","A03","chapter2_vault/02_analyitical_foundation/A03_TransformationElasticity_Two-CapitalCapacityComposition.md",103,"The **aggregate transformation elasticity** is defined as the ratio of capacity growth to total capital growth:"
"capital_identity","CAPITAL","codes/US_D10_clean_build_source_of_truth_dataset.R",260,"notes = ""K_capacity = K_ME + K_NRC."")"
"component_bridge","S33","docs/ch2/S33_theta_recovery_specification_ledger.md",135,"| `S3_COMPONENT_K` | \(y_t=\alpha+\theta_{ME}k^{ME}_t+\theta_{NRC}k^{NRC}_t+u_t\) | Heterogeneous capital-capacity mapping | \(\theta_t=\theta_{ME}\rho^{ME}_t+\theta_{NRC}\rho^{NRC}_t\), where \(\rho^i_t=\Delta k^i_t/\Delta k_t\) | First serious bridge from aggregate capacity to disproportional accumulation. ME and NRC are not marginal-product inputs. | `AUTHORIZE_COMPONENT_DECOMP` if residual is I(0) and design matrix is not degenerate. |"
"affine_lock","RULE","chapter2_vault/00_constitutive_core/R_distribution_conditioned_theta_identification.md",69,"\theta_0+\theta_1\tilde d_t."
"benchmark","PLAYBOOK","chapter2_vault/00_constitutive_core/03B_Process_Tracing_Playbook.md",49,"The governing classification is determined by the elasticity of productive capacities with respect to productive capital accumulation."
"anchoring","RULE","chapter2_vault/00_constitutive_core/R_distribution_conditioned_theta_identification.md",36,"After productive capacity has been reconstructed and explicitly anchored:"
"inference","S33","docs/ch2/S33_theta_recovery_specification_ledger.md",18,"Some specifications recover \(\theta_t\) directly. Some recover only upstream determinants of \(\theta_t\). Some are diagnostic only. Some must be blocked from the standard FM-OLS / DOLS / IM-OLS estimator grid because they create raw polynomial or interaction terms that may behave as I(2)."
