"stage_id","object_family","constructed_object_count","verdict","evidence"
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","deflators",0,"PASS","S29B emits setup ledgers, contracts, audits, and validation files only."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","real_investment_flows",0,"PASS","S29B emits setup ledgers, contracts, audits, and validation files only."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","fixed_assets_variables",0,"PASS","S29B emits setup ledgers, contracts, audits, and validation files only."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","capital_stock_variables",0,"PASS","S29B emits setup ledgers, contracts, audits, and validation files only."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","gpim_variables",0,"PASS","S29B emits setup ledgers, contracts, audits, and validation files only."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","core_capital_stock",0,"PASS","S29B emits setup ledgers, contracts, audits, and validation files only."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","real_output_variables",0,"PASS","S29B emits setup ledgers, contracts, audits, and validation files only."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","q_variables",0,"PASS","S29B emits setup ledgers, contracts, audits, and validation files only."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","modeling_outputs",0,"PASS","S29B emits setup ledgers, contracts, audits, and validation files only."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","econometric_outputs",0,"PASS","S29B emits setup ledgers, contracts, audits, and validation files only."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","theta_outputs",0,"PASS","S29B emits setup ledgers, contracts, audits, and validation files only."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","productive_capacity_outputs",0,"PASS","S29B emits setup ledgers, contracts, audits, and validation files only."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","utilization_outputs",0,"PASS","S29B emits setup ledgers, contracts, audits, and validation files only."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","adjusted_shaikh_objects",0,"PASS","S29B emits setup ledgers, contracts, audits, and validation files only."
