"stage_id","variable_id","sector","asset_family","measurement_concept","theoretical_role","implementation_status","baseline_core_stock_inclusion","construction_authorized_in_s29b","boundary_rationale"
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","GOV_TRANS__HIGHWAYS_STREETS__cfc_current_cost","GOV_TRANS","HIGHWAYS_STREETS","cfc_current_cost","contextual_government_transportation","reference_only","no","no","Government transportation assets are contextual infrastructure and excluded from the private baseline core stock."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","GOV_TRANS__HIGHWAYS_STREETS__gross_investment_current_cost","GOV_TRANS","HIGHWAYS_STREETS","gross_investment_current_cost","contextual_government_transportation","reference_only","no","no","Government transportation assets are contextual infrastructure and excluded from the private baseline core stock."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","GOV_TRANS__HIGHWAYS_STREETS__net_stock_current_cost","GOV_TRANS","HIGHWAYS_STREETS","net_stock_current_cost","contextual_government_transportation","reference_only","no","no","Government transportation assets are contextual infrastructure and excluded from the private baseline core stock."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","GOV_TRANS__HIGHWAYS_STREETS__net_stock_quantity_index","GOV_TRANS","HIGHWAYS_STREETS","net_stock_quantity_index","contextual_government_transportation","reference_only","no","no","Government transportation assets are contextual infrastructure and excluded from the private baseline core stock."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","GOV_TRANS__TRANSPORTATION_STRUCTURES__cfc_current_cost","GOV_TRANS","TRANSPORTATION_STRUCTURES","cfc_current_cost","contextual_government_transportation","reference_only","no","no","Government transportation assets are contextual infrastructure and excluded from the private baseline core stock."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","GOV_TRANS__TRANSPORTATION_STRUCTURES__gross_investment_current_cost","GOV_TRANS","TRANSPORTATION_STRUCTURES","gross_investment_current_cost","contextual_government_transportation","reference_only","no","no","Government transportation assets are contextual infrastructure and excluded from the private baseline core stock."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","GOV_TRANS__TRANSPORTATION_STRUCTURES__net_stock_current_cost","GOV_TRANS","TRANSPORTATION_STRUCTURES","net_stock_current_cost","contextual_government_transportation","reference_only","no","no","Government transportation assets are contextual infrastructure and excluded from the private baseline core stock."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","GOV_TRANS__TRANSPORTATION_STRUCTURES__net_stock_quantity_index","GOV_TRANS","TRANSPORTATION_STRUCTURES","net_stock_quantity_index","contextual_government_transportation","reference_only","no","no","Government transportation assets are contextual infrastructure and excluded from the private baseline core stock."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","CORP__ME__cfc_current_cost","CORP","ME","cfc_current_cost","core_ME","ready_for_existing_GPIM_consumption","yes_after_later_asset_specific_construction","no","Machinery and equipment is locked inside the baseline productive-capital boundary after asset-specific deflation and GPIM rules."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","CORP__ME__gross_investment_current_cost","CORP","ME","gross_investment_current_cost","core_ME","ready_for_existing_GPIM_consumption","yes_after_later_asset_specific_construction","no","Machinery and equipment is locked inside the baseline productive-capital boundary after asset-specific deflation and GPIM rules."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","CORP__ME__net_stock_current_cost","CORP","ME","net_stock_current_cost","core_ME","ready_for_existing_GPIM_consumption","yes_after_later_asset_specific_construction","no","Machinery and equipment is locked inside the baseline productive-capital boundary after asset-specific deflation and GPIM rules."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","CORP__ME__net_stock_quantity_index","CORP","ME","net_stock_quantity_index","core_ME","requires_price_concept_review","yes_after_later_asset_specific_construction","no","Machinery and equipment is locked inside the baseline productive-capital boundary after asset-specific deflation and GPIM rules."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","CORP__NRC__cfc_current_cost","CORP","NRC","cfc_current_cost","core_NRC","ready_for_existing_GPIM_consumption","yes_after_later_asset_specific_construction","no","Nonresidential construction is locked inside the baseline productive-capital boundary after asset-specific deflation and GPIM rules."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","CORP__NRC__gross_investment_current_cost","CORP","NRC","gross_investment_current_cost","core_NRC","ready_for_existing_GPIM_consumption","yes_after_later_asset_specific_construction","no","Nonresidential construction is locked inside the baseline productive-capital boundary after asset-specific deflation and GPIM rules."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","CORP__NRC__net_stock_current_cost","CORP","NRC","net_stock_current_cost","core_NRC","ready_for_existing_GPIM_consumption","yes_after_later_asset_specific_construction","no","Nonresidential construction is locked inside the baseline productive-capital boundary after asset-specific deflation and GPIM rules."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","CORP__NRC__net_stock_quantity_index","CORP","NRC","net_stock_quantity_index","core_NRC","requires_price_concept_review","yes_after_later_asset_specific_construction","no","Nonresidential construction is locked inside the baseline productive-capital boundary after asset-specific deflation and GPIM rules."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","FIN__ME__cfc_current_cost","FIN","ME","cfc_current_cost","review_required","requires_common_unit_reconciliation","no","no","Object requires future boundary or aggregation review before implementation."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","FIN__ME__gross_investment_current_cost","FIN","ME","gross_investment_current_cost","review_required","requires_common_unit_reconciliation","no","no","Object requires future boundary or aggregation review before implementation."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","FIN__ME__net_stock_current_cost","FIN","ME","net_stock_current_cost","review_required","requires_common_unit_reconciliation","no","no","Object requires future boundary or aggregation review before implementation."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","FIN__ME__net_stock_quantity_index","FIN","ME","net_stock_quantity_index","review_required","requires_common_unit_reconciliation","no","no","Object requires future boundary or aggregation review before implementation."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","FIN__NRC__cfc_current_cost","FIN","NRC","cfc_current_cost","review_required","requires_common_unit_reconciliation","no","no","Object requires future boundary or aggregation review before implementation."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","FIN__NRC__gross_investment_current_cost","FIN","NRC","gross_investment_current_cost","review_required","requires_common_unit_reconciliation","no","no","Object requires future boundary or aggregation review before implementation."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","FIN__NRC__net_stock_current_cost","FIN","NRC","net_stock_current_cost","review_required","requires_common_unit_reconciliation","no","no","Object requires future boundary or aggregation review before implementation."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","FIN__NRC__net_stock_quantity_index","FIN","NRC","net_stock_quantity_index","review_required","requires_common_unit_reconciliation","no","no","Object requires future boundary or aggregation review before implementation."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","NFC__ME__cfc_current_cost","NFC","ME","cfc_current_cost","core_ME","ready_for_existing_GPIM_consumption","yes_after_later_asset_specific_construction","no","Machinery and equipment is locked inside the baseline productive-capital boundary after asset-specific deflation and GPIM rules."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","NFC__ME__gross_investment_current_cost","NFC","ME","gross_investment_current_cost","core_ME","ready_for_existing_GPIM_consumption","yes_after_later_asset_specific_construction","no","Machinery and equipment is locked inside the baseline productive-capital boundary after asset-specific deflation and GPIM rules."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","NFC__ME__net_stock_current_cost","NFC","ME","net_stock_current_cost","core_ME","ready_for_existing_GPIM_consumption","yes_after_later_asset_specific_construction","no","Machinery and equipment is locked inside the baseline productive-capital boundary after asset-specific deflation and GPIM rules."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","NFC__ME__net_stock_quantity_index","NFC","ME","net_stock_quantity_index","core_ME","requires_price_concept_review","yes_after_later_asset_specific_construction","no","Machinery and equipment is locked inside the baseline productive-capital boundary after asset-specific deflation and GPIM rules."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","NFC__NRC__cfc_current_cost","NFC","NRC","cfc_current_cost","core_NRC","ready_for_existing_GPIM_consumption","yes_after_later_asset_specific_construction","no","Nonresidential construction is locked inside the baseline productive-capital boundary after asset-specific deflation and GPIM rules."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","NFC__NRC__gross_investment_current_cost","NFC","NRC","gross_investment_current_cost","core_NRC","ready_for_existing_GPIM_consumption","yes_after_later_asset_specific_construction","no","Nonresidential construction is locked inside the baseline productive-capital boundary after asset-specific deflation and GPIM rules."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","NFC__NRC__net_stock_current_cost","NFC","NRC","net_stock_current_cost","core_NRC","ready_for_existing_GPIM_consumption","yes_after_later_asset_specific_construction","no","Nonresidential construction is locked inside the baseline productive-capital boundary after asset-specific deflation and GPIM rules."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","NFC__NRC__net_stock_quantity_index","NFC","NRC","net_stock_quantity_index","core_NRC","requires_price_concept_review","yes_after_later_asset_specific_construction","no","Nonresidential construction is locked inside the baseline productive-capital boundary after asset-specific deflation and GPIM rules."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","CORP__IPP__cfc_current_cost","CORP","IPP","cfc_current_cost","contextual_IPP","reference_only","no","no","IPP is contextual/technical-frontier material and is excluded from baseline core capital stock."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","CORP__IPP__gross_investment_current_cost","CORP","IPP","gross_investment_current_cost","contextual_IPP","reference_only","no","no","IPP is contextual/technical-frontier material and is excluded from baseline core capital stock."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","CORP__IPP__net_stock_current_cost","CORP","IPP","net_stock_current_cost","contextual_IPP","reference_only","no","no","IPP is contextual/technical-frontier material and is excluded from baseline core capital stock."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","CORP__IPP__net_stock_quantity_index","CORP","IPP","net_stock_quantity_index","contextual_IPP","reference_only","no","no","IPP is contextual/technical-frontier material and is excluded from baseline core capital stock."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","FIN__IPP__cfc_current_cost","FIN","IPP","cfc_current_cost","contextual_IPP","reference_only","no","no","IPP is contextual/technical-frontier material and is excluded from baseline core capital stock."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","FIN__IPP__gross_investment_current_cost","FIN","IPP","gross_investment_current_cost","contextual_IPP","reference_only","no","no","IPP is contextual/technical-frontier material and is excluded from baseline core capital stock."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","FIN__IPP__net_stock_current_cost","FIN","IPP","net_stock_current_cost","contextual_IPP","reference_only","no","no","IPP is contextual/technical-frontier material and is excluded from baseline core capital stock."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","FIN__IPP__net_stock_quantity_index","FIN","IPP","net_stock_quantity_index","contextual_IPP","reference_only","no","no","IPP is contextual/technical-frontier material and is excluded from baseline core capital stock."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","NFC__IPP__cfc_current_cost","NFC","IPP","cfc_current_cost","contextual_IPP","reference_only","no","no","IPP is contextual/technical-frontier material and is excluded from baseline core capital stock."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","NFC__IPP__gross_investment_current_cost","NFC","IPP","gross_investment_current_cost","contextual_IPP","reference_only","no","no","IPP is contextual/technical-frontier material and is excluded from baseline core capital stock."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","NFC__IPP__net_stock_current_cost","NFC","IPP","net_stock_current_cost","contextual_IPP","reference_only","no","no","IPP is contextual/technical-frontier material and is excluded from baseline core capital stock."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","NFC__IPP__net_stock_quantity_index","NFC","IPP","net_stock_quantity_index","contextual_IPP","reference_only","no","no","IPP is contextual/technical-frontier material and is excluded from baseline core capital stock."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","CORP__TOTAL__cfc_current_cost","CORP","TOTAL","cfc_current_cost","review_required","requires_common_unit_reconciliation","no","no","Object requires future boundary or aggregation review before implementation."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","CORP__TOTAL__gross_investment_current_cost","CORP","TOTAL","gross_investment_current_cost","review_required","requires_common_unit_reconciliation","no","no","Object requires future boundary or aggregation review before implementation."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","CORP__TOTAL__net_stock_current_cost","CORP","TOTAL","net_stock_current_cost","review_required","requires_common_unit_reconciliation","no","no","Object requires future boundary or aggregation review before implementation."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","CORP__TOTAL__net_stock_quantity_index","CORP","TOTAL","net_stock_quantity_index","review_required","requires_common_unit_reconciliation","no","no","Object requires future boundary or aggregation review before implementation."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","FIN__TOTAL__cfc_current_cost","FIN","TOTAL","cfc_current_cost","review_required","requires_common_unit_reconciliation","no","no","Object requires future boundary or aggregation review before implementation."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","FIN__TOTAL__gross_investment_current_cost","FIN","TOTAL","gross_investment_current_cost","review_required","requires_common_unit_reconciliation","no","no","Object requires future boundary or aggregation review before implementation."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","FIN__TOTAL__net_stock_current_cost","FIN","TOTAL","net_stock_current_cost","review_required","requires_common_unit_reconciliation","no","no","Object requires future boundary or aggregation review before implementation."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","FIN__TOTAL__net_stock_quantity_index","FIN","TOTAL","net_stock_quantity_index","review_required","requires_common_unit_reconciliation","no","no","Object requires future boundary or aggregation review before implementation."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","NFC__TOTAL__cfc_current_cost","NFC","TOTAL","cfc_current_cost","review_required","requires_common_unit_reconciliation","no","no","Object requires future boundary or aggregation review before implementation."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","NFC__TOTAL__gross_investment_current_cost","NFC","TOTAL","gross_investment_current_cost","review_required","requires_common_unit_reconciliation","no","no","Object requires future boundary or aggregation review before implementation."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","NFC__TOTAL__net_stock_current_cost","NFC","TOTAL","net_stock_current_cost","review_required","requires_common_unit_reconciliation","no","no","Object requires future boundary or aggregation review before implementation."
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","NFC__TOTAL__net_stock_quantity_index","NFC","TOTAL","net_stock_quantity_index","review_required","requires_common_unit_reconciliation","no","no","Object requires future boundary or aggregation review before implementation."
