"stage_id","source_input_id","candidate_id","derived_variable_family","source_input_status","dependency_role","dependency_authorization_status","implementation_authorized","sector","asset_family","measurement_concept","theoretical_role","implementation_status","construction_authorized_in_s29b"
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","NFC__ME__cfc_current_cost","DV_PLAN_NFC_FIXED_ASSET_CAPITAL_STOCK","fixed_assets_and_capital_stock_variables","authorized_observation_bearing","observation_bearing_source_input","ready_after_distribution_planning","no","NFC","ME","cfc_current_cost","core_ME","ready_for_existing_GPIM_consumption","no"
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","NFC__ME__gross_investment_current_cost","DV_PLAN_NFC_FIXED_ASSET_CAPITAL_STOCK","fixed_assets_and_capital_stock_variables","authorized_observation_bearing","observation_bearing_source_input","ready_after_distribution_planning","no","NFC","ME","gross_investment_current_cost","core_ME","ready_for_existing_GPIM_consumption","no"
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","NFC__ME__net_stock_current_cost","DV_PLAN_NFC_FIXED_ASSET_CAPITAL_STOCK","fixed_assets_and_capital_stock_variables","authorized_observation_bearing","observation_bearing_source_input","ready_after_distribution_planning","no","NFC","ME","net_stock_current_cost","core_ME","ready_for_existing_GPIM_consumption","no"
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","NFC__ME__net_stock_quantity_index","DV_PLAN_NFC_FIXED_ASSET_CAPITAL_STOCK","fixed_assets_and_capital_stock_variables","authorized_observation_bearing","observation_bearing_source_input","ready_after_distribution_planning","no","NFC","ME","net_stock_quantity_index","core_ME","requires_price_concept_review","no"
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","NFC__NRC__cfc_current_cost","DV_PLAN_NFC_FIXED_ASSET_CAPITAL_STOCK","fixed_assets_and_capital_stock_variables","authorized_observation_bearing","observation_bearing_source_input","ready_after_distribution_planning","no","NFC","NRC","cfc_current_cost","core_NRC","ready_for_existing_GPIM_consumption","no"
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","NFC__NRC__gross_investment_current_cost","DV_PLAN_NFC_FIXED_ASSET_CAPITAL_STOCK","fixed_assets_and_capital_stock_variables","authorized_observation_bearing","observation_bearing_source_input","ready_after_distribution_planning","no","NFC","NRC","gross_investment_current_cost","core_NRC","ready_for_existing_GPIM_consumption","no"
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","NFC__NRC__net_stock_current_cost","DV_PLAN_NFC_FIXED_ASSET_CAPITAL_STOCK","fixed_assets_and_capital_stock_variables","authorized_observation_bearing","observation_bearing_source_input","ready_after_distribution_planning","no","NFC","NRC","net_stock_current_cost","core_NRC","ready_for_existing_GPIM_consumption","no"
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","NFC__NRC__net_stock_quantity_index","DV_PLAN_NFC_FIXED_ASSET_CAPITAL_STOCK","fixed_assets_and_capital_stock_variables","authorized_observation_bearing","observation_bearing_source_input","ready_after_distribution_planning","no","NFC","NRC","net_stock_quantity_index","core_NRC","requires_price_concept_review","no"
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","NFC__IPP__cfc_current_cost","DV_PLAN_NFC_FIXED_ASSET_CAPITAL_STOCK","fixed_assets_and_capital_stock_variables","authorized_observation_bearing","observation_bearing_source_input","ready_after_distribution_planning","no","NFC","IPP","cfc_current_cost","contextual_IPP","reference_only","no"
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","NFC__IPP__gross_investment_current_cost","DV_PLAN_NFC_FIXED_ASSET_CAPITAL_STOCK","fixed_assets_and_capital_stock_variables","authorized_observation_bearing","observation_bearing_source_input","ready_after_distribution_planning","no","NFC","IPP","gross_investment_current_cost","contextual_IPP","reference_only","no"
