"stage_id","audit_item","constructed_object_count","status","evidence"
"S30B_INCOME_DISTRIBUTION_FAMILY_CLOSURE","no_complete_case_sample",0,"PASS","S30B emits family contracts, copied same-family interface rows, validation, handoff, and intake only."
"S30B_INCOME_DISTRIBUTION_FAMILY_CLOSURE","no_estimation_sample",0,"PASS","S30B emits family contracts, copied same-family interface rows, validation, handoff, and intake only."
"S30B_INCOME_DISTRIBUTION_FAMILY_CLOSURE","no_canonical_dataset",0,"PASS","S30B emits family contracts, copied same-family interface rows, validation, handoff, and intake only."
"S30B_INCOME_DISTRIBUTION_FAMILY_CLOSURE","no_q_construction",0,"PASS","S30B emits family contracts, copied same-family interface rows, validation, handoff, and intake only."
"S30B_INCOME_DISTRIBUTION_FAMILY_CLOSURE","no_theta_construction",0,"PASS","S30B emits family contracts, copied same-family interface rows, validation, handoff, and intake only."
"S30B_INCOME_DISTRIBUTION_FAMILY_CLOSURE","no_productive_capacity_construction",0,"PASS","S30B emits family contracts, copied same-family interface rows, validation, handoff, and intake only."
"S30B_INCOME_DISTRIBUTION_FAMILY_CLOSURE","no_utilization_construction",0,"PASS","S30B emits family contracts, copied same-family interface rows, validation, handoff, and intake only."
"S30B_INCOME_DISTRIBUTION_FAMILY_CLOSURE","no_modeling",0,"PASS","S30B emits family contracts, copied same-family interface rows, validation, handoff, and intake only."
"S30B_INCOME_DISTRIBUTION_FAMILY_CLOSURE","no_econometrics",0,"PASS","S30B emits family contracts, copied same-family interface rows, validation, handoff, and intake only."
"S30B_INCOME_DISTRIBUTION_FAMILY_CLOSURE","no_shaikh_adjusted_construction",0,"PASS","S30B emits family contracts, copied same-family interface rows, validation, handoff, and intake only."
