"variable_id","display_name","construction_family","s24c_construction_status","constructed_observation_rows","expected_observation_rows","coverage_start","expected_coverage_start","coverage_end","expected_coverage_end","source_dataset","source_table","source_line","source_line_description","unit","frequency","provider_release_commit","provider_v1_commit","s21_intake_commit","s22_model_input_preparation_commit","s23_construction_plan_commit","s24a_income_distribution_construction_commit","s24b_fixed_assets_construction_commit","s22_authorization","s23_authorization_scope","s24c_decision_effect","can_enter_modeling","can_construct_adjusted_shaikh","blocked_or_parked_status","notes"
"DOWNSTREAM__GOV_TRANS_GPIM","GOV_TRANS_GPIM","provider_source_inputs_other","constructed_zero_observation_metadata_record",0,0,,,,,"","","","","","","","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_provider_source_inputs_other_only","","","","No transformation beyond S21 row filtering and lineage preservation."
"DOWNSTREAM__IPP_NFC_GPIM","IPP_NFC_GPIM","provider_source_inputs_other","constructed_zero_observation_metadata_record",0,0,,,,,"","","","","","","","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_provider_source_inputs_other_only","","","","No transformation beyond S21 row filtering and lineage preservation."
"DOWNSTREAM__K_G_NFC_KCAP_GPIM","K_G_NFC_KCAP_GPIM","provider_source_inputs_other","constructed_zero_observation_metadata_record",0,0,,,,,"","","","","","","","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_provider_source_inputs_other_only","","","","No transformation beyond S21 row filtering and lineage preservation."
"DOWNSTREAM__K_G_NFC_ME_GPIM","K_G_NFC_ME_GPIM","provider_source_inputs_other","constructed_zero_observation_metadata_record",0,0,,,,,"","","","","","","","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_provider_source_inputs_other_only","","","","No transformation beyond S21 row filtering and lineage preservation."
"DOWNSTREAM__K_G_NFC_NRC_GPIM","K_G_NFC_NRC_GPIM","provider_source_inputs_other","constructed_zero_observation_metadata_record",0,0,,,,,"","","","","","","","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_provider_source_inputs_other_only","","","","No transformation beyond S21 row filtering and lineage preservation."
"DOWNSTREAM__K_N_NFC_KCAP_GPIM","K_N_NFC_KCAP_GPIM","provider_source_inputs_other","constructed_zero_observation_metadata_record",0,0,,,,,"","","","","","","","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_provider_source_inputs_other_only","","","","No transformation beyond S21 row filtering and lineage preservation."
"DOWNSTREAM__K_N_NFC_ME_GPIM","K_N_NFC_ME_GPIM","provider_source_inputs_other","constructed_zero_observation_metadata_record",0,0,,,,,"","","","","","","","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_provider_source_inputs_other_only","","","","No transformation beyond S21 row filtering and lineage preservation."
"DOWNSTREAM__K_N_NFC_NRC_GPIM","K_N_NFC_NRC_GPIM","provider_source_inputs_other","constructed_zero_observation_metadata_record",0,0,,,,,"","","","","","","","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_provider_source_inputs_other_only","","","","No transformation beyond S21 row filtering and lineage preservation."
"DOWNSTREAM__P_K_NFC_ME_GPIM","P_K_NFC_ME_GPIM","provider_source_inputs_other","constructed_zero_observation_metadata_record",0,0,,,,,"","","","","","","","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_provider_source_inputs_other_only","","","","No transformation beyond S21 row filtering and lineage preservation."
"DOWNSTREAM__P_K_NFC_NRC_GPIM","P_K_NFC_NRC_GPIM","provider_source_inputs_other","constructed_zero_observation_metadata_record",0,0,,,,,"","","","","","","","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_provider_source_inputs_other_only","","","","No transformation beyond S21 row filtering and lineage preservation."
