"audit_item","status","evidence"
"s24a_panel_rows_preserved","PASS","2813 S24A panel rows"
"s24a_ledger_rows_preserved","PASS","29 S24A ledger rows"
"s24a_provenance_rows_preserved","PASS","29 S24A provenance rows"
"s24a_validation_preserved","PASS","S24A_validation_checks.csv PASS 30"
"s24b_panel_rows_preserved","PASS","5936 S24B panel rows"
"s24b_ledger_rows_preserved","PASS","56 S24B ledger rows"
"s24b_provenance_rows_preserved","PASS","56 S24B provenance rows"
"s24b_validation_preserved","PASS","S24B_validation_checks.csv PASS 35"
"s24b_decision_authorizes_s24c","PASS","AUTHORIZE_S24C_PROVIDER_SOURCE_INPUTS_OTHER_CONSTRUCTION"
"s24c_only_adds_provider_other_family","PASS","31 S24C provider-other objects; 0 S24A/S24B provider-other objects"
