"status","path","artifact_role","sha256"
"A","codes/US_D02_gpim_input_initialization_audit.R","D02 audit script","B39E8AB931AE02943A7B08011227DB69F68AD46DD4C3D52E3BB62AB27ED31B80"
"A","output/US/D02_GPIM_INPUT_INITIALIZATION_AUDIT/D02_input_path_summary.csv","D02 input-path summary","362F8E8A848DC6DD4AEF7D6215A4A68E3C18C2AAE05A80C98AAAC410C6AB2B3A"
"A","output/US/D02_GPIM_INPUT_INITIALIZATION_AUDIT/D02_input_path_annual.csv","D02 input-path annual panel","4178A0261B8E15ACEB5892603AD1CD755BC630AB385EDE156435C292C4A9ED09"
"A","output/US/D02_GPIM_INPUT_INITIALIZATION_AUDIT/D02_shaikh_diagnostic_input_comparison.csv","D02 Shaikh diagnostic input comparison","BD098DB041D51BC46A9C03179BBC11483DFD6DC6FE857A5953AD6E681A6B61A7"
"A","output/US/D02_GPIM_INPUT_INITIALIZATION_AUDIT/D02_initialization_sensitivity_summary.csv","D02 initialization sensitivity summary","A61E58E8C57C6F1EBB7AECFE45F22BF341ECE2C6BCC85D759DADCA182A903581"
"A","output/US/D02_GPIM_INPUT_INITIALIZATION_AUDIT/D02_initialization_sensitivity_annual.csv","D02 initialization sensitivity annual panel","7D996E4D4BF7DA0E41E44A0C9D099551B7BFD57879BD273E6E27303EEE25CF23"
"A","output/US/D02_GPIM_INPUT_INITIALIZATION_AUDIT/D02_scope_boundary_ledger.csv","D02 scope boundary ledger","677A375384D6932C251F45F362E52D1265C89A5E6C4403FE4CFDD54A707A3FA4"
"A","output/US/D02_GPIM_INPUT_INITIALIZATION_AUDIT/D02_gap_attribution_matrix.csv","D02 gap attribution matrix","2324B4A28B44F2473EFCC5E9FAD9E106CA118803C6CF5296A5D4C5F3731C46E6"
"A","output/US/D02_GPIM_INPUT_INITIALIZATION_AUDIT/D02_validation_checks.csv","D02 validation checks","805F2DD273F5AB51A8634CC68CFEB3C326333C9641796A9C457AA554600A40EE"
"A","output/US/D02_GPIM_INPUT_INITIALIZATION_AUDIT/D02_audit_report.md","D02 audit report","0C07E7EF1346B2C2CC139BDB66BCB82ACED8F30B7F3F0DE9CEC6FE8384AA0E3A"
"A","reports/maintenance/D02_GPIM_INPUT_INITIALIZATION_AUDIT_2026-06-27/D02_GPIM_INPUT_INITIALIZATION_AUDIT_REPORT.md","D02 repository maintenance report","0C07E7EF1346B2C2CC139BDB66BCB82ACED8F30B7F3F0DE9CEC6FE8384AA0E3A"
"A","reports/maintenance/D02_GPIM_INPUT_INITIALIZATION_AUDIT_2026-06-27/D02_changed_paths_ledger.csv","D02 changed-path ledger","self-hash omitted because file records its own path"
