"variable_id","consumer_registration_status","consumer_lane","value_bearing_consumer_input","active_by_default","explicit_future_authorization_required","permitted_use","prohibited_use","intake_status"
"Y_REAL_NFC_GVA_BASELINE","REGISTERED_BASELINE_AUTHORIZED","baseline_representation","yes","yes","no","authoritative_real_output_level","not_productive_capacity; not_capacity_utilization; not_CORP_or_FC_real_GVA; not_cross_family_join; not_complete_case_sample; not_model_input_panel_by_itself","CONSUMER_INTAKE_READY"
"y_real_nfc_gva_baseline","REGISTERED_BASELINE_AUTHORIZED","baseline_representation","yes","yes","no","authoritative_real_output_log_level","not_productive_capacity; not_capacity_utilization; not_CORP_or_FC_real_GVA; not_cross_family_join; not_complete_case_sample; not_model_input_panel_by_itself","CONSUMER_INTAKE_READY"
"Y_REAL_NFC_GVA_PROXY_GDP_IMPLICIT","REGISTERED_ROBUSTNESS_AUTHORIZED","robustness_representation","yes","no","yes","robustness_only_real_output_representation","not_authoritative_baseline; not_CORP_or_FC_real_GVA; not_productive_capacity; not_capacity_utilization; not_cross_family_join; not_complete_case_sample","CONSUMER_INTAKE_READY"
"Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT","REGISTERED_ROBUSTNESS_AUTHORIZED","robustness_representation","yes","no","yes","robustness_only_real_output_representation","not_authoritative_baseline; not_CORP_or_FC_real_GVA; not_productive_capacity; not_capacity_utilization; not_cross_family_join; not_complete_case_sample","CONSUMER_INTAKE_READY"
"Y_REAL_NFC_GVA_PROXY_BUSINESS_OUTPUT","REGISTERED_ROBUSTNESS_AUTHORIZED","robustness_representation","yes","no","yes","robustness_only_real_output_representation","not_authoritative_baseline; not_CORP_or_FC_real_GVA; not_productive_capacity; not_capacity_utilization; not_cross_family_join; not_complete_case_sample","CONSUMER_INTAKE_READY"
"Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT_BLS","REGISTERED_ROBUSTNESS_AUTHORIZED","robustness_representation","yes","no","yes","robustness_only_real_output_representation","not_authoritative_baseline; not_CORP_or_FC_real_GVA; not_productive_capacity; not_capacity_utilization; not_cross_family_join; not_complete_case_sample","CONSUMER_INTAKE_READY"
"Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_FINANCE_INSURANCE","REGISTERED_ROBUSTNESS_AUTHORIZED","robustness_representation","yes","no","yes","robustness_only_real_output_representation","not_authoritative_baseline; not_CORP_or_FC_real_GVA; not_productive_capacity; not_capacity_utilization; not_cross_family_join; not_complete_case_sample","CONSUMER_INTAKE_READY"
"Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_MANUFACTURING","REGISTERED_ROBUSTNESS_AUTHORIZED","robustness_representation","yes","no","yes","robustness_only_real_output_representation","not_authoritative_baseline; not_CORP_or_FC_real_GVA; not_productive_capacity; not_capacity_utilization; not_cross_family_join; not_complete_case_sample","CONSUMER_INTAKE_READY"
"y_real_nfc_gva_proxy_business_output","REGISTERED_ROBUSTNESS_AUTHORIZED","robustness_representation","yes","no","yes","robustness_only_real_output_representation","not_authoritative_baseline; not_CORP_or_FC_real_GVA; not_productive_capacity; not_capacity_utilization; not_cross_family_join; not_complete_case_sample","CONSUMER_INTAKE_READY"
"y_real_nfc_gva_proxy_gdp_implicit","REGISTERED_ROBUSTNESS_AUTHORIZED","robustness_representation","yes","no","yes","robustness_only_real_output_representation","not_authoritative_baseline; not_CORP_or_FC_real_GVA; not_productive_capacity; not_capacity_utilization; not_cross_family_join; not_complete_case_sample","CONSUMER_INTAKE_READY"
"y_real_nfc_gva_proxy_gdpbyind_va_finance_insurance","REGISTERED_ROBUSTNESS_AUTHORIZED","robustness_representation","yes","no","yes","robustness_only_real_output_representation","not_authoritative_baseline; not_CORP_or_FC_real_GVA; not_productive_capacity; not_capacity_utilization; not_cross_family_join; not_complete_case_sample","CONSUMER_INTAKE_READY"
"y_real_nfc_gva_proxy_gdpbyind_va_manufacturing","REGISTERED_ROBUSTNESS_AUTHORIZED","robustness_representation","yes","no","yes","robustness_only_real_output_representation","not_authoritative_baseline; not_CORP_or_FC_real_GVA; not_productive_capacity; not_capacity_utilization; not_cross_family_join; not_complete_case_sample","CONSUMER_INTAKE_READY"
"y_real_nfc_gva_proxy_nonfarm_business_output","REGISTERED_ROBUSTNESS_AUTHORIZED","robustness_representation","yes","no","yes","robustness_only_real_output_representation","not_authoritative_baseline; not_CORP_or_FC_real_GVA; not_productive_capacity; not_capacity_utilization; not_cross_family_join; not_complete_case_sample","CONSUMER_INTAKE_READY"
"y_real_nfc_gva_proxy_nonfarm_business_output_bls","REGISTERED_ROBUSTNESS_AUTHORIZED","robustness_representation","yes","no","yes","robustness_only_real_output_representation","not_authoritative_baseline; not_CORP_or_FC_real_GVA; not_productive_capacity; not_capacity_utilization; not_cross_family_join; not_complete_case_sample","CONSUMER_INTAKE_READY"
