"year","variable_id","value","unit","source_boundary","source_stage","source_file","copied_from_source_variable","price_object_used","allowed_use","prohibited_use","status"
1929,"Y_REAL_NFC_GVA_BASELINE",379518,"Millions of 2017-price-equivalent dollars","NFC","S12B_OUTPUT_PRICE_REAL_OUTPUT","output/US/S12B_OUTPUT_PRICE_REAL_OUTPUT/csv/S12B_real_output_objects_long.csv","Y_REAL_NFC_GVA_BASELINE","P_Y_NFC_GVA_IMPLICIT_SOURCE","authoritative_level_realized_NFC_GVA","not_productive_capacity; not_capacity_utilization; not_CORP_or_FC_real_GVA; not_cross_family_join; not_complete_case_sample","source_copy_complete"
1930,"Y_REAL_NFC_GVA_BASELINE",353276,"Millions of 2017-price-equivalent dollars","NFC","S12B_OUTPUT_PRICE_REAL_OUTPUT","output/US/S12B_OUTPUT_PRICE_REAL_OUTPUT/csv/S12B_real_output_objects_long.csv","Y_REAL_NFC_GVA_BASELINE","P_Y_NFC_GVA_IMPLICIT_SOURCE","authoritative_level_realized_NFC_GVA","not_productive_capacity; not_capacity_utilization; not_CORP_or_FC_real_GVA; not_cross_family_join; not_complete_case_sample","source_copy_complete"
1931,"Y_REAL_NFC_GVA_BASELINE",319385,"Millions of 2017-price-equivalent dollars","NFC","S12B_OUTPUT_PRICE_REAL_OUTPUT","output/US/S12B_OUTPUT_PRICE_REAL_OUTPUT/csv/S12B_real_output_objects_long.csv","Y_REAL_NFC_GVA_BASELINE","P_Y_NFC_GVA_IMPLICIT_SOURCE","authoritative_level_realized_NFC_GVA","not_productive_capacity; not_capacity_utilization; not_CORP_or_FC_real_GVA; not_cross_family_join; not_complete_case_sample","source_copy_complete"
1932,"Y_REAL_NFC_GVA_BASELINE",271204,"Millions of 2017-price-equivalent dollars","NFC","S12B_OUTPUT_PRICE_REAL_OUTPUT","output/US/S12B_OUTPUT_PRICE_REAL_OUTPUT/csv/S12B_real_output_objects_long.csv","Y_REAL_NFC_GVA_BASELINE","P_Y_NFC_GVA_IMPLICIT_SOURCE","authoritative_level_realized_NFC_GVA","not_productive_capacity; not_capacity_utilization; not_CORP_or_FC_real_GVA; not_cross_family_join; not_complete_case_sample","source_copy_complete"
1933,"Y_REAL_NFC_GVA_BASELINE",264338,"Millions of 2017-price-equivalent dollars","NFC","S12B_OUTPUT_PRICE_REAL_OUTPUT","output/US/S12B_OUTPUT_PRICE_REAL_OUTPUT/csv/S12B_real_output_objects_long.csv","Y_REAL_NFC_GVA_BASELINE","P_Y_NFC_GVA_IMPLICIT_SOURCE","authoritative_level_realized_NFC_GVA","not_productive_capacity; not_capacity_utilization; not_CORP_or_FC_real_GVA; not_cross_family_join; not_complete_case_sample","source_copy_complete"
1934,"Y_REAL_NFC_GVA_BASELINE",301216,"Millions of 2017-price-equivalent dollars","NFC","S12B_OUTPUT_PRICE_REAL_OUTPUT","output/US/S12B_OUTPUT_PRICE_REAL_OUTPUT/csv/S12B_real_output_objects_long.csv","Y_REAL_NFC_GVA_BASELINE","P_Y_NFC_GVA_IMPLICIT_SOURCE","authoritative_level_realized_NFC_GVA","not_productive_capacity; not_capacity_utilization; not_CORP_or_FC_real_GVA; not_cross_family_join; not_complete_case_sample","source_copy_complete"
1935,"Y_REAL_NFC_GVA_BASELINE",327713,"Millions of 2017-price-equivalent dollars","NFC","S12B_OUTPUT_PRICE_REAL_OUTPUT","output/US/S12B_OUTPUT_PRICE_REAL_OUTPUT/csv/S12B_real_output_objects_long.csv","Y_REAL_NFC_GVA_BASELINE","P_Y_NFC_GVA_IMPLICIT_SOURCE","authoritative_level_realized_NFC_GVA","not_productive_capacity; not_capacity_utilization; not_CORP_or_FC_real_GVA; not_cross_family_join; not_complete_case_sample","source_copy_complete"
1936,"Y_REAL_NFC_GVA_BASELINE",374488,"Millions of 2017-price-equivalent dollars","NFC","S12B_OUTPUT_PRICE_REAL_OUTPUT","output/US/S12B_OUTPUT_PRICE_REAL_OUTPUT/csv/S12B_real_output_objects_long.csv","Y_REAL_NFC_GVA_BASELINE","P_Y_NFC_GVA_IMPLICIT_SOURCE","authoritative_level_realized_NFC_GVA","not_productive_capacity; not_capacity_utilization; not_CORP_or_FC_real_GVA; not_cross_family_join; not_complete_case_sample","source_copy_complete"
1937,"Y_REAL_NFC_GVA_BASELINE",405694,"Millions of 2017-price-equivalent dollars","NFC","S12B_OUTPUT_PRICE_REAL_OUTPUT","output/US/S12B_OUTPUT_PRICE_REAL_OUTPUT/csv/S12B_real_output_objects_long.csv","Y_REAL_NFC_GVA_BASELINE","P_Y_NFC_GVA_IMPLICIT_SOURCE","authoritative_level_realized_NFC_GVA","not_productive_capacity; not_capacity_utilization; not_CORP_or_FC_real_GVA; not_cross_family_join; not_complete_case_sample","source_copy_complete"
1938,"Y_REAL_NFC_GVA_BASELINE",376207,"Millions of 2017-price-equivalent dollars","NFC","S12B_OUTPUT_PRICE_REAL_OUTPUT","output/US/S12B_OUTPUT_PRICE_REAL_OUTPUT/csv/S12B_real_output_objects_long.csv","Y_REAL_NFC_GVA_BASELINE","P_Y_NFC_GVA_IMPLICIT_SOURCE","authoritative_level_realized_NFC_GVA","not_productive_capacity; not_capacity_utilization; not_CORP_or_FC_real_GVA; not_cross_family_join; not_complete_case_sample","source_copy_complete"
