"variable_id","contract_status","consumer_lane","permitted_use","prohibited_use","validation_status"
"Y_REAL_NFC_GVA_BASELINE","BASELINE_AUTHORIZED","baseline_representation","authoritative_real_output_level","not_productive_capacity; not_capacity_utilization; not_CORP_or_FC_real_GVA; not_cross_family_join; not_complete_case_sample; not_model_input_panel_by_itself","PASS"
"y_real_nfc_gva_baseline","BASELINE_AUTHORIZED","baseline_representation","authoritative_real_output_log_level","not_productive_capacity; not_capacity_utilization; not_CORP_or_FC_real_GVA; not_cross_family_join; not_complete_case_sample; not_model_input_panel_by_itself","PASS"
"Y_REAL_NFC_GVA_PROXY_GDP_IMPLICIT","ROBUSTNESS_AUTHORIZED","robustness_representation","robustness_only_real_output_representation","not_authoritative_baseline; not_CORP_or_FC_real_GVA; not_productive_capacity; not_capacity_utilization; not_cross_family_join; not_complete_case_sample","PASS"
"Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT","ROBUSTNESS_AUTHORIZED","robustness_representation","robustness_only_real_output_representation","not_authoritative_baseline; not_CORP_or_FC_real_GVA; not_productive_capacity; not_capacity_utilization; not_cross_family_join; not_complete_case_sample","PASS"
"Y_REAL_NFC_GVA_PROXY_BUSINESS_OUTPUT","ROBUSTNESS_AUTHORIZED","robustness_representation","robustness_only_real_output_representation","not_authoritative_baseline; not_CORP_or_FC_real_GVA; not_productive_capacity; not_capacity_utilization; not_cross_family_join; not_complete_case_sample","PASS"
"Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT_BLS","ROBUSTNESS_AUTHORIZED","robustness_representation","robustness_only_real_output_representation","not_authoritative_baseline; not_CORP_or_FC_real_GVA; not_productive_capacity; not_capacity_utilization; not_cross_family_join; not_complete_case_sample","PASS"
"Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_FINANCE_INSURANCE","ROBUSTNESS_AUTHORIZED","robustness_representation","robustness_only_real_output_representation","not_authoritative_baseline; not_CORP_or_FC_real_GVA; not_productive_capacity; not_capacity_utilization; not_cross_family_join; not_complete_case_sample","PASS"
"Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_MANUFACTURING","ROBUSTNESS_AUTHORIZED","robustness_representation","robustness_only_real_output_representation","not_authoritative_baseline; not_CORP_or_FC_real_GVA; not_productive_capacity; not_capacity_utilization; not_cross_family_join; not_complete_case_sample","PASS"
"y_real_nfc_gva_proxy_business_output","ROBUSTNESS_AUTHORIZED","robustness_representation","robustness_only_real_output_representation","not_authoritative_baseline; not_CORP_or_FC_real_GVA; not_productive_capacity; not_capacity_utilization; not_cross_family_join; not_complete_case_sample","PASS"
"y_real_nfc_gva_proxy_gdp_implicit","ROBUSTNESS_AUTHORIZED","robustness_representation","robustness_only_real_output_representation","not_authoritative_baseline; not_CORP_or_FC_real_GVA; not_productive_capacity; not_capacity_utilization; not_cross_family_join; not_complete_case_sample","PASS"
