"variable_id","status","role","gross_component_policy","baseline_regressor","notes"
"CORP__current_transfer_payments","ACCOUNTING_BRIDGE; NOT_BASELINE_REGRESSOR","ACCOUNTING_BRIDGE","Preserve gross components where available; keep net series where only net exists and mark gross unavailable.","no","Tax, subsidy, transfer, interest, profit-tax, dividend, and retained-surplus variables are accounting bridge or comparison objects."
"CORP__current_transfer_receipts","ACCOUNTING_BRIDGE; NOT_BASELINE_REGRESSOR","ACCOUNTING_BRIDGE","Preserve gross components where available; keep net series where only net exists and mark gross unavailable.","no","Tax, subsidy, transfer, interest, profit-tax, dividend, and retained-surplus variables are accounting bridge or comparison objects."
"CORP__dividends_paid","ACCOUNTING_BRIDGE; NOT_BASELINE_REGRESSOR","ACCOUNTING_BRIDGE","Preserve gross components where available; keep net series where only net exists and mark gross unavailable.","no","Tax, subsidy, transfer, interest, profit-tax, dividend, and retained-surplus variables are accounting bridge or comparison objects."
"CORP__dividends_received","ACCOUNTING_BRIDGE; NOT_BASELINE_REGRESSOR","ACCOUNTING_BRIDGE","Preserve gross components where available; keep net series where only net exists and mark gross unavailable.","no","Tax, subsidy, transfer, interest, profit-tax, dividend, and retained-surplus variables are accounting bridge or comparison objects."
"CORP_IMPUTED_INTEREST_ADJ","ACCOUNTING_BRIDGE; NOT_BASELINE_REGRESSOR","ACCOUNTING_BRIDGE","Preserve gross components where available; keep net series where only net exists and mark gross unavailable.","no","Tax, subsidy, transfer, interest, profit-tax, dividend, and retained-surplus variables are accounting bridge or comparison objects."
"FIN__current_transfer_payments","ACCOUNTING_BRIDGE; NOT_BASELINE_REGRESSOR","ACCOUNTING_BRIDGE","Preserve gross components where available; keep net series where only net exists and mark gross unavailable.","no","Tax, subsidy, transfer, interest, profit-tax, dividend, and retained-surplus variables are accounting bridge or comparison objects."
"FIN__current_transfer_receipts","ACCOUNTING_BRIDGE; NOT_BASELINE_REGRESSOR","ACCOUNTING_BRIDGE","Preserve gross components where available; keep net series where only net exists and mark gross unavailable.","no","Tax, subsidy, transfer, interest, profit-tax, dividend, and retained-surplus variables are accounting bridge or comparison objects."
"FIN__dividends_paid","ACCOUNTING_BRIDGE; NOT_BASELINE_REGRESSOR","ACCOUNTING_BRIDGE","Preserve gross components where available; keep net series where only net exists and mark gross unavailable.","no","Tax, subsidy, transfer, interest, profit-tax, dividend, and retained-surplus variables are accounting bridge or comparison objects."
"FIN__dividends_received","ACCOUNTING_BRIDGE; NOT_BASELINE_REGRESSOR","ACCOUNTING_BRIDGE","Preserve gross components where available; keep net series where only net exists and mark gross unavailable.","no","Tax, subsidy, transfer, interest, profit-tax, dividend, and retained-surplus variables are accounting bridge or comparison objects."
"FIN_AFTER_TAX_IMPLIED","ACCOUNTING_BRIDGE; NOT_BASELINE_REGRESSOR","ACCOUNTING_BRIDGE","Preserve gross components where available; keep net series where only net exists and mark gross unavailable.","no","Tax, subsidy, transfer, interest, profit-tax, dividend, and retained-surplus variables are accounting bridge or comparison objects."
"FIN_DIVIDENDS","ACCOUNTING_BRIDGE; NOT_BASELINE_REGRESSOR","ACCOUNTING_BRIDGE","Preserve gross components where available; keep net series where only net exists and mark gross unavailable.","no","Tax, subsidy, transfer, interest, profit-tax, dividend, and retained-surplus variables are accounting bridge or comparison objects."
"FIN_DIVIDENDS_NET_IMPLIED","ACCOUNTING_BRIDGE; NOT_BASELINE_REGRESSOR","ACCOUNTING_BRIDGE","Preserve gross components where available; keep net series where only net exists and mark gross unavailable.","no","Tax, subsidy, transfer, interest, profit-tax, dividend, and retained-surplus variables are accounting bridge or comparison objects."
"FIN_NET_INT","ACCOUNTING_BRIDGE; NOT_BASELINE_REGRESSOR","ACCOUNTING_BRIDGE","Preserve gross components where available; keep net series where only net exists and mark gross unavailable.","no","Tax, subsidy, transfer, interest, profit-tax, dividend, and retained-surplus variables are accounting bridge or comparison objects."
"FIN_NET_INT_IMPLIED","ACCOUNTING_BRIDGE; NOT_BASELINE_REGRESSOR","ACCOUNTING_BRIDGE","Preserve gross components where available; keep net series where only net exists and mark gross unavailable.","no","Tax, subsidy, transfer, interest, profit-tax, dividend, and retained-surplus variables are accounting bridge or comparison objects."
"FIN_PAT_IMPLIED","ACCOUNTING_BRIDGE; NOT_BASELINE_REGRESSOR","ACCOUNTING_BRIDGE","Preserve gross components where available; keep net series where only net exists and mark gross unavailable.","no","Tax, subsidy, transfer, interest, profit-tax, dividend, and retained-surplus variables are accounting bridge or comparison objects."
"FIN_PBT","ACCOUNTING_BRIDGE; NOT_BASELINE_REGRESSOR","ACCOUNTING_BRIDGE","Preserve gross components where available; keep net series where only net exists and mark gross unavailable.","no","Tax, subsidy, transfer, interest, profit-tax, dividend, and retained-surplus variables are accounting bridge or comparison objects."
"FIN_PBT_IMPLIED","ACCOUNTING_BRIDGE; NOT_BASELINE_REGRESSOR","ACCOUNTING_BRIDGE","Preserve gross components where available; keep net series where only net exists and mark gross unavailable.","no","Tax, subsidy, transfer, interest, profit-tax, dividend, and retained-surplus variables are accounting bridge or comparison objects."
"FIN_TAX_IMPLIED","ACCOUNTING_BRIDGE; NOT_BASELINE_REGRESSOR","ACCOUNTING_BRIDGE","Preserve gross components where available; keep net series where only net exists and mark gross unavailable.","no","Tax, subsidy, transfer, interest, profit-tax, dividend, and retained-surplus variables are accounting bridge or comparison objects."
"FIN_TRANSFERS","ACCOUNTING_BRIDGE; NOT_BASELINE_REGRESSOR","ACCOUNTING_BRIDGE","Preserve gross components where available; keep net series where only net exists and mark gross unavailable.","no","Tax, subsidy, transfer, interest, profit-tax, dividend, and retained-surplus variables are accounting bridge or comparison objects."
"FIN_TRANSFERS_NET_IMPLIED","ACCOUNTING_BRIDGE; NOT_BASELINE_REGRESSOR","ACCOUNTING_BRIDGE","Preserve gross components where available; keep net series where only net exists and mark gross unavailable.","no","Tax, subsidy, transfer, interest, profit-tax, dividend, and retained-surplus variables are accounting bridge or comparison objects."
"FIN_UNDISTRIBUTED_IMPLIED","ACCOUNTING_BRIDGE; NOT_BASELINE_REGRESSOR","ACCOUNTING_BRIDGE","Preserve gross components where available; keep net series where only net exists and mark gross unavailable.","no","Tax, subsidy, transfer, interest, profit-tax, dividend, and retained-surplus variables are accounting bridge or comparison objects."
"NFC__current_transfer_payments","ACCOUNTING_BRIDGE; NOT_BASELINE_REGRESSOR","ACCOUNTING_BRIDGE","Preserve gross components where available; keep net series where only net exists and mark gross unavailable.","no","Tax, subsidy, transfer, interest, profit-tax, dividend, and retained-surplus variables are accounting bridge or comparison objects."
"NFC__current_transfer_receipts","ACCOUNTING_BRIDGE; NOT_BASELINE_REGRESSOR","ACCOUNTING_BRIDGE","Preserve gross components where available; keep net series where only net exists and mark gross unavailable.","no","Tax, subsidy, transfer, interest, profit-tax, dividend, and retained-surplus variables are accounting bridge or comparison objects."
"NFC__dividends_paid","ACCOUNTING_BRIDGE; NOT_BASELINE_REGRESSOR","ACCOUNTING_BRIDGE","Preserve gross components where available; keep net series where only net exists and mark gross unavailable.","no","Tax, subsidy, transfer, interest, profit-tax, dividend, and retained-surplus variables are accounting bridge or comparison objects."
"NFC__dividends_received","ACCOUNTING_BRIDGE; NOT_BASELINE_REGRESSOR","ACCOUNTING_BRIDGE","Preserve gross components where available; keep net series where only net exists and mark gross unavailable.","no","Tax, subsidy, transfer, interest, profit-tax, dividend, and retained-surplus variables are accounting bridge or comparison objects."
"NFC_NET_INTEREST_MISC_PAYMENTS_PROXY","ACCOUNTING_BRIDGE; NOT_BASELINE_REGRESSOR","ACCOUNTING_BRIDGE","Preserve gross components where available; keep net series where only net exists and mark gross unavailable.","no","Tax, subsidy, transfer, interest, profit-tax, dividend, and retained-surplus variables are accounting bridge or comparison objects."
"NFC_SURPLUS_AFTER_NET_INTEREST_PROXY","ACCOUNTING_BRIDGE; NOT_BASELINE_REGRESSOR","ACCOUNTING_BRIDGE","Preserve gross components where available; keep net series where only net exists and mark gross unavailable.","no","Tax, subsidy, transfer, interest, profit-tax, dividend, and retained-surplus variables are accounting bridge or comparison objects."
"NFC_SURPLUS_AFTER_NET_INTEREST_SHARE_GVA","ACCOUNTING_BRIDGE; NOT_BASELINE_REGRESSOR","ACCOUNTING_BRIDGE","Preserve gross components where available; keep net series where only net exists and mark gross unavailable.","no","Tax, subsidy, transfer, interest, profit-tax, dividend, and retained-surplus variables are accounting bridge or comparison objects."
"NFC_SURPLUS_AFTER_NET_INTEREST_SHARE_NVA","ACCOUNTING_BRIDGE; NOT_BASELINE_REGRESSOR","ACCOUNTING_BRIDGE","Preserve gross components where available; keep net series where only net exists and mark gross unavailable.","no","Tax, subsidy, transfer, interest, profit-tax, dividend, and retained-surplus variables are accounting bridge or comparison objects."
"QWEN_HOUSING_PROXY_PATHS","ACCOUNTING_BRIDGE; NOT_BASELINE_REGRESSOR","ACCOUNTING_BRIDGE","Preserve gross components where available; keep net series where only net exists and mark gross unavailable.","no","Tax, subsidy, transfer, interest, profit-tax, dividend, and retained-surplus variables are accounting bridge or comparison objects."
