"ladder_step","object","status","baseline_regressor","notes"
1,"NFC productive-origin baseline","BASELINE_AUTHORIZED","yes","Only NFC productive-origin output, distribution, and K_capacity are baseline econometric objects."
2,"raw corporate comparison layer","AUTHORIZED_COMPARISON_RAW","no","Raw corporate variables are comparison objects and not cleaned."
3,"corporate clean candidate layer","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK","no","Corporate-clean variables remain candidates requiring crosswalk validation."
4,"GOS/NOS/profit ladder","ACCOUNTING_LADDER","no","GOS/NOS/profit ladder is preserved for accounting interpretation."
5,"tax/subsidy/transfer bridge","ACCOUNTING_BRIDGE","no","Taxes, subsidies, and transfers are bridge variables, not baseline regressors."
6,"interest bridge","ACCOUNTING_BRIDGE","no","Interest variables are bridge or candidate adjustment variables, not baseline regressors."
7,"profit-tax bridge","ACCOUNTING_BRIDGE","no","Profit taxes are accounting bridge variables, not baseline regressors."
8,"dividend bridge","ACCOUNTING_BRIDGE","no","Dividends are accounting bridge variables, not baseline regressors."
9,"retained-surplus bridge","ACCOUNTING_BRIDGE","no","Retained surplus is an accounting bridge variable, not a baseline regressor."
10,"exploitation-rate construction ingredients","ALTERNATIVE_DISTRIBUTIVE_CONSTRUCTION_CONTRACT","no","Exploitation-rate ingredients remain construction-contract objects and not model-ready."
