year,y,k_NR,k_ME,m,nrs,omega,omega_kME,phi,p_Y,p_M,tot,pcu,rer,ner,D1973,D1975,D7375,D1982,Y_real,M_real,K_NR_gross,K_ME_gross,GOS,I_total,NRS,pi,in_sample,current_account_gdp,q_bop_lag1,k_CL,c_t,s_t,omega_mean_est,omega_t_centered,omega_c,g_k_ME,g_k_NR,g_K_consistent,w_g,mu_threshold,regime_threshold,theta_NRC_threshold,theta_ME_threshold,theta_overall_threshold
1930,15.244406279298486,16.8089601329723,16.481970181468522,13.9345933410563,13.112486999725906,0.6686490552422352,11.020653790369618,0.7210909888702796,NA,NA,5.146905982757124,0.2063542940528816,3.911616985167083,-11.704085970431388,0,0,0,0,4174087.290435733,1126463.166532588,19954398.09658154,14388936.655775208,1383087.7671872585,888001.6504004517,495086.1167868067,0.3313509447577648,FALSE,-0.088735572245574,-0.05712751147951719,17.351918518571885,-0.3269899515037764,0.4189731940573361,0.5646080114850325,0.10404104375720269,-0.034020375852569985,0.01622284364792037,0.07786085351190053,0.05203617964385118,0.13061943952038607,0.08274618999062866,1,0.8341395278613959,0.23916382868954572,0.7564241355073189
1931,15.09457695831914,16.872399417030312,16.484433771592037,13.277006494083476,13.61740142417275,0.5811436847010782,9.57982458223389,0.6784356502231751,NA,NA,4.841129247690505,-0.08340503500054555,3.863373279425145,-11.569495816458623,0,0,0,0,3593283.4709406565,583620.6589026458,21261307.235784546,14424428.799104186,1505069.4744627234,684789.1465122167,820280.3279505067,0.4188563152989217,FALSE,-0.06173626495094966,-0.088735572245574,17.39026161606471,-0.3879656454382747,0.40420712592285885,0.5646080114850325,0.016535673216045765,-0.006415273132019587,0.002463590123515047,0.06343928405801336,0.0387924740615979,0.025669945198564626,0.0712925071665261,1,0.9517463191631793,0.1215570373877623,0.9304354057955687
1932,14.893269841048154,16.907875070465867,16.441640747589997,12.26154799263453,13.961459405317974,0.4609216486983835,7.578308160685704,0.6273602619619035,NA,NA,4.68400223231674,-0.3360482758723618,4.807986345897368,-10.229217692625438,0,0,0,0,2938088.7446062607,211408.5915162956,22029104.53587182,13820184.792410702,1583860.0364201793,426723.0405027595,1157136.99591742,0.5390783513016165,FALSE,-0.02887448124875821,-0.06173626495094966,17.394834301334544,-0.4662343228758701,0.3855079152575442,0.5646080114850325,-0.103686362786649,0.04834214114529511,-0.04279302400204088,0.03547565343555448,0.005302458766621901,-3.111207497630915,0.060276644347366466,1,1.1133241493078372,-0.04002079275689571,4.701619580414327
1933,14.944816815770924,16.94470675772555,16.39299043912171,12.25524835032554,13.80318717324194,0.5189968270302697,8.507910023441715,0.575960429976316,NA,NA,4.563174207854068,-0.12329821634449371,4.733709754742779,-10.319002996497794,0,0,0,0,3093509.657358266,210080.9791408176,22855600.81962453,13163921.675437983,1487987.9608018291,500235.7235768539,987752.2372249753,0.4810031729697303,FALSE,0.00650180339077056,-0.02887448124875821,17.399571640962982,-0.551716318603841,0.36546630170465166,0.5646080114850325,-0.045611184454762754,0.025164434774542447,-0.048650308468285886,0.036831687259685,0.005590898418650646,-3.180177313431877,0.018092283574142314,2,0.9166956651814648,0.2283633055443906,3.1057146194003193
1934,15.078365757402766,16.960224948460844,16.352620460724694,12.650782383549917,13.92134701780542,0.5367886606293845,8.777901234893076,0.5446540329943358,NA,NA,4.649658496242963,-0.07874847150837147,4.595325964447826,-10.607089190999933,0,0,0,0,3535501.6524094115,312007.46211782325,23213044.66025929,12643078.392287854,1637684.4557595877,526044.391912118,1111640.0638474696,0.4632113393706155,FALSE,0.02932942401619125,0.00650180339077056,17.39502490687068,-0.6076044877361504,0.35260584011716545,0.5646080114850325,-0.027819350855648017,0.01690316242579825,-0.04036997839701684,0.015518190735292592,-0.004188304094215608,3.398676368282623,0.02074753370446729,2,0.9194250971371376,0.2256338735887178,-1.4385467388587632
1935,15.163060406283504,16.98518489252687,16.32613390636206,12.950014050354154,13.880483366005082,0.5718574788836842,9.336221775609642,0.5173420663777132,NA,NA,4.617530219256146,-0.11848183135651244,4.658883091065908,-10.593838645794072,0,0,0,0,3847985.8221308007,420842.5492173743,23799732.34397201,12312602.710066974,1647486.35110692,580356.3444728424,1067130.0066340775,0.4281425211163158,FALSE,-0.01274214013869876,0.02932942401619125,17.402145056187567,-0.6590509861648108,0.34095282655198594,0.5646080114850325,0.007249467398651732,-0.00477776863825107,-0.02648655436263425,0.024959944066026196,0.007419115010572113,-1.2172160106285503,0.02256563936341491,2,0.9248049784550323,0.22025399227082318,1.7823957191425859
1936,15.214121297302963,17.0164660750298,16.305037635859208,13.066794990893946,14.08686811735154,0.5285386217121376,8.617842119021557,0.4909424149774394,NA,NA,4.698848740433734,-0.03694199404159524,4.629184154543291,-10.57596973265249,0,0,0,0,4049570.14860498,472973.6657107101,24555982.65119893,12055573.424923709,1909215.9237346875,597471.9108069873,1311744.0129277003,0.4714613782878624,FALSE,-0.00896779511459441,-0.01274214013869876,17.41587448832105,-0.711428439170593,0.3292832842138097,0.5646080114850325,-0.036069389772894866,0.025660789667966342,-0.02109627050285212,0.031281182502929994,0.014034162758431579,-0.4949813790401277,0.02272456176636998,2,0.9181594648047062,0.22689950592114913,1.2603202725281113
1937,15.306588664102334,17.045816607487442,16.283458892728817,13.181862572653378,14.208813845620307,0.5328311331485793,8.676333853391005,0.46656510178837,NA,NA,4.853664078683206,0.21669527360962523,4.619617975867784,-10.553192175253235,0,0,0,0,4441881.758491351,530652.4534465295,25287394.981971607,11798216.0137263,2075108.8678024,593241.1144223878,1481867.7533800122,0.4671688668514206,FALSE,0.07879730007588258,-0.00896779511459441,17.428739608565085,-0.7623577147586253,0.3181345998342851,0.5646080114850325,-0.03177687833645315,0.024225348350741294,-0.021578743130390876,0.02935053245764152,0.013148167748592812,-0.5221217847215597,0.024429367767511197,2,0.9188179757906284,0.22624099493522704,1.2804275050919198
1938,15.330013245552612,17.084851618088745,16.26864359316751,13.310486091217548,14.089903862847082,0.5531664074120999,8.999267129900348,0.4421049308699078,NA,NA,4.586412640946654,0.04094892373377439,4.5268988353385,-10.521972628787651,0,0,0,0,4547159.205740728,603490.8097896136,26294007.463554543,11624710.351967622,2031823.483970272,716091.299590093,1315732.1843801793,0.4468335925879001,FALSE,-0.03054593106047391,0.07879730007588258,17.450955421897625,-0.8162080249212345,0.30656918328628213,0.5646080114850325,-0.011441604072932599,0.009338729062299067,-0.014815299561306006,0.0390350106013031,0.022526164995039046,-0.20162838581940004,0.024425939625073133,2,0.9219375950863589,0.2231213756394966,1.0628387813978453
1939,15.35284334092288,17.109188485217132,16.25168223111278,13.158018338675046,14.087745029608788,0.5785353553129456,9.402172754009918,0.4242186578916733,NA,NA,4.698608929665082,0.15176539214807572,4.4781047289461915,-10.503217252408126,0,0,0,0,4652165.373641137,518149.1108878412,26941771.53217508,11429202.160603402,1960723.226227079,647828.4243993681,1312894.801827711,0.4214646446870543,FALSE,-0.02181560416096763,-0.03054593106047391,17.46281183830925,-0.8575062541043508,0.29786062381717504,0.5646080114850325,0.013927343827913163,-0.011942784435497166,-0.016961362054729534,0.024336867128386785,0.012035750821359097,-0.4197595943449589,0.02479958674904594,2,0.9258294265098391,0.21922954421601631,1.22243150646569
1940,15.403585026344988,17.131855963208245,16.236604532361245,13.27424765875986,14.023017638929147,0.6074707800874707,9.863262821245248,0.4085048750007193,4.12723683574689e-7,4.852035545905777e-7,4.599524559962,0.1621698685831014,4.4371539788053065,-10.48864168559288,0,0,0,0,4894315.689626395,582012.7645909144,27559447.678289536,11258168.72890853,1921161.9196547016,690555.4889645526,1230606.4306901488,0.3925292199125293,TRUE,-3.5382649923284e-4,-0.02181560416096763,17.474384732665918,-0.8952514308470008,0.29002730643762237,0.5646080114850325,0.042862768602438206,-0.0383729549213967,-0.015077698751536417,0.02266747799111357,0.011720346049430806,-0.3731071026182183,0.02595258481886382,2,0.9302683884971232,0.21479058222873218,1.1972182397815614
1941,15.40519050826264,17.15308073089666,16.220565022028868,13.267568002647714,13.998122347600043,0.6162600974278495,9.996086980810276,0.3935623755812888,4.309575664330651e-7,6.023355506771599e-7,4.565166393019885,0.09707140808699095,4.420675631592521,-10.388807885893756,0,0,0,0,4902179.736068375,578138.0746753257,28150642.34378788,11079033.674960377,1881161.9743100489,680813.6443539177,1200348.329956131,0.3837399025721505,TRUE,0.00198810056978725,-3.5382649923284e-4,17.484944059644068,-0.9325157088677933,0.2824146105531333,0.5646080114850325,0.051652085942817005,-0.048166381537466184,-0.016039510332376494,0.02122476768841608,0.01070079112363026,-0.42331375424925843,0.02566911074571505,2,0.9316167511312349,0.2134422195946205,1.2356299082822015
1942,15.43758890881989,17.162406546480355,16.19393165258882,13.196246049042715,14.315165535226654,0.5675648436860874,9.191106287064756,0.3796616210484708,5.662248515998676e-7,7.431828596097205e-7,4.414614591594599,-0.02629771987063873,4.3183442726263195,-10.37971853153762,0,0,0,0,5063603.332230072,538340.2364646503,28414397.999566324,10787856.405631777,2189680.09848456,541527.5759896482,1648152.5224949117,0.4324351563139126,TRUE,-0.00182174580393487,0.00198810056978725,17.48424481344372,-0.9684748938915355,0.2751845925524464,0.5646080114850325,0.0029568322010549153,-0.0028636177521717343,-0.026633369440048682,0.0093258155836934975,-5.695980955830278e-4,12.8671303055476,0.025903824159236827,2,0.9241464484830034,0.22091252224285202,-8.124456115730872
1943,15.46580754720138,17.16817019932847,16.169988688518572,13.068629363804371,14.211518419849272,0.6030991976573497,9.75210720417397,0.36854903459815425,7.014720372603225e-7,8.83441284016628e-7,4.301351801974747,-0.07036615300772657,4.364355600632066,-10.3005679111099,0,0,0,0,5208526.473803688,473842.0720374444,28578641.59237308,10532630.768995756,2067268.3364756189,581387.3371446126,1485880.9993310063,0.3969008023426503,TRUE,-0.00228756203352138,-0.00182174580393487,17.48192127909356,-0.9981815108098964,0.2692991082386546,0.5646080114850325,0.03849118617231717,-0.03842119036634854,-0.02394296407024754,0.00576365284811331,-0.0022363125967885976,2.8832368435285143,0.027037326079855598,2,0.929597747288888,0.2154612234369674,-1.1294269895903493
1944,15.484557595714834,17.179459854181655,16.140084338748856,13.095780503846054,14.103714000229692,0.6254367210587357,10.094601426438537,0.35367547788751724,7.290678576445457e-7,1.0223443844129144e-6,4.253076968916952,-0.07737061778853828,4.345624696829382,-10.17508632411974,0,0,0,0,5307107.913129927,486883.6704635191,28903112.72938016,10222322.207000311,1987847.741637076,653819.06730307406,1334028.6743340015,0.3745632789412643,TRUE,-0.00296162208046681,-0.00228756203352138,17.482283323347605,-1.0393755154327984,0.26127050660579837,0.5646080114850325,0.06082870957370323,-0.0632238713662798,-0.029904349769715566,0.011289654853186448,5.268763962392401e-4,-14.82914146433474,0.02768754128592514,2,0.9330245301352252,0.2120344405906302,11.624688562375395
1945,15.567324070535784,17.20219235643141,16.12072301022605,13.159869428524964,14.279104469579533,0.6044555633395453,9.74426070858696,0.3390969086581734,8.290812509467699e-7,1.0337821219057823e-6,4.232053633584188,-0.09489874182279567,4.26899301170532,-10.1998202674687,0,0,0,0,5765048.188974463,519109.13972343673,29567677.799491987,10026308.138008635,2280332.7382282787,690555.4889645526,1589777.2492637262,0.3955444366604547,TRUE,3.5071862414387e-4,-0.00296162208046681,17.494187794426118,-1.0814693462053597,0.25322805725685765,0.5646080114850325,0.03984755185451283,-0.04309390585198416,-0.019361328522805366,0.02273250224975598,0.012073163260721338,-0.40609337435969184,0.029319843238569555,2,0.9298058263390848,0.21525314438677062,1.2199809361108678
1946,15.649521142658346,17.221746418301567,16.131826352509357,13.201352567217914,14.359442727211604,0.5719435501825137,9.226494034982034,0.3362433699799561,9.738731882834543e-7,1.2067933763171829e-6,4.240186242777942,-0.07085466302188607,4.171604758643212,-10.170791999636108,0,0,0,0,6258938.391410903,541096.3116515432,30151535.79461172,10138254.005651517,2679178.947453719,956411.1720410414,1722767.7754126778,0.4280564498174862,TRUE,-0.01195757686165633,3.5071862414387e-4,17.511608639984978,-1.0899200657922101,0.2516333308243092,0.5646080114850325,0.00733553869748127,-0.007995150819780089,0.011103342283306006,0.019554061870156403,0.017427579152655005,0.1603189391686127,0.030782523377593525,2,0.9248181825889503,0.22024078813690506,0.8118610821482132
1947,15.535723871028182,17.25390866935282,16.182697771039777,13.27569483045715,13.494848622533477,0.6818860563830722,11.034755964733446,0.3425934203544924,1.2425054014417376e-6,1.6649612005061829e-6,4.301351801974747,0.13867120365838168,4.166990946219625,-10.216856731923894,0,0,0,0,5585719.844217188,582855.646741784,31137040.12743876,10667345.076974325,1776895.367583261,1051226.8352361529,725668.5323471082,0.3181139436169278,TRUE,-0.01251819899254195,-0.01195757686165633,17.548511801188884,-1.0712108983130442,0.25517287300874425,0.5646080114850325,0.11727804489803972,-0.12562951982762666,0.05087141853041999,0.03216225105125403,0.036936323068514576,0.3514428330172059,0.02755778705253873,2,0.9416843806701582,0.20337459005569716,0.6822106962122719
1948,15.689274583530272,17.276063671404287,16.22382051587987,13.270968261389545,14.349619817339825,0.5947289826246759,9.648776269694578,0.34915366405717035,1.4112576125052055e-6,1.762662541211703e-6,4.36613277674425,0.10764147640584182,4.184384013493929,-10.138627777034522,0,0,0,0,6512764.533265854,580107.239655693,31834579.779851004,11115160.173855286,2639434.7083225804,933506.682422144,1705928.0259004366,0.4052710173753241,TRUE,-0.01125916323458935,-0.01251819899254195,17.575541151747718,-1.052243155524419,0.2587945860868041,0.5646080114850325,0.030120971139643404,-0.031694585719438326,0.041122744840091485,0.022155002051466255,0.027063751195449483,0.39323239608536403,0.030126604282086085,2,0.9283136788279976,0.21674529189785777,0.6485019370568612
1949,15.667443486609544,17.308681083601435,16.28336274489037,13.34508778196544,14.248701086299148,0.5904415851407467,9.61437451051485,0.35868226477982357,1.6870213544282428e-6,2.0120915984761773e-6,4.357099446711678,0.02351760607768119,3.9928123681313425,-10.108791185722009,0,0,0,0,6372124.488415103,624738.0881728947,32890061.354253728,11797081.695291078,2609757.2047611196,1067587.1849639367,1542170.0197971829,0.4095584148592532,TRUE,-0.05045352472352881,-0.01125916323458935,17.615196390684105,-1.0253183387110667,0.2639927480307167,0.5646080114850325,0.02583357365571426,-0.026487636823646923,0.05954222901049988,0.032617412197147644,0.03972536857792815,0.3956846021332982,0.028180875180807557,2,0.9276559523697259,0.21740301835612957,0.6466198027605483
1950,15.715544986005517,17.329637143450373,16.331239716542903,13.299365805730249,14.472565405172384,0.5640614965956121,9.21182351577489,0.36846946751905457,1.9732531312036785e-6,2.392853808446025e-6,4.468157983484143,0.08634405593485885,4.154971907400044,-9.800967065945729,0,0,0,0,6686124.62849127,596816.9958279894,33586580.102847904,12375629.28628244,2914739.164119703,985636.7058729464,1929102.4582467568,0.4359385034043879,TRUE,-0.05261546010730444,-0.05045352472352881,17.64333008178963,-0.99839742690747,0.2692566230118866,0.5646080114850325,-5.465148894203686e-4,5.456390593639166e-4,0.047876971652534905,0.020956059848938224,0.028204693649575504,0.457058384230718,0.08716491180918531,1,0.9747046966784481,0.0985986598724935,0.5742730870811406
1951,15.758133041729227,17.359210383237183,16.39678068249986,13.490151951742558,14.594921349195086,0.5267448831360416,8.636920324410694,0.3819637001266297,2.484734687890704e-6,3.5836103246208257e-6,4.548671755747903,0.10639736496101626,4.163969009697836,-9.670567942979082,0,0,0,0,6977024.132144125,722268.2972900824,34594676.964542456,13213910.81806212,3301912.3710205257,1121725.0695176946,2180187.3015028313,0.4732551168639584,TRUE,-0.05968723496899396,-0.05261546010730444,17.682715842048573,-0.9624297007373244,0.27639199212803484,0.5646080114850325,-0.03786312834899086,0.03644059928589818,0.06554096595695569,0.029573239786810035,0.03951443127529224,0.4584400575231288,0.08731028733511341,1,1.0248580431997896,0.048445313351152035,0.577231335161665
1952,15.8205799004799,17.39061327795992,16.461943982146895,13.5152820920098,14.232952421267193,0.6375593229564251,10.495465859804172,0.3950790941336379,2.972789325835826e-6,3.643478636491588e-6,4.643193346619379,0.1338876425045927,4.194633056106022,-9.55283068092296,0,0,0,0,7426608.858644058,740648.9882724957,35698287.555271044,14103647.109458605,2691705.142864763,1173631.997290391,1518073.1455743718,0.3624406770435748,TRUE,-0.03629940908233994,-0.05968723496899396,17.723564389929642,-0.9286692958130232,0.2831947635047797,0.5646080114850325,0.07295131147139267,-0.06774764305277474,0.06516329964703615,0.03140289472273494,0.04096366461109802,0.450494490859929,0.09076537454557897,1,0.8759239764495641,0.19737938010137754,0.5702433739919317
1953,15.893263284327064,17.41953656606287,16.510922264158364,13.508124861104909,15.021002287464484,0.4335714681918065,7.1586648072719274,0.4030823877181324,3.720981687106757e-6,3.818574045947572e-6,4.738782393475645,0.3186951914092264,4.023907290866454,-9.27221577569427,0,0,0,0,7986500.879432823,735366.9174923102,36745876.236044526,14811615.532019809,4523781.96742198,1185381.7030039812,3338400.2644179985,0.5664285318081934,TRUE,-0.06116982932235927,-0.03629940908233994,17.758208087995182,-0.9086143019045068,0.2872834776108021,0.5646080114850325,-0.131036543293226,0.11906167730835422,0.048978282011468366,0.02892328810295197,0.034684756496454014,0.40567247992920846,0.028370291728545473,2,0.9035906244368099,0.24146834628904543,0.6349858378442292
1954,15.860338646771549,17.442418302454914,16.54533012978699,13.491193289510791,15.007409629549752,0.4252265162640857,7.035513091528535,0.40775524566127863,6.295629789620509e-6,5.117131729476555e-6,4.634273577403484,0.3460198318890218,3.8803733383403447,-8.89552963213615,0,0,0,0,7727829.923252009,723020.8142910338,37596379.07232537,15330120.784610586,4441751.726706199,1148422.1856643965,3293329.5410418026,0.5747734837359142,TRUE,-0.07140742337636402,-0.06116982932235927,17.784414713873893,-0.8970881726679245,0.2896492461441621,0.5646080114850325,-0.13938149522094678,0.1250374908514822,0.03440786562862641,0.02288173639204416,0.026220271036380395,0.380095702555219,0.08760067235261279,1,1.1612982332380974,-0.08799487668715589,0.6864472909236639
1955,15.897281785343344,17.467854448776727,16.597193711950386,13.648087999227846,15.019422422805034,0.4184994409605206,6.945916289964704,0.41867482396195865,1.0703748106413e-5,1.0242824064333716e-5,4.798474500574413,0.56802001481853,3.8656596169585775,-8.310179022031912,0,0,0,0,8018659.212204488,845842.1178349766,38564952.23444221,16146174.587856436,4662854.81464398,1329724.6067386563,3333130.2079053237,0.5815005590394793,TRUE,-0.05144834944648199,-0.07140742337636402,17.817577662104615,-0.8706607368263413,0.29511683501418495,0.5646080114850325,-0.14610857052451187,0.12721099566951496,0.051863582163395705,0.02543614632181246,0.03323532754492094,0.46052852043874404,0.08863888190739556,1,1.170339389642614,-0.09703603309167227,0.5866768613703653
1956,15.913928502478369,17.497630561249714,16.660367707365655,13.620965547675503,14.81401606740087,0.5117340439004434,8.525677339758586,0.43289379686889007,1.5852795042458104e-5,1.728329734224864e-5,4.876655265425577,0.6500609983932236,4.161270785976361,-7.67778350387804,0,0,0,0,8153260.792823005,823209.1245422151,39730533.714908265,17199101.591474086,3980959.676336753,1266737.2602866883,2714222.416050065,0.4882659560995566,TRUE,-0.02034066950166853,-0.05144834944648199,17.857326594906084,-0.8372628538840594,0.3021115715727396,0.5646080114850325,-0.052873967584589066,0.04426940899604629,0.06317399541526925,0.029776112472987393,0.03986599937588255,0.47874367471600654,0.0874346759748354,1,1.0450325379345475,0.02827081861639401,0.5582642961176099
1957,16.011616639182336,17.53693662421285,16.751076309408376,13.770204582285862,14.815595504818257,0.5364323677274111,8.985819526638478,0.4557274640017607,2.140439429056974e-5,3.458739307014012e-5,4.616406985096427,0.2902204478887956,4.362767649838128,-7.333933428687843,0,0,0,0,8989939.162489288,955705.0146012476,41323281.8472454,18832154.44047514,4167444.81182978,1448932.064073373,2718512.7477564067,0.4635676322725889,TRUE,-0.06902793777116466,-0.02034066950166853,17.91244237514926,-0.7858603148044736,0.31305823052137516,0.5646080114850325,-0.028175643757621383,0.02214212027318304,0.0907086020427208,0.03930606296313499,0.05539805089169596,0.512600605824174,0.02837111299608495,2,0.9193704385081206,0.22568853221773477,0.563788673094401
1958,16.06507652300002,17.573787035014526,16.832302962668233,13.700280270116812,15.155891774199972,0.4467800326865331,7.520336867850541,0.47640636910787254,2.6675715573672908e-5,3.2966433907003985e-5,4.49816521203714,0.14004460860183834,4.307576410363035,-7.120948499443179,0,0,0,0,9483618.720824605,891160.8967501206,42874467.13412425,20425669.214802947,5246527.238747969,1426027.5744544754,3820499.664293494,0.5532199673134668,TRUE,-0.07736275063721045,-0.06902793777116466,17.963398041123572,-0.7414840723462923,0.3226797032823319,0.5646080114850325,-0.11782797879849938,0.0873675695558439,0.08122665325985778,0.0368504108016765,0.051169723550867255,0.5122207147836652,0.09435594928159177,1,1.132330412268502,-0.05902705571756059,0.5220924384538236
