"path","source","source_branch_or_worktree","classification","included","reason","validation_status","notes"
"chapter2_vault/04_data_measurement/V02_GPIM_Constitution.md","C:\ReposGitHub\Capacity-Utilization-US_Chile\chapter2_vault\04_data_measurement\V02_GPIM_Constitution.md","C:\ReposGitHub\Capacity-Utilization-US_Chile","GPIM measurement constitution note","True","minimum current material for GPIM remediation","passed: title, no code fences, standalone display-equation delimiters, no heading/$$ collision, no #$ pattern, governance decision present","Preferred V02 path used; Untitled.md was not copied."
"codes/US_GPIM_shaikh_capital_stock_decay_diagnostic.R","git restore","preservation/gpim-shaikh-diagnostic-2026-06-26","GPIM diagnostic script","True","diagnostic evidence for remediation","passed: required report files present and diagnostic/non-production status stated","Restored from preservation branch."
"reports/report_gpim_shaikh_comparison_2026-06-25/","git restore","preservation/gpim-shaikh-diagnostic-2026-06-26","GPIM diagnostic report","True","diagnostic evidence for remediation","passed: required report files present and diagnostic/non-production status stated","Restored from preservation branch."
"data/provider_handoffs/","git restore","preservation/provider-handoffs-2026-06-26","provider handoff provenance","True","provenance and audit traceability","passed: README files=2, manifests=1, handoff docs=1","Restored from preservation branch."
"chapter2_vault/.obsidian/workspace.json",".gitignore","integration/gpim-evidence-provenance-b1-2026-06-26","local Obsidian UI state","True","repository hygiene","passed: ignore entry present","Path was not tracked."
"chapter2_vault/.obsidian/graph.json",".gitignore","integration/gpim-evidence-provenance-b1-2026-06-26","local Obsidian UI state","True","repository hygiene","passed: ignore entry present","Path was not tracked."
".gitignore","integration branch","integration/gpim-evidence-provenance-b1-2026-06-26","repository hygiene","True","ignore only listed local Obsidian UI-state files","passed: exact ignore paths added","Did not ignore entire .obsidian directory."
"reports/maintenance/","integration branch","integration/gpim-evidence-provenance-b1-2026-06-26","scoped changed path","True","included in B1 scope","passed: path allowed by Phase 6 scope",""
"reports/maintenance/B1_GPIM_EVIDENCE_INTEGRATION_2026-06-26/B1_GPIM_EVIDENCE_INTEGRATION_REPORT.md","generated in integration worktree","integration/gpim-evidence-provenance-b1-2026-06-26","B1 validation report","True","required Phase B1 validation artifact","passed: report written",""
"reports/maintenance/B1_GPIM_EVIDENCE_INTEGRATION_2026-06-26/B1_integrated_paths_ledger.csv","generated in integration worktree","integration/gpim-evidence-provenance-b1-2026-06-26","B1 path ledger","True","required Phase B1 ledger artifact","passed: ledger written",""
