"asset_block","object_role","downstream_consumption_status","allowed_use","prohibited_use"
"ME","SFC_IMPLICIT_BASELINE_PRICE","BASELINE_CONSUMABLE","Baseline capital-price index for downstream GPIM consumption.","Do not replace it with FAAt402 or the NFC output price."
"ME","DIRECT_NOMINAL_INVESTMENT_CANONICAL","BASELINE_CONSUMABLE","Canonical nominal investment input and provenance reference.","Do not replace it with implied investment."
"ME","REAL_INVESTMENT_BASELINE","BASELINE_CONSUMABLE","Baseline real investment flow for downstream capital analysis.","Do not reinterpret it as nominal investment or a diagnostic series."
"ME","GROSS_SURVIVAL_GPIM_STOCK_BASELINE","BASELINE_CONSUMABLE","Baseline GPIM capital-stock object for downstream layers.","Do not substitute the net-value diagnostic stock."
"ME","NET_VALUE_GPIM_STOCK_DIAGNOSTIC","DIAGNOSTIC_ONLY","SFC identity reconstruction and diagnostic checks only.","Do not use it as the baseline GPIM capital stock."
"ME","FAAt402_VALIDATION_ONLY","VALIDATION_ONLY","Boundary validation against the official quantity index only.","Do not use it as the baseline capital-price object."
"ME","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY","ROBUSTNESS_ONLY","NFC output-unit translation robustness exercises only.","Do not use it as the baseline capital-price object."
"ME","PRODUCTIVE_EFFICIENCY_NOT_CONSTRUCTED","NOT_CONSTRUCTED","No downstream use; the object does not exist.","Do not infer or consume a productive-efficiency series."
"NRC","SFC_IMPLICIT_BASELINE_PRICE","BASELINE_CONSUMABLE","Baseline capital-price index for downstream GPIM consumption.","Do not replace it with FAAt402 or the NFC output price."
"NRC","DIRECT_NOMINAL_INVESTMENT_CANONICAL","BASELINE_CONSUMABLE","Canonical nominal investment input and provenance reference.","Do not replace it with implied investment."
"NRC","REAL_INVESTMENT_BASELINE","BASELINE_CONSUMABLE","Baseline real investment flow for downstream capital analysis.","Do not reinterpret it as nominal investment or a diagnostic series."
"NRC","GROSS_SURVIVAL_GPIM_STOCK_BASELINE","BASELINE_CONSUMABLE","Baseline GPIM capital-stock object for downstream layers.","Do not substitute the net-value diagnostic stock."
"NRC","NET_VALUE_GPIM_STOCK_DIAGNOSTIC","DIAGNOSTIC_ONLY","SFC identity reconstruction and diagnostic checks only.","Do not use it as the baseline GPIM capital stock."
"NRC","FAAt402_VALIDATION_ONLY","VALIDATION_ONLY","Boundary validation against the official quantity index only.","Do not use it as the baseline capital-price object."
"NRC","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY","ROBUSTNESS_ONLY","NFC output-unit translation robustness exercises only.","Do not use it as the baseline capital-price object."
"NRC","PRODUCTIVE_EFFICIENCY_NOT_CONSTRUCTED","NOT_CONSTRUCTED","No downstream use; the object does not exist.","Do not infer or consume a productive-efficiency series."
