ws_id,relative_path,mechanism_code,mechanism_label,confidence,status,notes
WS_001,docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/Article_inSpanish_Ulianova2000_URSS_UP.pdf,M07,counter_hegemonic_alignment,high,first_pass,candidate_1
WS_001,docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/Article_inSpanish_Ulianova2000_URSS_UP.pdf,M08,security_doctrine_legitimation,high,first_pass,candidate_2
WS_002,docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/Article_inSpanish_Ulianova2003_Peasants_CommunistInternational.pdf,M07,counter_hegemonic_alignment,low,first_pass,candidate_1
WS_003,docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/Article_inSpanish_UlianovaFediakova1998_URSS_PCCh_ColdWar.pdf,M07,counter_hegemonic_alignment,high,first_pass,candidate_1
WS_003,docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/Article_inSpanish_UlianovaFediakova1998_URSS_PCCh_ColdWar.pdf,M02,diplomatic_isolation,high,first_pass,candidate_2
WS_004,docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/Article_ReviewInternationalPoliticalEconomy_Ahumada2025.pdf,M07,counter_hegemonic_alignment,high,first_pass,candidate_1
WS_005,docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/Bolshevik_Rasmussen_Knutsen_07_06_2020.pdf,M01,coercive_state_pressure,low,first_pass,candidate_1
WS_006,"docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/Book_[A New Press People's history] Vijay Prashad - The darker nations_ a people's history of the third world (2008, The New Press).pdf",M07,counter_hegemonic_alignment,high,first_pass,candidate_1
WS_006,"docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/Book_[A New Press People's history] Vijay Prashad - The darker nations_ a people's history of the third world (2008, The New Press).pdf",M02,diplomatic_isolation,high,first_pass,candidate_2
WS_006,"docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/Book_[A New Press People's history] Vijay Prashad - The darker nations_ a people's history of the third world (2008, The New Press).pdf",M06,commodity_sovereignty_conflict,high,first_pass,candidate_3
WS_007,"docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/Book_[New Cold War history] Harmer, Tanya - Allende’s Chile and the Inter-American Cold War (2011, University of North Carolina Press).pdf",M01,coercive_state_pressure,high,first_pass,candidate_1
