asset_id,asset_title,ws_dimension,support_role,mechanism_family,why_relevant,thin_dimension_helped,confidence
ASSET_003,Bibliografia y auditoria,External constraint / balance-of-payments / trade dependency,source_routing,financial_strangulation,"Best bibliographic cleanup aid for Harmer, Griffith-Jones, Palma, and adjacent thin-dimension anchors.",yes,high
ASSET_003,Bibliografia y auditoria,U.S. interventionism,source_routing,financial_strangulation,"Best bibliographic cleanup aid for Harmer, Griffith-Jones, Palma, and adjacent thin-dimension anchors.",yes,high
ASSET_004,Source Integration Map 1925-1958 Backbone,Inter-American order / hemispheric security doctrine,periodization_support,security_doctrine_legitimation,"Best pre-UP sequencing aid for anti-communist reformism, state formation, and the 1957 threshold.",no,high
ASSET_004,Source Integration Map 1925-1958 Backbone,U.S. interventionism,periodization_support,security_doctrine_legitimation,"Best pre-UP sequencing aid for anti-communist reformism, state formation, and the 1957 threshold.",yes,high
ASSET_005,Ledger de fuentes,External constraint / balance-of-payments / trade dependency,source_routing,financial_strangulation,"Functional source ledger that surfaces finance, dominant-class, and transition-to-socialism references.",yes,high
ASSET_005,Ledger de fuentes,Transnational capital / multinational corporate power,source_routing,financial_strangulation,"Functional source ledger that surfaces finance, dominant-class, and transition-to-socialism references.",yes,high
ASSET_006,Industrial Patronage Reference Master Ledger,Transnational capital / multinational corporate power,source_routing,transnational_corporate_retaliation,"High-value literature router for Atlantic Fordism, dependency, finance, raw materials, and class formation.",yes,high
ASSET_006,Industrial Patronage Reference Master Ledger,External constraint / balance-of-payments / trade dependency,source_routing,transnational_corporate_retaliation,"High-value literature router for Atlantic Fordism, dependency, finance, raw materials, and class formation.",yes,high
ASSET_007,Master Ledger: Schools of Thought on the Political Economy of the UP,External constraint / balance-of-payments / trade dependency,overlap_support,financial_strangulation,"Useful historiographic router, but it points to a wider literature bundle and should not outrank corridor materials.",yes,medium
ASSET_007,Master Ledger: Schools of Thought on the Political Economy of the UP,Crisis of Atlantic Fordism / world monetary disorder,overlap_support,financial_strangulation,"Useful historiographic router, but it points to a wider literature bundle and should not outrank corridor materials.",yes,medium
