row_id,ws_id,source_file,source_relevance_grade,source_role,evidentiary_status,corridor_scope,hinge_role,dimension_primary,dimension_secondary,mechanism_family,mechanism_statement,chile_specific,transmission_corridor,candidate_observable,candidate_indicator,candidate_ar_variable,variable_type,scale,geography,temporal_layer,temporal_window,zavaleta_operator_route,configurational_role,translation_risk,evidentiary_strength,page_anchor,quote_stub,notes_path,keep_flag,comments
WSAR_001,WS_007,"Book_[New Cold War history] Harmer, Tanya - Allende’s Chile and the Inter-American Cold War (2011, University of North Carolina Press).pdf",A,historiography,historiographic,overlap,core,Inter-American order / hemispheric security doctrine,U.S. interventionism,financial_strangulation,Chile-facing sanctions and credit-denial passages can be routed as external finance pressure on the Allende government.,yes,yes,"credit denial, sanctions, or financing pressure",episode-level coding of sanctions or credit denial references affecting Chilean state financing,external_financing_pressure_episode,event_variable,state,Chile / inter-American finance,conjunctural_trigger,1970-1973,external_determination,accumulation_constraint,low,strong,p. 21,"first extracted hit for ""sanctions"".",docs/data_sources_WS_corridor/02_notes/sources/WS_007.md,keep,Strongest direct bridge from WS material into AR-style external constraint coding.
WSAR_002,WS_007,"Book_[New Cold War history] Harmer, Tanya - Allende’s Chile and the Inter-American Cold War (2011, University of North Carolina Press).pdf",A,historiography,historiographic,overlap,core,Inter-American order / hemispheric security doctrine,U.S. interventionism,diplomatic_isolation,OAS-facing distancing and alliance pressure can be translated into a Chilean diplomatic option-set contraction marker.,yes,yes,"recognition shifts, OAS/UN positioning, or bilateral distancing",episode roster of OAS or bilateral distancing references that narrow Chile's external room for maneuver,inter_american_diplomatic_narrowing_marker,relational_marker,regional,Chile / inter-American system,layered_persistence,1970-1973,strategic_corridor,mediation_structure,low,strong,p. 17,"first extracted hit for ""oas"".",docs/data_sources_WS_corridor/02_notes/sources/WS_007.md,keep,Best current source for turning diplomatic pressure into a Chile-facing AR hinge variable.
WSAR_003,WS_008,"Book_Edited_Harmer, Tanya - Alfredo Riquelme Segovia - Chile y la Guerra Fría global-RIL Editores (2014).pdf",B,historiography,historiographic,overlap,core,Cold War geopolitics,Inter-American order / hemispheric security doctrine,diplomatic_isolation,"Chile-focused OAS and diplomatic-positioning material reinforces a regional narrowing marker, but with less precision than Harmer 2011.",yes,partial,"recognition shifts, OAS/UN positioning, or bilateral distancing",chapter-level references to OAS positioning and bilateral distancing around Chile,inter_american_diplomatic_narrowing_marker,relational_marker,regional,Chile / inter-American system,layered_persistence,Fordist era; chapter-specific follow-up needed,strategic_corridor,mediation_structure,medium,medium,p. 213,"first extracted hit for ""oas"".",docs/data_sources_WS_corridor/02_notes/sources/WS_008.md,keep,"Useful support source for the diplomatic-narrowing variable, but still chapter-level rather than episode-level."
WSAR_004,WS_007,"Book_[New Cold War history] Harmer, Tanya - Allende’s Chile and the Inter-American Cold War (2011, University of North Carolina Press).pdf",A,historiography,historiographic,overlap,core,Inter-American order / hemispheric security doctrine,U.S. interventionism,coercive_state_pressure,Chile-facing policy pressure can be translated into overt external-pressure episodes rather than treated as general Cold War atmosphere.,yes,yes,documented episodes of direct or indirect state pressure,dated pressure episodes involving inter-American or U.S.-aligned state action against Chile,hemispheric_policy_pressure_marker,event_variable,regional,Chile / inter-American system,layered_persistence,1970-1973,state_differentiation,state_power,medium,strong,p. 17,"first extracted hit for ""oas"".",docs/data_sources_WS_corridor/02_notes/sources/WS_007.md,keep,High-value hinge row because the pressure relation is explicit and Chile-specific.
WSAR_005,WS_003,Article_inSpanish_UlianovaFediakova1998_URSS_PCCh_ColdWar.pdf,A,evidence,archival,overlap,core,Cold War geopolitics,unclear,counter_hegemonic_alignment,Direct Soviet financial aid material can be routed as an external support corridor rather than abstract bloc alignment.,yes,partial,efforts to build non-hegemonic international alignment,documented Soviet financial aid episodes or channel references linked to Chilean communism,soviet_support_channel_marker,documentary_marker,bilateral,Chile-USSR,layered_persistence,Cold War; dated episodes need deeper extraction,strategic_corridor,popular_capacity,medium,strong,p. 1,opening/title framing: ESTUDIO ALGUNOS ASPECTOS DE LA AYUDA FINANCIERA,docs/data_sources_WS_corridor/02_notes/sources/WS_003.md,keep,Best archival handle on an alternative external support corridor in the current corpus.
WSAR_006,WS_013,Boook_Edited_inSpanish_Ulianova2020_Chile_URSS_AnosSesenta.pdf,B,evidence,archival,overlap,core,Cold War geopolitics,unclear,counter_hegemonic_alignment,"The archival collection can support document-density coding for Soviet-Chile contact, but only after later document-level extraction.",yes,partial,efforts to build non-hegemonic international alignment,"archival document-cluster counts for Soviet-Chile contact around alignment, diplomacy, or support channels",soviet_chile_alignment_contact_density,documentary_marker,bilateral,Chile-USSR,layered_persistence,1960s,strategic_corridor,mediation_structure,medium,medium,p. 5,"first extracted hit for ""urss"".",docs/data_sources_WS_corridor/02_notes/sources/WS_013.md,keep,"Promising support row, but it still needs document-level coding before promotion to a stronger AR variable."
WSAR_007,WS_008,"Book_Edited_Harmer, Tanya - Alfredo Riquelme Segovia - Chile y la Guerra Fría global-RIL Editores (2014).pdf",B,historiography,historiographic,overlap,core,Cold War geopolitics,Inter-American order / hemispheric security doctrine,trade_channel_disruption,"The Chile-focused volume suggests a copper-facing trade vulnerability route, but the current first-pass anchor is still thinner than needed.",yes,partial,"trade interruptions, embargoes, or channel restrictions",page-anchored mentions linking copper to externally vulnerable trade channels or restrictions,copper_trade_channel_vulnerability_marker,relational_marker,sector,Chile copper sector,layered_persistence,Fordist era; chapter-specific follow-up needed,relational_axis,accumulation_constraint,high,weak,p. 73,"first extracted hit for ""copper"".",docs/data_sources_WS_corridor/02_notes/sources/WS_008.md,keep,"Economically important candidate, but current support is a copper hook rather than a clean trade-closure passage."
WSAR_008,WS_008,"Book_Edited_Harmer, Tanya - Alfredo Riquelme Segovia - Chile y la Guerra Fría global-RIL Editores (2014).pdf",B,historiography,historiographic,overlap,core,Cold War geopolitics,Inter-American order / hemispheric security doctrine,security_doctrine_legitimation,Chile-facing OAS and security-language material can be turned into a regional legitimation marker for later coercion coding.,yes,partial,anticommunist or hemispheric-security legitimation frames,references to hemispheric-security language used to justify pressure or distancing toward Chile,hemispheric_security_legitimation_marker,institutional_indicator,regional,Chile / inter-American system,layered_persistence,Fordist era; chapter-specific follow-up needed,state_differentiation,state_apparatus,medium,medium,p. 213,"first extracted hit for ""oas"".",docs/data_sources_WS_corridor/02_notes/sources/WS_008.md,keep,"Useful support marker for the coercion-diplomacy cluster, but still too broad for standalone episode coding."
WSAR_009,WS_014,CIA_DeclassifiedDoc_NonAllignedMovement.pdf,A,evidence,archival,WS-only,secondary,Third World / Non-Aligned Movement / NIEO politics,"Diplomatic isolation, blockade, recognition, and alliance structure",security_doctrine_legitimation,"The declassified assessment can route NAM threat framing into a state-apparatus legitimation marker, but not beyond tentative status.",no,partial,anticommunist or hemispheric-security legitimation frames,documentary threat framing of NAM as a security problem for U.S. policy routing,hemispheric_security_legitimation_marker,institutional_indicator,state,U.S. intelligence / NAM corridor,structural_background,undated declassified Cold War assessment,state_differentiation,state_apparatus,high,weak,p. 1,opening framing not extractable from local text layer; manual visual review needed.,docs/data_sources_WS_corridor/02_notes/sources/WS_014.md,keep,Useful as classifier-routed support only; OCR limits and indirect Chile linkage keep risk high.
WSAR_010,WS_010,"Book_Jovan Cavoški - Non-Aligned Movement Summits_ A History (2022, Bloomsbury Academic).pdf",A,historiography,historiographic,WS-only,secondary,Third World / Non-Aligned Movement / NIEO politics,"Diplomatic isolation, blockade, recognition, and alliance structure",diplomatic_isolation,NAM summit material can be routed as evidence of alternative diplomatic corridors available to Chile-facing actors.,mixed,partial,"recognition shifts, OAS/UN positioning, or bilateral distancing",summit-level references to Chile or Chile-like cases within NAM diplomatic forums,alternative_diplomatic_corridor_access,relational_marker,global,Chile relative to NAM summit diplomacy,layered_persistence,1961-1970s summit cycle,strategic_corridor,mediation_structure,medium,medium,p. 148,"first extracted hit for ""chile"".",docs/data_sources_WS_corridor/02_notes/sources/WS_010.md,keep,"Secondary hinge source: not Chile-internal evidence, but it identifies an alternative diplomatic corridor."
WSAR_011,WS_020,JournalColdWar_06_Luthi2016.pdf,A,historiography,historiographic,WS-only,secondary,Third World / Non-Aligned Movement / NIEO politics,"Diplomatic isolation, blockade, recognition, and alliance structure",diplomatic_isolation,"NAM-as-actor material can support a diplomatic-corridor access marker, but mostly at the level of alliance options rather than Chile episodes.",no,partial,"recognition shifts, OAS/UN positioning, or bilateral distancing",diplomatic passages showing NAM as an alternative forum outside inter-American narrowing,alternative_diplomatic_corridor_access,relational_marker,global,NAM diplomatic arena,layered_persistence,1961-1973,strategic_corridor,mediation_structure,medium,medium,p. 16,"first extracted hit for ""diplomacy"".",docs/data_sources_WS_corridor/02_notes/sources/WS_020.md,keep,"Useful support row for alternative diplomatic-corridor access, but still not a Chile-specific episode source."
WSAR_012,WS_010,"Book_Jovan Cavoški - Non-Aligned Movement Summits_ A History (2022, Bloomsbury Academic).pdf",A,historiography,historiographic,WS-only,secondary,Third World / Non-Aligned Movement / NIEO politics,"Diplomatic isolation, blockade, recognition, and alliance structure",counter_hegemonic_alignment,Summit formation and alignment language can be turned into an option-set expansion marker rather than a generic NAM theme.,mixed,partial,efforts to build non-hegemonic international alignment,summit-level references that widen diplomatic or strategic options outside hegemonic blocs,nam_option_set_expansion_marker,relational_marker,global,NAM / Third World,structural_background,1961-1970s summit cycle,strategic_corridor,mediation_structure,medium,medium,p. 5,"first extracted hit for ""non-alignment"".",docs/data_sources_WS_corridor/02_notes/sources/WS_010.md,keep,"Useful for routing diplomatic alternatives, but not enough on its own for Chile-specific episode coding."
