"model_id","model_family","model_role","sample_id","start_year","end_year","dependent_variable","dependent_variable_role","regressors","s30i_carry_forward_status","s30i_i2_warning","s30i_rolling_warning","n_obs","status","notes"
"S32_A00_baseline","A00_aggregate","preferred_baseline","full_available_sample",1930,2024,"y_t","effective_output_proxy","k_Kcap + q_omega_h1_Kcap","y_t=carry_to_S32_baseline_cointegration_candidate_with_rolling_warning; k_Kcap=carry_to_S32_baseline_cointegration_candidate_with_rolling_warning; q_omega_h1_Kcap=carry_to_S32_baseline_cointegration_candidate_with_rolling_warning","","rolling_instability:y_t,k_Kcap,q_omega_h1_Kcap",95,"estimated_preliminary_not_promoted","Reference model; coefficients remain preliminary."
"S32_A00_q_h3","A00_memory_robustness","memory_state_robustness","full_available_sample",1932,2024,"y_t","effective_output_proxy","k_Kcap + q_omega_h3_Kcap","y_t=carry_to_S32_baseline_cointegration_candidate_with_rolling_warning; k_Kcap=carry_to_S32_baseline_cointegration_candidate_with_rolling_warning; q_omega_h3_Kcap=carry_to_S32_aggregate_q_cointegration_candidate_with_rolling_warning","","rolling_instability:y_t,k_Kcap,q_omega_h3_Kcap",93,"estimated_preliminary_not_promoted",""
"S32_A00_q_h5","A00_memory_robustness","memory_state_robustness","full_available_sample",1934,2024,"y_t","effective_output_proxy","k_Kcap + q_omega_h5_Kcap","y_t=carry_to_S32_baseline_cointegration_candidate_with_rolling_warning; k_Kcap=carry_to_S32_baseline_cointegration_candidate_with_rolling_warning; q_omega_h5_Kcap=carry_to_S32_aggregate_q_cointegration_candidate_with_rolling_warning","","rolling_instability:y_t,k_Kcap,q_omega_h5_Kcap",91,"estimated_preliminary_not_promoted",""
"S32_A00_q_e_h1","A00_distribution_robustness","alternative_distribution_proxy_robustness","full_available_sample",1930,2024,"y_t","effective_output_proxy","k_Kcap + q_e_h1_Kcap","y_t=carry_to_S32_baseline_cointegration_candidate_with_rolling_warning; k_Kcap=carry_to_S32_baseline_cointegration_candidate_with_rolling_warning; q_e_h1_Kcap=carry_to_S32_aggregate_q_cointegration_candidate_with_rolling_warning","","rolling_instability:y_t,k_Kcap,q_e_h1_Kcap",95,"estimated_preliminary_not_promoted","Alternative exploitation-rate distribution proxy; not preferred baseline."
"S32_A00_q_e_h3","A00_distribution_robustness","alternative_distribution_proxy_robustness","full_available_sample",1932,2024,"y_t","effective_output_proxy","k_Kcap + q_e_h3_Kcap","y_t=carry_to_S32_baseline_cointegration_candidate_with_rolling_warning; k_Kcap=carry_to_S32_baseline_cointegration_candidate_with_rolling_warning; q_e_h3_Kcap=carry_to_S32_aggregate_q_cointegration_candidate_with_rolling_warning","","rolling_instability:y_t,k_Kcap,q_e_h3_Kcap",93,"estimated_preliminary_not_promoted","Alternative exploitation-rate distribution proxy; not preferred baseline."
"S32_A00_q_e_h5","A00_distribution_robustness","alternative_distribution_proxy_robustness","full_available_sample",1934,2024,"y_t","effective_output_proxy","k_Kcap + q_e_h5_Kcap","y_t=carry_to_S32_baseline_cointegration_candidate_with_rolling_warning; k_Kcap=carry_to_S32_baseline_cointegration_candidate_with_rolling_warning; q_e_h5_Kcap=carry_to_S32_aggregate_q_cointegration_candidate_with_rolling_warning","","rolling_instability:y_t,k_Kcap,q_e_h5_Kcap",91,"estimated_preliminary_not_promoted","Alternative exploitation-rate distribution proxy; not preferred baseline."
"S32_periodized_full_long_sample","A00_periodized","periodized_baseline_candidate","full_long_sample",1930,2024,"y_t","effective_output_proxy","k_Kcap + q_omega_h1_Kcap__full_long_sample","y_t=carry_to_S32_baseline_cointegration_candidate_with_rolling_warning; k_Kcap=carry_to_S32_baseline_cointegration_candidate_with_rolling_warning; q_omega_h1_Kcap__full_long_sample=carry_to_S32_periodized_cointegration_candidate_with_rolling_warning","","rolling_instability:y_t,k_Kcap,q_omega_h1_Kcap__full_long_sample",95,"estimated_preliminary_not_promoted","Governed S22 period-reset q window."
"S32_periodized_pre_1974_full","A00_periodized","periodized_baseline_candidate","pre_1974_full",1930,1973,"y_t","effective_output_proxy","k_Kcap + q_omega_h1_Kcap__pre_1974_full","y_t=carry_to_S32_baseline_cointegration_candidate_with_rolling_warning; k_Kcap=carry_to_S32_baseline_cointegration_candidate_with_rolling_warning; q_omega_h1_Kcap__pre_1974_full=carry_to_S32_periodized_cointegration_candidate_with_rolling_warning","","rolling_instability:y_t,k_Kcap,q_omega_h1_Kcap__pre_1974_full",44,"estimated_preliminary_not_promoted","Governed S22 period-reset q window."
"S32_periodized_post_1973_full","A00_periodized","periodized_baseline_candidate","post_1973_full",1974,2024,"y_t","effective_output_proxy","k_Kcap + q_omega_h1_Kcap__post_1973_full","y_t=carry_to_S32_baseline_cointegration_candidate_with_rolling_warning; k_Kcap=carry_to_S32_baseline_cointegration_candidate_with_rolling_warning; q_omega_h1_Kcap__post_1973_full=audit_only_high_i2_risk","I2_risk:q_omega_h1_Kcap__post_1973_full","rolling_instability:y_t,k_Kcap",51,"estimated_preliminary_not_promoted","Governed post-1973 full window; no short post-1974 window."
"S32_periodized_fordist_core","A00_periodized","periodized_baseline_candidate","fordist_core",1945,1973,"y_t","effective_output_proxy","k_Kcap + q_omega_h1_Kcap__fordist_core","y_t=carry_to_S32_baseline_cointegration_candidate_with_rolling_warning; k_Kcap=carry_to_S32_baseline_cointegration_candidate_with_rolling_warning; q_omega_h1_Kcap__fordist_core=carry_to_S32_periodized_cointegration_candidate_with_rolling_warning","","rolling_instability:y_t,k_Kcap,q_omega_h1_Kcap__fordist_core",29,"estimated_preliminary_not_promoted","Governed S22 period-reset q window."
