"object_id","classification","observation_status","evidence_stage","evidence_file","permitted_use","prohibited_use"
"INVENTORIES_MENU","DIAGNOSTIC_ONLY","excluded_or_deferred_no_observations","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","diagnostic_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"CORP_GOS_SHAIKH_RECONCILIATION","METADATA_REFERENCE_ONLY","metadata_or_documentation_only","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"CORP_GVA_SHAIKH_RECONCILIATION","METADATA_REFERENCE_ONLY","metadata_or_documentation_only","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"CORP_IMPUTED_INTEREST_ADJ","METADATA_REFERENCE_ONLY","metadata_or_documentation_only","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"CORP_NOS_EBIT_SHAIKH_RECONCILIATION","METADATA_REFERENCE_ONLY","metadata_or_documentation_only","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"CORP_SHAIKH_OPERATING_LADDER_RECONCILIATION_BUNDLE","METADATA_REFERENCE_ONLY","metadata_or_documentation_only","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"FIN_CFC","METADATA_REFERENCE_ONLY","metadata_or_documentation_only","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"FIN_COMP","METADATA_REFERENCE_ONLY","metadata_or_documentation_only","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"FIN_DIVIDENDS","METADATA_REFERENCE_ONLY","metadata_or_documentation_only","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"FIN_GVA","METADATA_REFERENCE_ONLY","metadata_or_documentation_only","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"FIN_NET_INT","METADATA_REFERENCE_ONLY","metadata_or_documentation_only","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"FIN_NOS","METADATA_REFERENCE_ONLY","metadata_or_documentation_only","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"FIN_NVA","METADATA_REFERENCE_ONLY","metadata_or_documentation_only","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"FIN_PBT","METADATA_REFERENCE_ONLY","metadata_or_documentation_only","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"FIN_TRANSFERS","METADATA_REFERENCE_ONLY","metadata_or_documentation_only","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"GOV_TRANS__HIGHWAYS_STREETS__cfc_current_cost","CONTEXTUAL_AUTHORIZED","observation_bearing_source_input","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C"
