"file_read","mutation_authorized","used_for"
"output/US/S29L_CROSS_FAMILY_INTEGRATION_AND_DATA_CLOSURE_PLANNING/md/S29L_TASK_C_CONTEXTUAL_FAMILY_CLASSIFICATION_LOCK.md","no","S30C contextual classification evidence"
"output/US/S29L_CROSS_FAMILY_INTEGRATION_AND_DATA_CLOSURE_PLANNING/md/S29L_PARALLEL_FANOUT_EXECUTION_GUIDE.md","no","S30C contextual classification evidence"
"output/US/S29L_CROSS_FAMILY_INTEGRATION_AND_DATA_CLOSURE_PLANNING/md/S29L_CROSS_FAMILY_INTEGRATION_AND_DATA_CLOSURE_PLAN.md","no","S30C contextual classification evidence"
"output/US/S29L_CROSS_FAMILY_INTEGRATION_AND_DATA_CLOSURE_PLANNING/md/S29L_VALIDATION.md","no","S30C contextual classification evidence"
"output/US/S29L_CROSS_FAMILY_INTEGRATION_AND_DATA_CLOSURE_PLANNING/md/S29L_DECISION.md","no","S30C contextual classification evidence"
"output/US/S29L_CROSS_FAMILY_INTEGRATION_AND_DATA_CLOSURE_PLANNING/csv/S29L_family_readiness_inventory.csv","no","S30C contextual classification evidence"
"output/US/S29L_CROSS_FAMILY_INTEGRATION_AND_DATA_CLOSURE_PLANNING/csv/S29L_unresolved_dependency_ledger.csv","no","S30C contextual classification evidence"
"output/US/S29L_CROSS_FAMILY_INTEGRATION_AND_DATA_CLOSURE_PLANNING/csv/S29L_review_needed_ledger.csv","no","S30C contextual classification evidence"
"output/US/S29L_CROSS_FAMILY_INTEGRATION_AND_DATA_CLOSURE_PLANNING/csv/S29L_parallel_task_registry.csv","no","S30C contextual classification evidence"
"output/US/S29L_CROSS_FAMILY_INTEGRATION_AND_DATA_CLOSURE_PLANNING/csv/S29L_parallel_task_input_contract.csv","no","S30C contextual classification evidence"
"output/US/S29L_CROSS_FAMILY_INTEGRATION_AND_DATA_CLOSURE_PLANNING/csv/S29L_parallel_task_output_contract.csv","no","S30C contextual classification evidence"
"output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_authorized_baseline_objects.csv","no","S30C contextual classification evidence"
"output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","no","S30C contextual classification evidence"
"output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","no","S30C contextual classification evidence"
"output/US/S24C_PROVIDER_SOURCE_INPUTS_OTHER_CONSTRUCTION/csv/S24C_provider_other_construction_ledger.csv","no","S30C contextual classification evidence"
"output/US/S25_AUTHORIZED_SOURCE_INPUTS_CONSOLIDATION/csv/S25_no_promotion_audit.csv","no","S30C contextual classification evidence"
"output/US/S25_AUTHORIZED_SOURCE_INPUTS_CONSOLIDATION/csv/S25_zero_observation_metadata_audit.csv","no","S30C contextual classification evidence"
"output/US/S26_SOURCE_INPUT_COMPLETENESS_REVIEW/csv/S26_deferred_excluded_boundary_audit.csv","no","S30C contextual classification evidence"
"output/US/S27_DERIVED_VARIABLE_CONSTRUCTION_PLANNING/csv/S27_metadata_reference_usage_ledger.csv","no","S30C contextual classification evidence"
"output/US/S27_DERIVED_VARIABLE_CONSTRUCTION_PLANNING/csv/S27_deferred_excluded_boundary_carry_forward.csv","no","S30C contextual classification evidence"
"output/US/S28_DERIVED_VARIABLE_CONSTRUCTION_IMPLEMENTATION_SEQUENCE/csv/S28_no_implementation_audit.csv","no","S30C contextual classification evidence"
"output/US/S29K_TOTAL_CAPITAL_INTERFACE_CONSUMPTION_INTAKE/csv/S29K_no_provider_total_promotion_audit.csv","no","S30C contextual classification evidence"
