"object_id","object_group","classification","future_review_required","permitted_use","prohibited_use"
"INVENTORIES_MENU","diagnostic_or_contextual_exclusion","DIAGNOSTIC_ONLY","yes","diagnostic_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"CORP_GOS_SHAIKH_RECONCILIATION","documentation_or_metadata_only","METADATA_REFERENCE_ONLY","yes","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"CORP_GVA_SHAIKH_RECONCILIATION","documentation_or_metadata_only","METADATA_REFERENCE_ONLY","yes","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"CORP_IMPUTED_INTEREST_ADJ","documentation_or_metadata_only","METADATA_REFERENCE_ONLY","yes","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"CORP_NOS_EBIT_SHAIKH_RECONCILIATION","documentation_or_metadata_only","METADATA_REFERENCE_ONLY","yes","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"CORP_SHAIKH_OPERATING_LADDER_RECONCILIATION_BUNDLE","documentation_or_metadata_only","METADATA_REFERENCE_ONLY","yes","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"FIN_CFC","documentation_or_metadata_only","METADATA_REFERENCE_ONLY","yes","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"FIN_COMP","documentation_or_metadata_only","METADATA_REFERENCE_ONLY","yes","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"FIN_DIVIDENDS","documentation_or_metadata_only","METADATA_REFERENCE_ONLY","yes","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"FIN_GVA","documentation_or_metadata_only","METADATA_REFERENCE_ONLY","yes","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"FIN_NET_INT","documentation_or_metadata_only","METADATA_REFERENCE_ONLY","yes","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"FIN_NOS","documentation_or_metadata_only","METADATA_REFERENCE_ONLY","yes","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"FIN_NVA","documentation_or_metadata_only","METADATA_REFERENCE_ONLY","yes","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"FIN_PBT","documentation_or_metadata_only","METADATA_REFERENCE_ONLY","yes","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"FIN_TRANSFERS","documentation_or_metadata_only","METADATA_REFERENCE_ONLY","yes","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"FIN__ME__cfc_current_cost","financial_fixed_asset_boundary_review","PARKED_FOR_FUTURE_RESEARCH","yes","future_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C"
"FIN__ME__gross_investment_current_cost","financial_fixed_asset_boundary_review","PARKED_FOR_FUTURE_RESEARCH","yes","future_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C"
"FIN__ME__net_stock_current_cost","financial_fixed_asset_boundary_review","PARKED_FOR_FUTURE_RESEARCH","yes","future_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C"
"FIN__ME__net_stock_quantity_index","financial_fixed_asset_boundary_review","PARKED_FOR_FUTURE_RESEARCH","yes","future_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C"
"FIN__NRC__cfc_current_cost","financial_fixed_asset_boundary_review","PARKED_FOR_FUTURE_RESEARCH","yes","future_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C"
"FIN__NRC__gross_investment_current_cost","financial_fixed_asset_boundary_review","PARKED_FOR_FUTURE_RESEARCH","yes","future_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C"
"FIN__NRC__net_stock_current_cost","financial_fixed_asset_boundary_review","PARKED_FOR_FUTURE_RESEARCH","yes","future_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C"
"FIN__NRC__net_stock_quantity_index","financial_fixed_asset_boundary_review","PARKED_FOR_FUTURE_RESEARCH","yes","future_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C"
"GOV_TRANS__HIGHWAYS_STREETS__cfc_current_cost","government_transportation_highways_and_streets","CONTEXTUAL_AUTHORIZED","yes","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C"
"GOV_TRANS__HIGHWAYS_STREETS__gross_investment_current_cost","government_transportation_highways_and_streets","CONTEXTUAL_AUTHORIZED","yes","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C"
"GOV_TRANS__HIGHWAYS_STREETS__net_stock_current_cost","government_transportation_highways_and_streets","CONTEXTUAL_AUTHORIZED","yes","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C"
"GOV_TRANS__HIGHWAYS_STREETS__net_stock_quantity_index","government_transportation_highways_and_streets","CONTEXTUAL_AUTHORIZED","yes","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C"
"GOV_TRANS__TRANSPORTATION_STRUCTURES__cfc_current_cost","government_transportation_structures","CONTEXTUAL_AUTHORIZED","yes","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C"
"GOV_TRANS__TRANSPORTATION_STRUCTURES__gross_investment_current_cost","government_transportation_structures","CONTEXTUAL_AUTHORIZED","yes","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C"
"GOV_TRANS__TRANSPORTATION_STRUCTURES__net_stock_current_cost","government_transportation_structures","CONTEXTUAL_AUTHORIZED","yes","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C"
"GOV_TRANS__TRANSPORTATION_STRUCTURES__net_stock_quantity_index","government_transportation_structures","CONTEXTUAL_AUTHORIZED","yes","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C"
"CORP__IPP__cfc_current_cost","ipp_assets_and_investment","CONTEXTUAL_AUTHORIZED","yes","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C"
"CORP__IPP__gross_investment_current_cost","ipp_assets_and_investment","CONTEXTUAL_AUTHORIZED","yes","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C"
"CORP__IPP__net_stock_current_cost","ipp_assets_and_investment","CONTEXTUAL_AUTHORIZED","yes","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C"
"CORP__IPP__net_stock_quantity_index","ipp_assets_and_investment","CONTEXTUAL_AUTHORIZED","yes","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C"
"FIN__IPP__cfc_current_cost","ipp_assets_and_investment","CONTEXTUAL_AUTHORIZED","yes","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C"
"FIN__IPP__gross_investment_current_cost","ipp_assets_and_investment","CONTEXTUAL_AUTHORIZED","yes","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C"
"FIN__IPP__net_stock_current_cost","ipp_assets_and_investment","CONTEXTUAL_AUTHORIZED","yes","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C"
"FIN__IPP__net_stock_quantity_index","ipp_assets_and_investment","CONTEXTUAL_AUTHORIZED","yes","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C"
"NFC__IPP__cfc_current_cost","ipp_assets_and_investment","CONTEXTUAL_AUTHORIZED","yes","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C"
"NFC__IPP__gross_investment_current_cost","ipp_assets_and_investment","CONTEXTUAL_AUTHORIZED","yes","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C"
"NFC__IPP__net_stock_current_cost","ipp_assets_and_investment","CONTEXTUAL_AUTHORIZED","yes","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C"
"NFC__IPP__net_stock_quantity_index","ipp_assets_and_investment","CONTEXTUAL_AUTHORIZED","yes","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C"
