"object_id","classification","provider_total_promoted_to_analytical_tot","analytical_tot_authorized","evidence_stage","evidence_file","s29k_crosscheck"
"CORP__TOTAL__cfc_current_cost","DIAGNOSTIC_ONLY","no","no","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","provider_TOTAL_nonpromotion_PASS"
"CORP__TOTAL__gross_investment_current_cost","DIAGNOSTIC_ONLY","no","no","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","provider_TOTAL_nonpromotion_PASS"
"CORP__TOTAL__net_stock_current_cost","DIAGNOSTIC_ONLY","no","no","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","provider_TOTAL_nonpromotion_PASS"
"CORP__TOTAL__net_stock_quantity_index","DIAGNOSTIC_ONLY","no","no","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","provider_TOTAL_nonpromotion_PASS"
"FIN__TOTAL__cfc_current_cost","DIAGNOSTIC_ONLY","no","no","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","provider_TOTAL_nonpromotion_PASS"
"FIN__TOTAL__gross_investment_current_cost","DIAGNOSTIC_ONLY","no","no","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","provider_TOTAL_nonpromotion_PASS"
"FIN__TOTAL__net_stock_current_cost","DIAGNOSTIC_ONLY","no","no","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","provider_TOTAL_nonpromotion_PASS"
"FIN__TOTAL__net_stock_quantity_index","DIAGNOSTIC_ONLY","no","no","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","provider_TOTAL_nonpromotion_PASS"
"NFC__TOTAL__cfc_current_cost","DIAGNOSTIC_ONLY","no","no","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","provider_TOTAL_nonpromotion_PASS"
"NFC__TOTAL__gross_investment_current_cost","DIAGNOSTIC_ONLY","no","no","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","provider_TOTAL_nonpromotion_PASS"
"NFC__TOTAL__net_stock_current_cost","DIAGNOSTIC_ONLY","no","no","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","provider_TOTAL_nonpromotion_PASS"
"NFC__TOTAL__net_stock_quantity_index","DIAGNOSTIC_ONLY","no","no","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","provider_TOTAL_nonpromotion_PASS"
"CORP__TOTAL__gross_stock_current_cost","PARKED_FOR_FUTURE_RESEARCH","no","no","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","provider_TOTAL_nonpromotion_PASS"
"CORP__TOTAL__official_price_index","DIAGNOSTIC_ONLY","no","no","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","provider_TOTAL_nonpromotion_PASS"
"FIN__TOTAL__gross_stock_current_cost","PARKED_FOR_FUTURE_RESEARCH","no","no","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","provider_TOTAL_nonpromotion_PASS"
"FIN__TOTAL__official_price_index","DIAGNOSTIC_ONLY","no","no","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","provider_TOTAL_nonpromotion_PASS"
"NFC__TOTAL__gross_stock_current_cost","PARKED_FOR_FUTURE_RESEARCH","no","no","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","provider_TOTAL_nonpromotion_PASS"
"NFC__TOTAL__official_price_index","DIAGNOSTIC_ONLY","no","no","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","provider_TOTAL_nonpromotion_PASS"
"provider_total_not_promoted","DIAGNOSTIC_ONLY","no","no","S29K","output/US/S29K_TOTAL_CAPITAL_INTERFACE_CONSUMPTION_INTAKE/csv/S29K_no_provider_total_promotion_audit.csv","PASS"
"total_category_not_consumed","DIAGNOSTIC_ONLY","no","no","S29K","output/US/S29K_TOTAL_CAPITAL_INTERFACE_CONSUMPTION_INTAKE/csv/S29K_no_provider_total_promotion_audit.csv","PASS"
