"object_id","object_group","classification","theoretical_role","permitted_use","prohibited_use","future_review_required"
"ADD_PROFITS_TO_NOS","blocked_object","BLOCKED","Violates account ladder.","blocked_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","no"
"OLD_APPENDIX_6_7_LINE_REPLICATION","blocked_object","BLOCKED","Historical line numbers cannot be mechanically reused.","blocked_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","no"
"PRODUCTIVE_SURPLUS_VALUE_CORP_WHOLE","blocked_object","BLOCKED","Financial corporate components are claims/appropriation channels, not productive capital.","blocked_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","no"
"QWEN_HOUSING_PROXY_PATHS","blocked_object","BLOCKED","Qwen proxy paths are subordinate hypotheses and outside corporate Appendix correction.","blocked_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","no"
"INVENTORIES_MENU","diagnostic_or_contextual_exclusion","DIAGNOSTIC_ONLY","Optional circulation stock-flow diagnostic.","diagnostic_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"CORP_GOS_SHAIKH_RECONCILIATION","documentation_or_metadata_only","METADATA_REFERENCE_ONLY","Potential future robustness candidate after human review.","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"CORP_GVA_SHAIKH_RECONCILIATION","documentation_or_metadata_only","METADATA_REFERENCE_ONLY","Must flow through GOS/NOS under stock-flow law.","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"CORP_IMPUTED_INTEREST_ADJ","documentation_or_metadata_only","METADATA_REFERENCE_ONLY","Expected current status for Shaikh corporate adjustment.","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"CORP_NOS_EBIT_SHAIKH_RECONCILIATION","documentation_or_metadata_only","METADATA_REFERENCE_ONLY","EBIT-like NOS, not corporate profit.","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"CORP_SHAIKH_OPERATING_LADDER_RECONCILIATION_BUNDLE","documentation_or_metadata_only","METADATA_REFERENCE_ONLY","Bundle-level operating ladder check; conceptually coherent but not constructed or authorized.","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"FIN_CFC","documentation_or_metadata_only","METADATA_REFERENCE_ONLY","Do not silently substitute total financial business. Downstream derivation must cite inputs.","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"FIN_COMP","documentation_or_metadata_only","METADATA_REFERENCE_ONLY","Do not silently substitute total financial business. Downstream derivation must cite inputs.","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"FIN_DIVIDENDS","documentation_or_metadata_only","METADATA_REFERENCE_ONLY","Do not silently substitute total financial business. Downstream derivation must cite inputs.","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"FIN_GVA","documentation_or_metadata_only","METADATA_REFERENCE_ONLY","Direct NIPA Table 1.14 line; no adjusted share is constructed here.","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"FIN_NET_INT","documentation_or_metadata_only","METADATA_REFERENCE_ONLY","Do not silently substitute total financial business. Downstream derivation must cite inputs.","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"FIN_NOS","documentation_or_metadata_only","METADATA_REFERENCE_ONLY","Do not silently substitute total financial business. Downstream derivation must cite inputs.","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"FIN_NVA","documentation_or_metadata_only","METADATA_REFERENCE_ONLY","Do not silently substitute total financial business. Downstream derivation must cite inputs.","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"FIN_PBT","documentation_or_metadata_only","METADATA_REFERENCE_ONLY","Do not silently substitute total financial business. Downstream derivation must cite inputs.","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"FIN_TRANSFERS","documentation_or_metadata_only","METADATA_REFERENCE_ONLY","Do not silently substitute total financial business. Downstream derivation must cite inputs.","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"FIN__ME__cfc_current_cost","financial_fixed_asset_boundary_review","PARKED_FOR_FUTURE_RESEARCH","Financial fixed assets require a separate boundary decision before any analytical capital use.","future_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C","yes"
"FIN__ME__gross_investment_current_cost","financial_fixed_asset_boundary_review","PARKED_FOR_FUTURE_RESEARCH","Financial fixed assets require a separate boundary decision before any analytical capital use.","future_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C","yes"
"FIN__ME__net_stock_current_cost","financial_fixed_asset_boundary_review","PARKED_FOR_FUTURE_RESEARCH","Financial fixed assets require a separate boundary decision before any analytical capital use.","future_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C","yes"
"FIN__ME__net_stock_quantity_index","financial_fixed_asset_boundary_review","PARKED_FOR_FUTURE_RESEARCH","Financial fixed assets require a separate boundary decision before any analytical capital use.","future_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C","yes"
"FIN__NRC__cfc_current_cost","financial_fixed_asset_boundary_review","PARKED_FOR_FUTURE_RESEARCH","Financial fixed assets require a separate boundary decision before any analytical capital use.","future_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C","yes"
"FIN__NRC__gross_investment_current_cost","financial_fixed_asset_boundary_review","PARKED_FOR_FUTURE_RESEARCH","Financial fixed assets require a separate boundary decision before any analytical capital use.","future_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C","yes"
"FIN__NRC__net_stock_current_cost","financial_fixed_asset_boundary_review","PARKED_FOR_FUTURE_RESEARCH","Financial fixed assets require a separate boundary decision before any analytical capital use.","future_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C","yes"
"FIN__NRC__net_stock_quantity_index","financial_fixed_asset_boundary_review","PARKED_FOR_FUTURE_RESEARCH","Financial fixed assets require a separate boundary decision before any analytical capital use.","future_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C","yes"
"GOV_TRANS__HIGHWAYS_STREETS__cfc_current_cost","government_transportation_highways_and_streets","CONTEXTUAL_AUTHORIZED","Highways and streets condition the frontier but are not core accumulation capital.","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","yes"
"GOV_TRANS__HIGHWAYS_STREETS__gross_investment_current_cost","government_transportation_highways_and_streets","CONTEXTUAL_AUTHORIZED","Highways and streets condition the frontier but are not core accumulation capital.","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","yes"
"GOV_TRANS__HIGHWAYS_STREETS__net_stock_current_cost","government_transportation_highways_and_streets","CONTEXTUAL_AUTHORIZED","Highways and streets condition the frontier but are not core accumulation capital.","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","yes"
"GOV_TRANS__HIGHWAYS_STREETS__net_stock_quantity_index","government_transportation_highways_and_streets","CONTEXTUAL_AUTHORIZED","Highways and streets condition the frontier but are not core accumulation capital.","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","yes"
"GOV_TRANS__TRANSPORTATION_STRUCTURES__cfc_current_cost","government_transportation_structures","CONTEXTUAL_AUTHORIZED","Government transportation structures condition the frontier but are not core accumulation capital.","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","yes"
"GOV_TRANS__TRANSPORTATION_STRUCTURES__gross_investment_current_cost","government_transportation_structures","CONTEXTUAL_AUTHORIZED","Government transportation structures condition the frontier but are not core accumulation capital.","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","yes"
