"object_id","status","reason"
"ECONOMY_WIDE_WAGE_SHARE","REJECTED_NOT_SECTOR_MATCH","S20C target requires NFC baseline or corporate robustness with explicit account boundary."
"PRIVATE_BUSINESS_WAGE_SHARE","REJECTED_NOT_SECTOR_MATCH","S20C target requires NFC baseline or corporate robustness with explicit account boundary."
"TOTAL_BUSINESS_WAGE_SHARE","REJECTED_NOT_SECTOR_MATCH","S20C target requires NFC baseline or corporate robustness with explicit account boundary."
"NONFARM_BUSINESS_WAGE_SHARE","REJECTED_NOT_SECTOR_MATCH","S20C target requires NFC baseline or corporate robustness with explicit account boundary."
"HOUSEHOLD_OR_MIXED_INCOME_WAGE_SHARE","REJECTED_MIXED_INCOME_CONTAMINATION_RISK","Household and mixed-income concepts are outside the current unadjusted corporate source lane."
"GENERIC_WAGE_SHARE_WITHOUT_SECTOR_METADATA","REJECTED_MISSING_SECTOR_ACCOUNTING_METADATA","Generic wage share cannot attach without numerator, denominator, sector boundary, unit, frequency, and provenance."
"PROFIT_SHARE_BASELINE_SUBSTITUTE","ALTERNATIVE_OR_RECONCILIATION_EVIDENCE_ONLY","Profit share remains reconciliation evidence and cannot replace the preferred unadjusted NFC wage share."
"SHAIKH_ADJUSTED_WAGE_SHARE","SHAIKH_ADJUSTMENT_BLOCKED_PENDING_CROSSWALK_AND_DATA","No current-release Shaikh semantic/accounting crosswalk plus source-data contract passes."
"SHAIKH_ADJUSTED_PROFIT_SHARE","SHAIKH_ADJUSTMENT_BLOCKED_PENDING_CROSSWALK_AND_DATA","No current-release Shaikh semantic/accounting crosswalk plus source-data contract passes."
"ACCUMULATED_Q","ACCUMULATED_Q_PARKED_S21_CLOSED","Accumulated q remains parked and S21 remains closed."
"S21_ACCUMULATED_Q_LAYER","ACCUMULATED_Q_PARKED_S21_CLOSED","S20C does not authorize S21."
"IPP_FRONTIER_CONDITIONER_ATTACHMENT","PARKED_CONTROL_CONDITIONER_NOT_BASELINE","IPP remains a parked control-conditioner candidate."
"GOV_TRANS_FRONTIER_CONDITIONER_ATTACHMENT","PARKED_CONTROL_CONDITIONER_NOT_BASELINE","Government transportation remains a parked control-conditioner candidate."
"THETA_T","EXCLUDED_DATA_ARCHITECTURE_ONLY","S20C is not an econometric or transformation-elasticity layer."
"PRODUCTIVE_CAPACITY_Y_P","EXCLUDED_DATA_ARCHITECTURE_ONLY","S20C does not construct productive capacity."
"CAPACITY_UTILIZATION_MU","EXCLUDED_DATA_ARCHITECTURE_ONLY","S20C does not construct utilization."
