"candidate_id","variable_id","source_file","source_stage","source_table","sector_boundary","numerator_candidate","denominator_candidate","unit","frequency","year_coverage_start","year_coverage_end","finite_observations","current_release_status","object_kind","adjusted_unadjusted","sector_classification","attachable_to_current_s20","decision_reason"
"CURRENT_S20_DISTRIBUTION_PROFIT_SHARE_ALTERNATIVE_RECONCILIATION","PROFIT_SHARE_ALTERNATIVE_RECONCILIATION","output/US/S20_MODEL_INPUT_LAYER/csv/S20_distribution_role_ledger.csv","current_S20_model_input_layer","not_applicable","pending_sector_explicit_source_lane","pending","pending","pending","pending",,,0,"PENDING_OPTIONAL_SOURCE","profit_share_or_profit_ingredient","unadjusted_or_profit_pending","pending_or_not_applicable","not_attachable_without_S20C_contract","ALTERNATIVE_RECONCILIATION_EVIDENCE_PENDING_AUTHORIZED_SOURCE | No authorized profit-share source is present in the S14 GPIM input contract."
"CURRENT_S20_DISTRIBUTION_SHAIKH_ADJUSTED_PROFIT_SHARE","SHAIKH_ADJUSTED_PROFIT_SHARE","output/US/S20_MODEL_INPUT_LAYER/csv/S20_distribution_role_ledger.csv","current_S20_model_input_layer","not_applicable","pending_sector_explicit_source_lane","pending","pending","pending","pending",,,0,"BLOCKED","adjusted_or_shaikh_candidate","adjusted_blocked","pending_or_not_applicable","not_attachable_without_S20C_contract","BLOCKED_PENDING_CROSSWALK_AND_DATA | No current-release semantic/accounting crosswalk and data contract is authorized in S20."
"CURRENT_S20_DISTRIBUTION_SHAIKH_ADJUSTED_WAGE_SHARE","SHAIKH_ADJUSTED_WAGE_SHARE","output/US/S20_MODEL_INPUT_LAYER/csv/S20_distribution_role_ledger.csv","current_S20_model_input_layer","not_applicable","pending_sector_explicit_source_lane","pending","pending","pending","pending",,,0,"BLOCKED","adjusted_or_shaikh_candidate","adjusted_blocked","pending_or_not_applicable","not_attachable_without_S20C_contract","BLOCKED_PENDING_CROSSWALK_AND_DATA | No current-release semantic/accounting crosswalk and data contract is authorized in S20."
"CURRENT_S20_DISTRIBUTION_WAGE_SHARE_UNADJUSTED_BASELINE","WAGE_SHARE_UNADJUSTED_BASELINE","output/US/S20_MODEL_INPUT_LAYER/csv/S20_distribution_role_ledger.csv","current_S20_model_input_layer","not_applicable","pending_sector_explicit_source_lane","pending","pending","pending","pending",,,0,"PENDING_AUTHORIZED_SOURCE","adjusted_or_shaikh_candidate","unadjusted_or_profit_pending","pending_or_not_applicable","not_attachable_without_S20C_contract","PREFERRED_DISTRIBUTION_INPUT_PENDING_AUTHORIZED_SOURCE | No authorized wage-share source is present in the S14 GPIM input contract."
"LEGACY_PANEL_data_processed_us_nf_corporate_stageBC_csv_e","e","data/processed/us_nf_corporate_stageBC.csv","legacy_or_pre_current_model_artifact","not_current_source_contract","corporate_sector","not_baseline_numerator","not_baseline_denominator","ratio","annual",1929,2024,96,"legacy_not_current_release_authority","distribution_related","unadjusted_legacy_or_alternative","corporate_sector","no","Rejected for S20C authorization because it is a legacy/pre-current artifact; source ingredients must authorize the current lane."
"LEGACY_PANEL_data_processed_us_nf_corporate_stageBC_csv_omega","omega","data/processed/us_nf_corporate_stageBC.csv","legacy_or_pre_current_model_artifact","not_current_source_contract","corporate_sector","EC","GVA","ratio","annual",1929,2024,96,"legacy_not_current_release_authority","constructed_or_registered_wage_share","unadjusted_legacy_or_alternative","corporate_sector","no","Rejected for S20C authorization because it is a legacy/pre-current artifact; source ingredients must authorize the current lane."
"LEGACY_PANEL_data_processed_us_nf_corporate_stageBC_csv_pi","pi","data/processed/us_nf_corporate_stageBC.csv","legacy_or_pre_current_model_artifact","not_current_source_contract","corporate_sector","not_baseline_numerator","not_baseline_denominator","ratio","annual",1929,2024,96,"legacy_not_current_release_authority","profit_share_or_profit_ingredient","unadjusted_legacy_or_alternative","corporate_sector","no","Rejected for S20C authorization because it is a legacy/pre-current artifact; source ingredients must authorize the current lane."
"LEGACY_PANEL_data_processed_us_nf_corporate_stageC_csv_e","e","data/processed/us_nf_corporate_stageC.csv","legacy_or_pre_current_model_artifact","not_current_source_contract","corporate_sector","not_baseline_numerator","not_baseline_denominator","ratio","annual",1929,2024,96,"legacy_not_current_release_authority","distribution_related","unadjusted_legacy_or_alternative","corporate_sector","no","Rejected for S20C authorization because it is a legacy/pre-current artifact; source ingredients must authorize the current lane."
"LEGACY_PANEL_data_processed_us_nf_corporate_stageC_csv_omega","omega","data/processed/us_nf_corporate_stageC.csv","legacy_or_pre_current_model_artifact","not_current_source_contract","corporate_sector","EC","GVA","ratio","annual",1929,2024,96,"legacy_not_current_release_authority","constructed_or_registered_wage_share","unadjusted_legacy_or_alternative","corporate_sector","no","Rejected for S20C authorization because it is a legacy/pre-current artifact; source ingredients must authorize the current lane."
"LEGACY_PANEL_data_processed_us_nf_corporate_stageC_csv_pi","pi","data/processed/us_nf_corporate_stageC.csv","legacy_or_pre_current_model_artifact","not_current_source_contract","corporate_sector","not_baseline_numerator","not_baseline_denominator","ratio","annual",1929,2024,96,"legacy_not_current_release_authority","profit_share_or_profit_ingredient","unadjusted_legacy_or_alternative","corporate_sector","no","Rejected for S20C authorization because it is a legacy/pre-current artifact; source ingredients must authorize the current lane."
